ENSARWP00000027874	ENSARWG00000018826	Apteryx_rowi
ENSMMOP00000012344	ENSMMOG00000009494	Mola_mola
ENSDARP00000094772	ENSDARG00000070677	Danio_rerio
ENSTTRP00000002427	ENSTTRG00000002587	Tursiops_truncatus
ENSPCAP00000005827	ENSPCAG00000006260	Procavia_capensis
ENSRNOP00000012452	ENSRNOG00000009206	Rattus_norvegicus
ENSMEUP00000010627	ENSMEUG00000011663	Notamacropus_eugenii
ENSRBIP00000002620	ENSRBIG00000012683	Rhinopithecus_bieti
ENSTBEP00000015181	ENSTBEG00000017452	Tupaia_belangeri
ENSPMGP00000022424	ENSPMGG00000018138	Periophthalmus_magnuspinnatus
ENSORLP00015001309	ENSORLG00015001921	Oryzias_latipes_ASM223469v1
ENSPVIP00000012533	ENSPVIG00000009777	Pogona_vitticeps
ENSNMEP00000024414	ENSNMEG00000020743	Numida_meleagris
ENSBSLP00000001975	ENSBSLG00000001118	Betta_splendens
ENSCSEP00000027389	ENSCSEG00000017502	Cynoglossus_semilaevis
ENSSDUP00000011238	ENSSDUG00000008202	Seriola_dumerili
ENSPFOP00000000034	ENSPFOG00000000038	Poecilia_formosa
ENSPCIP00000016583	ENSPCIG00000012765	Phascolarctos_cinereus
ENSOANP00000009565	ENSOANG00000006012	Ornithorhynchus_anatinus
ENSGAGP00000026137	ENSGAGG00000019085	Gopherus_agassizii	ENSGAGT00000029724
ENSHBUP00000004837	ENSHBUG00000006176	Haplochromis_burtoni
ENSKMAP00000009375	ENSKMAG00000007015	Kryptolebias_marmoratus
ENSIPUP00000035086	ENSIPUG00000023562	Ictalurus_punctatus
ENSLSDP00000017437	ENSLSDG00000012493	Lonchura_striata_domestica
ENSSMRP00000022350	ENSSMRG00000017366	Salvator_merianae
ENSNVIP00000014980	ENSNVIG00000011725	Neovison_vison
ENSCJPP00005020989	ENSCJPG00005016825	Coturnix_japonica
ENSCGRP00001008929	ENSCGRG00001011113	Cricetulus_griseus_CHOK1GS_HDv1
ENSFCAP00000011799	ENSFCAG00000012726	Felis_catus
ENSOMEP00000000670	ENSOMEG00000001553	Oryzias_melastigma
ENSAOWP00000020702	ENSAOWG00000014005	Apteryx_owenii
ENSPCOP00000017225	ENSPCOG00000020418	Propithecus_coquereli
MGP_SPRETEiJ_P0037301	MGP_SPRETEiJ_G0019828	Mus_spretus_strain_SPRET/EiJ
ENSCJAP00000060517	ENSCJAG00000019670	Callithrix_jacchus
ENSAPOP00000011485	ENSAPOG00000014028	Acanthochromis_polyacanthus
ENSCVAP00000030831	ENSCVAG00000019669	Cyprinodon_variegatus
ENSVURP00010006495	ENSVURG00010005007	Vombatus_ursinus
ENSPRNP00000018590	ENSPRNG00000009773	Parambassis_ranga
ENSSLDP00000022694	ENSSLDG00000017712	Seriola_lalandi_dorsalis
ENSAMXP00005027469	ENSAMXG00005013742	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSPAP00000001605	ENSSPAG00000001222	Stegastes_partitus
ENSBIXP00000000579	ENSBIXG00000029646	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEASP00005001817	ENSEASG00005001451	Equus_asinus_asinus
ENSOCUP00000002446	ENSOCUG00000002823	Oryctolagus_cuniculus
ENSEEEP00000035455	ENSEEEG00000016851	Electrophorus_electricus
ENSMPUP00000016812	ENSMPUG00000016916	Mustela_putorius_furo
ENSACAP00000002247	ENSACAG00000002338	Anolis_carolinensis
ENSCGOP00000021927	ENSCGOG00000010546	Cottoperca_gobio
ENSCAFP00020013140	ENSCAFG00020010552	Canis_lupus_dingo
ENSSFOP00015029222	ENSSFOG00015018740	Scleropages_formosus
ENSBBBP00000025285	ENSBBBG00000000567	Bison_bison_bison
ENSPTRP00000079962	ENSPTRG00000015071	Pan_troglodytes
ENSCMIP00000010789	ENSCMIG00000005676	Callorhinchus_milii
ENSABRP00000002407	ENSABRG00000002354	Anser_brachyrhynchus
ENSMMMP00000016302	ENSMMMG00000014492	Marmota_marmota_marmota
ENSFHEP00000030082	ENSFHEG00000015188	Fundulus_heteroclitus
ENSAMXP00000016312	ENSAMXG00000015825	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGALP00000011620	ENSGALG00000007184	Gallus_gallus
ENSXCOP00000003219	ENSXCOG00000002537	Xiphophorus_couchianus
ENSPSMP00000034850	ENSPSMG00000024005	Prolemur_simus
ENSORLP00020024419	ENSORLG00020005810	Oryzias_latipes_ASM223471v1
ENSLCRP00005016336	ENSLCRG00005006818	Larimichthys_crocea
ENSCPBP00000037391	ENSCPBG00000025918	Chrysemys_picta_bellii
ENSPSIP00000010756	ENSPSIG00000009757	Pelodiscus_sinensis
ENSECAP00000027008	ENSECAG00000021037	Equus_caballus
ENSDORP00000000025	ENSDORG00000000030	Dipodomys_ordii
ENSLAFP00000020459	ENSLAFG00000022425	Loxodonta_africana
ENSNSUP00000010183	ENSNSUG00000007753	Notechis_scutatus
ENSACLP00000039876	ENSACLG00000026890	Astatotilapia_calliptera
ENSCABP00000026899	ENSCABG00000019759	Chelonoidis_abingdonii	ENSCABT00000029460
ENSMAUP00000017396	ENSMAUG00000016293	Mesocricetus_auratus
ENSMAMP00000001051	ENSMAMG00000000740	Mastacembelus_armatus
ENSCSAP00000008221	ENSCSAG00000012034	Chlorocebus_sabaeus
ENSCPOP00000029032	ENSCPOG00000001697	Cavia_porcellus
ENSBIXP00005045927	ENSBIXG00005030934	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000027056	ENSBTAG00000020302	Bos_taurus
ENSGACP00000015381	ENSGACG00000011629	Gasterosteus_aculeatus
ENSODEP00000000825	ENSODEG00000000670	Octodon_degus
ENSCCNP00000025572	ENSCCNG00000024926	Castor_canadensis
ENSUPAP00010027013	ENSUPAG00010021362	Urocitellus_parryii
ENSPTEP00000025094	ENSPTEG00000025456	Piliocolobus_tephrosceles
ENSAHAP00000026266	ENSAHAG00000018309	Apteryx_haastii
ENSGGOP00000024805	ENSGGOG00000026200	Gorilla_gorilla
ENSCPGP00000014069	ENSCPGG00000009942	Calidris_pygmaea
ENSGMOP00000009413	ENSGMOG00000008799	Gadus_morhua
ENSMUNP00000020064	ENSMUNG00000015300	Melopsittacus_undulatus
ENSGAFP00000011039	ENSGAFG00000007475	Gambusia_affinis
ENSPEMP00000017762	ENSPEMG00000016571	Peromyscus_maniculatus_bairdii
ENSSTOP00000021317	ENSSTOG00000023296	Ictidomys_tridecemlineatus
ENSLCOP00000004248	ENSLCOG00000003225	Lepidothrix_coronata
ENSMLUP00000006966	ENSMLUG00000007639	Myotis_lucifugus
ENSHGLP00100023430	ENSHGLG00100017223	Heterocephalus_glaber_HetGla_1.0
ENSCAFP00000010567	ENSCAFG00000007121	Canis_lupus_familiaris
ENSOARP00000012610	ENSOARG00000011770	Ovis_aries
ENSHGLP00000016164	ENSHGLG00000011569	Heterocephalus_glaber_HetGla_female_1.0
ENSCPUP00000029354	ENSCPUG00000019658	Calidris_pugnax
ENSCCAP00000014271	ENSCCAG00000024939	Cebus_capucinus_imitator
ENSDNVP00000011626	ENSDNVG00000008193	Dromaius_novaehollandiae
ENSUAMP00000032729	ENSUAMG00000024969	Ursus_americanus
ENSJHYP00000010631	ENSJHYG00000008343	Junco_hyemalis
ENSNLEP00000031802	ENSNLEG00000033287	Nomascus_leucogenys
ENSMODP00000003329	ENSMODG00000002738	Monodelphis_domestica
ENSMMUP00000028441	ENSMMUG00000021592	Macaca_mulatta
ENSLOCP00000012768	ENSLOCG00000010412	Lepisosteus_oculatus
ENSHHUP00000009831	ENSHHUG00000005993	Hucho_hucho
ENSMALP00000029510	ENSMALG00000020404	Monopterus_albus
ENSTRUP00000000906	ENSTRUG00000000387	Takifugu_rubripes
ENSMUSP00000153090	ENSMUSG00000021743	Mus_musculus_strain_reference_(CL57BL6)
ENSELUP00000030982	ENSELUG00000008410	Esox_lucius
ENSLCAP00010046461	ENSLCAG00010021552	Lates_calcarifer
ENSRROP00000034232	ENSRROG00000040677	Rhinopithecus_roxellana
ENSFALP00000013799	ENSFALG00000013223	Ficedula_albicollis
ENSSBOP00000009168	ENSSBOG00000021473	Saimiri_boliviensis_boliviensis
ENSMLEP00000032341	ENSMLEG00000040394	Mandrillus_leucophaeus
ENSPANP00000010636	ENSPANG00000015063	Papio_anubis
ENSATEP00000000829	ENSATEG00000000603	Anabas_testudineus
ENSCLAP00000002192	ENSCLAG00000001583	Chinchilla_lanigera
ENSMGAP00000009152	ENSMGAG00000008901	Meleagris_gallopavo
ENSOGAP00000007258	ENSOGAG00000008112	Otolemur_garnettii
ENSTGEP00000033802	ENSTGEG00000026977	Theropithecus_gelada
ENSTGUP00000009631	ENSTGUG00000009339	Taeniopygia_guttata
ENSPPAP00000033035	ENSPPAG00000039379	Pan_paniscus
ENSDNOP00000022940	ENSDNOG00000033694	Dasypus_novemcinctus
ENSVPAP00000004474	ENSVPAG00000004824	Vicugna_pacos
ENSORLP00000012733	ENSORLG00000010156	Oryzias_latipes_ASM223467v1
ENSAMEP00000016201	ENSAMEG00000015360	Ailuropoda_melanoleuca
ENSCGRP00000012542	ENSCGRG00000009122	Cricetulus_griseus_CriGri_1.0
ENSSMAP00000005448	ENSSMAG00000003363	Scophthalmus_maximus
ENSMZEP00005006578	ENSMZEG00005005070	Maylandia_zebra
ENSCANP00000009027	ENSCANG00000027920	Colobus_angolensis_palliatus
ENSSARP00000008976	ENSSARG00000009934	Sorex_araneus
ENSMSIP00000015653	ENSMSIG00000013414	Mus_spicilegus
ENSPVAP00000002838	ENSPVAG00000003007	Pteropus_vampyrus
ENSPMEP00000015953	ENSPMEG00000018559	Poecilia_mexicana
