ENSCLAP00000001320	ENSCLAG00000001004	Chinchilla_lanigera
ENSODEP00000025563	ENSODEG00000018837	Octodon_degus
ENSHGLP00100027020	ENSHGLG00100020029	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000029048	ENSCPOG00000036722	Cavia_porcellus
ENSSTOP00000021812	ENSSTOG00000022069	Ictidomys_tridecemlineatus
ENSMMMP00000001588	ENSMMMG00000001458	Marmota_marmota_marmota
ENSUPAP00010010274	ENSUPAG00010008316	Urocitellus_parryii
ENSSDAP00000021235	ENSSDAG00000019323	Spermophilus_dauricus
ENSOCUP00000019677	ENSOCUG00000025676	Oryctolagus_cuniculus
ENSOPRP00000000232	ENSOPRG00000000258	Ochotona_princeps
ENSPTEP00000014989	ENSPTEG00000016696	Piliocolobus_tephrosceles
ENSCANP00000016715	ENSCANG00000031798	Colobus_angolensis_palliatus
ENSRBIP00000039730	ENSRBIG00000043319	Rhinopithecus_bieti
ENSTGEP00000017114	ENSTGEG00000013831	Theropithecus_gelada
ENSPANP00000002365	ENSPANG00000018896	Papio_anubis
ENSMMUP00000007525	ENSMMUG00000005702	Macaca_mulatta
ENSMNEP00000004665	ENSMNEG00000021343	Macaca_nemestrina
ENSMFAP00000011427	ENSMFAG00000015854	Macaca_fascicularis
ENSMLEP00000001171	ENSMLEG00000004665	Mandrillus_leucophaeus
ENSCATP00000007684	ENSCATG00000022815	Cercocebus_atys
ENSP00000493327	ENSG00000176294	Homo_sapiens
ENSGGOP00000014252	ENSGGOG00000014618	Gorilla_gorilla
ENSPPYP00000006322	ENSPPYG00000005553	Pongo_abelii
ENSCJAP00000018420	ENSCJAG00000047284	Callithrix_jacchus
ENSTSYP00000030343	ENSTSYG00000030509	Carlito_syrichta
ENSPSMP00000031185	ENSPSMG00000021640	Prolemur_simus
ENSTBEP00000001400	ENSTBEG00000001633	Tupaia_belangeri
ENSSSCP00000040979	ENSSSCG00000045047	Sus_scrofa_strain_reference	ENSSSCT00000052796
ENSSSCP00000059041	ENSSSCG00000033430	Sus_scrofa_strain_reference	ENSSSCT00000052523
ENSSSCP00000050231	ENSSSCG00000037615	Sus_scrofa_strain_reference	ENSSSCT00000057696
ENSSSCP00000002395	ENSSSCG00000034109	Sus_scrofa_strain_reference	ENSSSCT00000002456
ENSVPAP00000009713	ENSVPAG00000010439	Vicugna_pacos
ENSOARP00000014764	ENSOARG00000013774	Ovis_aries
ENSCHIP00000003542	ENSCHIG00000007708	Capra_hircus
ENSBTAP00000054480	ENSBTAG00000032789	Bos_taurus
ENSBIXP00000038189	ENSBIXG00000004207	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015121	ENSBIXG00005018981	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000005036	ENSBMUG00000003959	Bos_mutus
ENSBBBP00000013647	ENSBBBG00000021314	Bison_bison_bison
ENSMLUP00000017994	ENSMLUG00000024013	Myotis_lucifugus
ENSMPUP00000019472	ENSMPUG00000019600	Mustela_putorius_furo
ENSNVIP00000009630	ENSNVIG00000007602	Neovison_vison
ENSUMAP00000014206	ENSUMAG00000010458	Ursus_maritimus
ENSCAFP00000007972	ENSCAFG00000032250	Canis_lupus_familiaris
ENSCAFP00020022362	ENSCAFG00020017671	Canis_lupus_dingo
ENSVVUP00000011854	ENSVVUG00000008741	Vulpes_vulpes
ENSPPRP00000028413	ENSPPRG00000020500	Panthera_pardus
ENSPTIP00000001897	ENSPTIG00000004860	Panthera_tigris_altaica
ENSEEUP00000012837	ENSEEUG00000014096	Erinaceus_europaeus
ENSSARP00000002935	ENSSARG00000003283	Sorex_araneus
ENSEASP00005025530	ENSEASG00005017397	Equus_asinus_asinus
ENSECAP00000031080	ENSECAG00000039678	Equus_caballus
ENSEASP00005025574	ENSEASG00005017427	Equus_asinus_asinus
ENSECAP00000033805	ENSECAG00000036558	Equus_caballus
ENSEASP00005025448	ENSEASG00005017337	Equus_asinus_asinus
ENSCHOP00000006789	ENSCHOG00000007672	Choloepus_hoffmanni
