ENSTRUP00000021743	ENSTRUG00000008663	Takifugu_rubripes
ENSXETP00000054397	ENSXETG00000018472	Xenopus_tropicalis
ENSOANP00000023164	ENSOANG00000014702	Ornithorhynchus_anatinus
ENSMSIP00000019308	ENSMSIG00000016426	Mus_spicilegus
ENSAPOP00000012926	ENSAPOG00000015671	Acanthochromis_polyacanthus
ENSABRP00000009292	ENSABRG00000008316	Anser_brachyrhynchus
ENSMEUP00000009179	ENSMEUG00000010067	Notamacropus_eugenii
ENSECAP00000020124	ENSECAG00000022647	Equus_caballus
ENSAMEP00000015280	ENSAMEG00000014495	Ailuropoda_melanoleuca
ENSTSYP00000012423	ENSTSYG00000013549	Carlito_syrichta
ENSOCUP00000027781	ENSOCUG00000006847	Oryctolagus_cuniculus
ENSUAMP00000021712	ENSUAMG00000017056	Ursus_americanus
ENSMGAP00000012242	ENSMGAG00000011679	Meleagris_gallopavo
ENSMMOP00000005500	ENSMMOG00000004270	Mola_mola
ENSSHAP00000012531	ENSSHAG00000010727	Sarcophilus_harrisii
ENSMALP00000029521	ENSMALG00000020422	Monopterus_albus	ENSMALT00000030049
ENSCGRP00001015761	ENSCGRG00001016277	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPRP00000001652	ENSPPRG00000023967	Panthera_pardus
ENSOGAP00000013432	ENSOGAG00000015006	Otolemur_garnettii
ENSMAMP00000007052	ENSMAMG00000004804	Mastacembelus_armatus	ENSMAMT00000007249
ENSBIXP00005044053	ENSBIXG00005027823	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHGLP00100013390	ENSHGLG00100009906	Heterocephalus_glaber_HetGla_1.0
ENSORLP00020027182	ENSORLG00020010048	Oryzias_latipes_ASM223471v1
ENSVVUP00000001415	ENSVVUG00000001148	Vulpes_vulpes
ENSPFOP00000016613	ENSPFOG00000016521	Poecilia_formosa
ENSANAP00000014767	ENSANAG00000025274	Aotus_nancymaae
ENSATEP00000006690	ENSATEG00000004721	Anabas_testudineus	ENSATET00000006803
ENSACIP00000021534	ENSACIG00000016725	Amphilophus_citrinellus
ENSSTOP00000011565	ENSSTOG00000012910	Ictidomys_tridecemlineatus
ENSFALP00000009006	ENSFALG00000008640	Ficedula_albicollis
ENSDARP00000014221	ENSDARG00000007418	Danio_rerio
ENSIPUP00000004752	ENSIPUG00000003309	Ictalurus_punctatus
ENSCGRP00015023662	ENSCGRG00015018013	Cricetulus_griseus_CriGri-PICR
ENSSFOP00015003647	ENSSFOG00015002388	Scleropages_formosus
ENSLAFP00000009751	ENSLAFG00000011673	Loxodonta_africana
ENSOMEP00000002739	ENSOMEG00000000079	Oryzias_melastigma
ENSCPBP00000010760	ENSCPBG00000008239	Chrysemys_picta_bellii
ENSMFAP00000012744	ENSMFAG00000026066	Macaca_fascicularis
ENSPCOP00000019680	ENSPCOG00000021797	Propithecus_coquereli
ENSPSIP00000002451	ENSPSIG00000002415	Pelodiscus_sinensis
ENSTGEP00000030864	ENSTGEG00000024751	Theropithecus_gelada
ENSAPLP00000024531	ENSAPLG00000029536	Anas_platyrhynchos_platyrhynchos
