ENSOCUP00000019728	ENSOCUG00000012646	Oryctolagus_cuniculus
ENSFALP00000012025	ENSFALG00000011496	Ficedula_albicollis
ENSAOCP00000009068	ENSAOCG00000013159	Amphiprion_ocellaris
ENSTTRP00000007664	ENSTTRG00000008089	Tursiops_truncatus
ENSRNOP00000074005	ENSRNOG00000055562	Rattus_norvegicus
ENSMALP00000013369	ENSMALG00000009454	Monopterus_albus
ENSMLUP00000010867	ENSMLUG00000011918	Myotis_lucifugus
ENSETEP00000013056	ENSETEG00000016095	Echinops_telfairi
ENSMUSP00000033776	ENSMUSG00000031403	Mus_musculus_strain_reference_(CL57BL6)
ENSONIP00000017462	ENSONIG00000013889	Oreochromis_niloticus
K01G5.5.1	WBGene00010478	Caenorhabditis_elegans_strain_N2
ENSFCAP00000055722	ENSFCAG00000006577	Felis_catus
ENSNMEP00000012398	ENSNMEG00000011489	Numida_meleagris
ENSNLEP00000017431	ENSNLEG00000014323	Nomascus_leucogenys
ENSPLAP00000020392	ENSPLAG00000003272	Poecilia_latipinna
ENSMODP00000011539	ENSMODG00000009243	Monodelphis_domestica
ENSPPRP00000016967	ENSPPRG00000009104	Panthera_pardus
ENSLSDP00000009845	ENSLSDG00000007277	Lonchura_striata_domestica
ENSPKIP00000025677	ENSPKIG00000008443	Paramormyrops_kingsleyae
ENSCHIP00000017633	ENSCHIG00000017392	Capra_hircus
ENSJJAP00000005135	ENSJJAG00000010086	Jaculus_jaculus
ENSPMEP00000008657	ENSPMEG00000010413	Poecilia_mexicana
MGP_CAROLIEiJ_P0091970	MGP_CAROLIEiJ_G0033191	Mus_caroli_strain_CAROLI_EIJ
ENSXETP00000030254	ENSXETG00000006890	Xenopus_tropicalis
ENSKMAP00000010671	ENSKMAG00000008010	Kryptolebias_marmoratus
ENSECRP00000023011	ENSECRG00000015571	Erpetoichthys_calabaricus
ENSFHEP00000003722	ENSFHEG00000004627	Fundulus_heteroclitus
ENSCATP00000019645	ENSCATG00000033602	Cercocebus_atys
ENSGACP00000005785	ENSGACG00000004373	Gasterosteus_aculeatus
ENSPNAP00000003792	ENSPNAG00000005780	Pygocentrus_nattereri
ENSTSYP00000007048	ENSTSYG00000007681	Carlito_syrichta
ENSMAMP00000007985	ENSMAMG00000005427	Mastacembelus_armatus
ENSGAFP00000017014	ENSGAFG00000011486	Gambusia_affinis
ENSMUGP00000029353	ENSMUGG00000024359	Meriones_unguiculatus
ENSMPUP00000016029	ENSMPUG00000016136	Mustela_putorius_furo
ENSCPRP00005014286	ENSCPRG00005010072	Crocodylus_porosus
ENSBIXP00005006139	ENSBIXG00005011665	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
FBpp0290083	FBgn0259937	Drosophila_melanogaster
ENSPCAP00000014063	ENSPCAG00000015034	Procavia_capensis
ENSMICP00000016664	ENSMICG00000038751	Microcebus_murinus
ENSDNOP00000003248	ENSDNOG00000004218	Dasypus_novemcinctus
ENSLCRP00005044040	ENSLCRG00005016262	Larimichthys_crocea
ENSPTRP00000038696	ENSPTRG00000022449	Pan_troglodytes
ENSLCAP00010048242	ENSLCAG00010022411	Lates_calcarifer
ENSCPOP00000007923	ENSCPOG00000008825	Cavia_porcellus
ENSJJAP00000004039	ENSJJAG00000008207	Jaculus_jaculus
ENSPPAP00000005887	ENSPPAG00000023820	Pan_paniscus
ENSSTOP00000000958	ENSSTOG00000001074	Ictidomys_tridecemlineatus
ENSAMXP00000017658	ENSAMXG00000017108	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAPEP00000003192	ENSAPEG00000002284	Amphiprion_percula
ENSCGRP00000022189	ENSCGRG00000016075	Cricetulus_griseus_CriGri_1.0
ENSCPBP00000007441	ENSCPBG00000005858	Chrysemys_picta_bellii
ENSHBUP00000028586	ENSHBUG00000012436	Haplochromis_burtoni
ENSVVUP00000029631	ENSVVUG00000021671	Vulpes_vulpes
ENSPEMP00000013272	ENSPEMG00000013348	Peromyscus_maniculatus_bairdii
ENSCSEP00000019800	ENSCSEG00000012633	Cynoglossus_semilaevis
ENSOPRP00000004825	ENSOPRG00000005248	Ochotona_princeps
ENSGGOP00000017399	ENSGGOG00000001045	Gorilla_gorilla
ENSDORP00000012759	ENSDORG00000013566	Dipodomys_ordii
ENSMLEP00000020471	ENSMLEG00000034422	Mandrillus_leucophaeus
ENSLCOP00000020801	ENSLCOG00000014711	Lepidothrix_coronata
ENSCJAP00000007649	ENSCJAG00000004210	Callithrix_jacchus
ENSTBEP00000009733	ENSTBEG00000011262	Tupaia_belangeri
ENSORLP00000023417	ENSORLG00000018748	Oryzias_latipes_ASM223467v1
ENSMZEP00005019331	ENSMZEG00005014503	Maylandia_zebra
ENSPSMP00000017395	ENSPSMG00000012386	Prolemur_simus
MGP_PahariEiJ_P0089598	MGP_PahariEiJ_G0031735	Mus_pahari_strain_PAHARI_EIJ
ENSACLP00000023026	ENSACLG00000015605	Astatotilapia_calliptera
ENSCCNP00000014493	ENSCCNG00000014981	Castor_canadensis
ENSNGAP00000014409	ENSNGAG00000015724	Nannospalax_galili
ENSPRNP00000005657	ENSPRNG00000002799	Parambassis_ranga
ENSPVIP00000006319	ENSPVIG00000005240	Pogona_vitticeps
ENSP00000358563	ENSG00000130826	Homo_sapiens
ENSOARP00000003242	ENSOARG00000003047	Ovis_aries
ENSPANP00000014923	ENSPANG00000011978	Papio_anubis
ENSPPYP00000023387	ENSPPYG00000020892	Pongo_abelii
ENSRBIP00000009183	ENSRBIG00000028457	Rhinopithecus_bieti
ENSNPEP00000013095	ENSNPEG00000009777	Nothoprocta_perdicaria
ENSCJPP00005012698	ENSCJPG00005010783	Coturnix_japonica
ENSSMAP00000004152	ENSSMAG00000002552	Scophthalmus_maximus
ENSPVAP00000008698	ENSPVAG00000009222	Pteropus_vampyrus
ENSAPOP00000006030	ENSAPOG00000007799	Acanthochromis_polyacanthus
ENSSHAP00000002784	ENSSHAG00000002463	Sarcophilus_harrisii
ENSEASP00005010549	ENSEASG00005007484	Equus_asinus_asinus
ENSPTEP00000009813	ENSPTEG00000011139	Piliocolobus_tephrosceles
ENSACIP00000029244	ENSACIG00000022614	Amphilophus_citrinellus
ENSDARP00000007628	ENSDARG00000016484	Danio_rerio
ENSMUNP00000016405	ENSMUNG00000012628	Melopsittacus_undulatus
ENSHGLP00000000778	ENSHGLG00000000649	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014913	ENSFDAG00000002516	Fukomys_damarensis
ENSHCOP00000000110	ENSHCOG00000021099	Hippocampus_comes
YLR175W_mRNA	YLR175W	Saccharomyces_cerevisiae_strain_S288C
ENSSCAP00000023720	ENSSCAG00000016963	Serinus_canaria
ENSBSLP00000013915	ENSBSLG00000006764	Betta_splendens
ENSMMOP00000026906	ENSMMOG00000020348	Mola_mola
ENSGMOP00000018571	ENSGMOG00000017277	Gadus_morhua
ENSPTRP00000070218	ENSPTRG00000043416	Pan_troglodytes
ENSCGOP00000027355	ENSCGOG00000012418	Cottoperca_gobio
ENSAPLP00000020817	ENSAPLG00000027813	Anas_platyrhynchos_platyrhynchos
ENSMMUP00000072622	ENSMMUG00000005768	Macaca_mulatta
ENSRROP00000043476	ENSRROG00000044780	Rhinopithecus_roxellana
ENSSMRP00000016878	ENSSMRG00000013153	Salvator_merianae
ENSNSUP00000000117	ENSNSUG00000000145	Notechis_scutatus
ENSGAGP00000014991	ENSGAGG00000011330	Gopherus_agassizii
ENSMEUP00000000986	ENSMEUG00000001066	Notamacropus_eugenii
ENSMVIP00005004026	ENSMVIG00005003080	Manacus_vitellinus
ENSCGRP00000020349	ENSCGRG00000014809	Cricetulus_griseus_CriGri_1.0
ENSAOWP00000023179	ENSAOWG00000015636	Apteryx_owenii
ENSAMXP00005007318	ENSAMXG00005003796	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXCOP00000007110	ENSXCOG00000005498	Xiphophorus_couchianus
ENSPRNP00000035700	ENSPRNG00000017862	Parambassis_ranga
ENSSFOP00015014875	ENSSFOG00015009585	Scleropages_formosus
ENSUPAP00010003443	ENSUPAG00010002807	Urocitellus_parryii
ENSVURP00010024938	ENSVURG00010019113	Vombatus_ursinus
ENSODEP00000016055	ENSODEG00000011816	Octodon_degus
ENSAMEP00000002938	ENSAMEG00000002776	Ailuropoda_melanoleuca
ENSCGRP00001016475	ENSCGRG00001016789	Cricetulus_griseus_CHOK1GS_HDv1
ENSSTOP00000016930	ENSSTOG00000020149	Ictidomys_tridecemlineatus
ENSMMMP00000003187	ENSMMMG00000002913	Marmota_marmota_marmota
ENSCMIP00000008567	ENSCMIG00000004330	Callorhinchus_milii
ENSDNVP00000025890	ENSDNVG00000018018	Dromaius_novaehollandiae	ENSDNVT00000031326
ENSJHYP00000005856	ENSJHYG00000004757	Junco_hyemalis
ENSLACP00000015927	ENSLACG00000014025	Latimeria_chalumnae
ENSSBOP00000035204	ENSSBOG00000033746	Saimiri_boliviensis_boliviensis
ENSMSIP00000002235	ENSMSIG00000002127	Mus_spicilegus
ENSANAP00000009502	ENSANAG00000022732	Aotus_nancymaae
ENSCPGP00000009771	ENSCPGG00000006955	Calidris_pygmaea
ENSPFOP00000018771	ENSPFOG00000018653	Poecilia_formosa
ENSMFAP00000018754	ENSMFAG00000032398	Macaca_fascicularis
ENSCANP00000009214	ENSCANG00000027987	Colobus_angolensis_palliatus
ENSOMEP00000024867	ENSOMEG00000005786	Oryzias_melastigma
ENSPCOP00000028469	ENSPCOG00000026874	Propithecus_coquereli
ENSPMGP00000004848	ENSPMGG00000004097	Periophthalmus_magnuspinnatus
ENSEBUP00000026057	ENSEBUG00000016062	Eptatretus_burgeri
ENSCCEP00000024092	ENSCCEG00000021437	Cyanistes_caeruleus
ENSCINP00000009502	ENSCING00000004599	Ciona_intestinalis
ENSPTIP00000019806	ENSPTIG00000017469	Panthera_tigris_altaica
ENSLOCP00000016927	ENSLOCG00000013713	Lepisosteus_oculatus
ENSUMAP00000023513	ENSUMAG00000016899	Ursus_maritimus
ENSTRUP00000010489	ENSTRUG00000004413	Takifugu_rubripes
ENSMICP00000002569	ENSMICG00000002818	Microcebus_murinus
ENSEBUP00000025893	ENSEBUG00000015962	Eptatretus_burgeri
ENSOGAP00000003034	ENSOGAG00000003399	Otolemur_garnettii
ENSSDUP00000013706	ENSSDUG00000009963	Seriola_dumerili
ENSACAP00000015380	ENSACAG00000015600	Anolis_carolinensis
ENSCLAP00000000926	ENSCLAG00000000720	Chinchilla_lanigera
ENSNMEP00000006686	ENSNMEG00000006836	Numida_meleagris
ENSSPAP00000003556	ENSSPAG00000002585	Stegastes_partitus
ENSMAUP00000017643	ENSMAUG00000016454	Mesocricetus_auratus
