ENSVURP00010004375	ENSVURG00010003495	Vombatus_ursinus	ENSVURT00010004975
ENSPCIP00000036813	ENSPCIG00000027154	Phascolarctos_cinereus	ENSPCIT00000045318
ENSMODP00000039236	ENSMODG00000028324	Monodelphis_domestica	ENSMODT00000042346
ENSCCAP00000015961	ENSCCAG00000025777	Cebus_capucinus_imitator	ENSCCAT00000033409
ENSSBOP00000001701	ENSSBOG00000008885	Saimiri_boliviensis_boliviensis
ENSCJAP00000042183	ENSCJAG00000064223	Callithrix_jacchus
ENSCJAP00000064934	ENSCJAG00000066888	Callithrix_jacchus
ENSANAP00000036457	ENSANAG00000035732	Aotus_nancymaae
ENSPTRP00000030253	ENSPTRG00000017718	Pan_troglodytes
ENSPPAP00000010898	ENSPPAG00000028663	Pan_paniscus
ENSGGOP00000013553	ENSGGOG00000013899	Gorilla_gorilla
ENSP00000259983	ENSG00000137434	Homo_sapiens
ENSNLEP00000000629	ENSNLEG00000000544	Nomascus_leucogenys
ENSPPYP00000018145	ENSPPYG00000016223	Pongo_abelii
ENSRROP00000037406	ENSRROG00000042122	Rhinopithecus_roxellana
ENSRBIP00000034262	ENSRBIG00000040848	Rhinopithecus_bieti
ENSCANP00000003668	ENSCANG00000012995	Colobus_angolensis_palliatus
ENSPTEP00000031432	ENSPTEG00000030369	Piliocolobus_tephrosceles
ENSTGEP00000019896	ENSTGEG00000016011	Theropithecus_gelada
ENSPANP00000013614	ENSPANG00000012699	Papio_anubis
ENSCATP00000018352	ENSCATG00000033015	Cercocebus_atys
ENSMLEP00000011638	ENSMLEG00000029992	Mandrillus_leucophaeus
ENSCSAP00000003717	ENSCSAG00000007454	Chlorocebus_sabaeus
ENSMFAP00000018920	ENSMFAG00000032503	Macaca_fascicularis
ENSMNEP00000006514	ENSMNEG00000027521	Macaca_nemestrina
ENSMMUP00000024725	ENSMMUG00000061586	Macaca_mulatta
ENSTSYP00000032677	ENSTSYG00000010799	Carlito_syrichta
ENSPSMP00000036989	ENSPSMG00000025442	Prolemur_simus
ENSMICP00000033419	ENSMICG00000028261	Microcebus_murinus
ENSCGRP00015000918	ENSCGRG00015000842	Cricetulus_griseus_CriGri-PICR
ENSRNOP00000057088	ENSRNOG00000039379	Rattus_norvegicus
ENSCCNP00000002470	ENSCCNG00000002701	Castor_canadensis
ENSSDAP00000007207	ENSSDAG00000006629	Spermophilus_dauricus
ENSMMMP00000016957	ENSMMMG00000015079	Marmota_marmota_marmota
ENSHGLP00100026170	ENSHGLG00100019198	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024626	ENSHGLG00000017556	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018547	ENSFDAG00000009745	Fukomys_damarensis
ENSOPRP00000013093	ENSOPRG00000014359	Ochotona_princeps
ENSBMUP00000001340	ENSBMUG00000001099	Bos_mutus
ENSBTAP00000074417	ENSBTAG00000049554	Bos_taurus
ENSBBBP00000014884	ENSBBBG00000022663	Bison_bison_bison
ENSOARP00000017214	ENSOARG00000016030	Ovis_aries
ENSSSCP00000001111	ENSSSCG00000001040	Sus_scrofa_strain_reference
ENSTTRP00000003421	ENSTTRG00000003650	Tursiops_truncatus
ENSVPAP00000002773	ENSVPAG00000003001	Vicugna_pacos
ENSAMEP00000002702	ENSAMEG00000002583	Ailuropoda_melanoleuca
ENSMPUP00000000600	ENSMPUG00000000606	Mustela_putorius_furo
ENSCAFP00000042999	ENSCAFG00000030234	Canis_lupus_familiaris
ENSCAFP00020016366	ENSCAFG00020013135	Canis_lupus_dingo
ENSVVUP00000005384	ENSVVUG00000004220	Vulpes_vulpes
ENSPTIP00000016774	ENSPTIG00000015425	Panthera_tigris_altaica
ENSPPRP00000025338	ENSPPRG00000015599	Panthera_pardus
ENSFCAP00000016672	ENSFCAG00000028760	Felis_catus
ENSCHOP00000009523	ENSCHOG00000010768	Choloepus_hoffmanni
ENSDNOP00000005979	ENSDNOG00000007720	Dasypus_novemcinctus
ENSCPBP00000010915	ENSCPBG00000008371	Chrysemys_picta_bellii
