ENSCCNP00000003902	ENSCCNG00000004113	Castor_canadensis	ENSCCNT00000005104
ENSCCNP00000003715	ENSCCNG00000002942	Castor_canadensis	ENSCCNT00000004866
ENSCCNP00000004848	ENSCCNG00000004761	Castor_canadensis	ENSCCNT00000006388
ENSDORP00000023677	ENSDORG00000027129	Dipodomys_ordii	ENSDORT00000033837
ENSSTOP00000022971	ENSSTOG00000022102	Ictidomys_tridecemlineatus	ENSSTOT00000027937
ENSMMMP00000022649	ENSMMMG00000019876	Marmota_marmota_marmota
ENSSDAP00000016686	ENSSDAG00000014238	Spermophilus_dauricus
ENSMUSP00000060584	ENSMUSG00000060613	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000003090	ENSMSIG00000002863	Mus_spicilegus
MGP_SPRETEiJ_P0050725	MGP_SPRETEiJ_G0023858	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048723	MGP_CAROLIEiJ_G0022937	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021686	MGP_PahariEiJ_G0014427	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000051607	ENSRNOG00000021924	Rattus_norvegicus
ENSMUGP00000008579	ENSMUGG00000007706	Meriones_unguiculatus
ENSCGRP00000017988	ENSCGRG00000013080	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001020314	ENSCGRG00001019507	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015034310	ENSCGRG00015025841	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004415	ENSMAUG00000005665	Mesocricetus_auratus
ENSMOCP00000026759	ENSMOCG00000022462	Microtus_ochrogaster
ENSPEMP00000017626	ENSPEMG00000024568	Peromyscus_maniculatus_bairdii
ENSPEMP00000030299	ENSPEMG00000030814	Peromyscus_maniculatus_bairdii
ENSMUGP00000001688	ENSMUGG00000001554	Meriones_unguiculatus
ENSPEMP00000029877	ENSPEMG00000016479	Peromyscus_maniculatus_bairdii
ENSNGAP00000006598	ENSNGAG00000009843	Nannospalax_galili
ENSJJAP00000002398	ENSJJAG00000004077	Jaculus_jaculus
ENSOCUP00000022202	ENSOCUG00000024658	Oryctolagus_cuniculus
ENSOCUP00000035180	ENSOCUG00000029267	Oryctolagus_cuniculus
ENSMLEP00000033385	ENSMLEG00000040880	Mandrillus_leucophaeus
ENSMLEP00000039898	ENSMLEG00000043966	Mandrillus_leucophaeus
ENSMMUP00000035761	ENSMMUG00000000124	Macaca_mulatta
ENSMNEP00000000997	ENSMNEG00000004860	Macaca_nemestrina
ENSTGEP00000013878	ENSTGEG00000011257	Theropithecus_gelada
ENSCATP00000023218	ENSCATG00000035184	Cercocebus_atys
ENSPANP00000003343	ENSPANG00000021950	Papio_anubis
ENSRBIP00000012292	ENSRBIG00000030091	Rhinopithecus_bieti
ENSRROP00000037049	ENSRROG00000041976	Rhinopithecus_roxellana
ENSCANP00000020859	ENSCANG00000033865	Colobus_angolensis_palliatus
ENSPTEP00000037568	ENSPTEG00000035108	Piliocolobus_tephrosceles
ENSRROP00000016301	ENSRROG00000032298	Rhinopithecus_roxellana
ENSRBIP00000007741	ENSRBIG00000027788	Rhinopithecus_bieti
ENSPTEP00000037513	ENSPTEG00000035066	Piliocolobus_tephrosceles
ENSSBOP00000027842	ENSSBOG00000030317	Saimiri_boliviensis_boliviensis
ENSCJAP00000029395	ENSCJAG00000015961	Callithrix_jacchus
ENSCCAP00000003633	ENSCCAG00000018647	Cebus_capucinus_imitator
ENSANAP00000005476	ENSANAG00000020823	Aotus_nancymaae
ENSTSYP00000025344	ENSTSYG00000036095	Carlito_syrichta
ENSPSMP00000012632	ENSPSMG00000008824	Prolemur_simus
ENSMICP00000001962	ENSMICG00000047053	Microcebus_murinus
ENSOGAP00000017349	ENSOGAG00000031945	Otolemur_garnettii
ENSOGAP00000022399	ENSOGAG00000028672	Otolemur_garnettii
ENSOGAP00000016693	ENSOGAG00000032874	Otolemur_garnettii
ENSECAP00000000223	ENSECAG00000036067	Equus_caballus
ENSEASP00005019238	ENSEASG00005013192	Equus_asinus_asinus
ENSECAP00000041885	ENSECAG00000032037	Equus_caballus
ENSEASP00005019245	ENSEASG00005013231	Equus_asinus_asinus
ENSUMAP00000029411	ENSUMAG00000021211	Ursus_maritimus
