ENSSHAP00000008698	ENSSHAG00000007536	Sarcophilus_harrisii
ENSMODP00000026691	ENSMODG00000021359	Monodelphis_domestica
ENSVURP00010009075	ENSVURG00010007030	Vombatus_ursinus
ENSPCIP00000031095	ENSPCIG00000023119	Phascolarctos_cinereus
ENSMEUP00000009972	ENSMEUG00000010930	Notamacropus_eugenii
ENSPVAP00000003569	ENSPVAG00000003773	Pteropus_vampyrus
ENSMLUP00000009942	ENSMLUG00000010913	Myotis_lucifugus
ENSECAP00000008307	ENSECAG00000010446	Equus_caballus
ENSEASP00005021268	ENSEASG00005014567	Equus_asinus_asinus
ENSUMAP00000030907	ENSUMAG00000022331	Ursus_maritimus
ENSUAMP00000021517	ENSUAMG00000016894	Ursus_americanus
ENSAMEP00000010196	ENSAMEG00000009711	Ailuropoda_melanoleuca
ENSNVIP00000009390	ENSNVIG00000007419	Neovison_vison
ENSCAFP00020014954	ENSCAFG00020012052	Canis_lupus_dingo
ENSCAFP00000028137	ENSCAFG00000019072	Canis_lupus_familiaris
ENSVVUP00000037557	ENSVVUG00000026849	Vulpes_vulpes
ENSPTIP00000020489	ENSPTIG00000017951	Panthera_tigris_altaica
ENSPPRP00000013951	ENSPPRG00000007003	Panthera_pardus
ENSBIXP00000042526	ENSBIXG00000026524	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005035349	ENSBIXG00005006753	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000009357	ENSBTAG00000007112	Bos_taurus
ENSBBBP00000009664	ENSBBBG00000017813	Bison_bison_bison
ENSOARP00000007200	ENSOARG00000006726	Ovis_aries
ENSCHIP00000032833	ENSCHIG00000026642	Capra_hircus
ENSTTRP00000008627	ENSTTRG00000009114	Tursiops_truncatus
ENSVPAP00000009524	ENSVPAG00000010234	Vicugna_pacos
ENSP00000194214	ENSG00000081870	Homo_sapiens
ENSPPYP00000001544	ENSPPYG00000001328	Pongo_abelii
ENSTGEP00000008979	ENSTGEG00000007397	Theropithecus_gelada
ENSCATP00000035808	ENSCATG00000040749	Cercocebus_atys
ENSMFAP00000045333	ENSMFAG00000000391	Macaca_fascicularis
ENSMNEP00000016868	ENSMNEG00000032434	Macaca_nemestrina
ENSPANP00000024590	ENSPANG00000036112	Papio_anubis
ENSMLEP00000030191	ENSMLEG00000039291	Mandrillus_leucophaeus
ENSCSAP00000016719	ENSCSAG00000001296	Chlorocebus_sabaeus
ENSPTEP00000022983	ENSPTEG00000023808	Piliocolobus_tephrosceles
ENSSBOP00000020724	ENSSBOG00000026937	Saimiri_boliviensis_boliviensis
ENSCJAP00000048792	ENSCJAG00000004866	Callithrix_jacchus
ENSCCAP00000000992	ENSCCAG00000006342	Cebus_capucinus_imitator
ENSANAP00000032626	ENSANAG00000034000	Aotus_nancymaae
ENSANAP00000000295	ENSANAG00000002172	Aotus_nancymaae
ENSTSYP00000011463	ENSTSYG00000012499	Carlito_syrichta
ENSPSMP00000000777	ENSPSMG00000000581	Prolemur_simus
ENSMICP00000041585	ENSMICG00000045633	Microcebus_murinus
ENSCCNP00000024745	ENSCCNG00000024227	Castor_canadensis
ENSDORP00000014368	ENSDORG00000015267	Dipodomys_ordii
ENSCGRP00001011377	ENSCGRG00001013033	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015007543	ENSCGRG00015005890	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005116	ENSCGRG00000003743	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000019528	ENSMAUG00000017796	Mesocricetus_auratus
ENSPEMP00000001600	ENSPEMG00000001367	Peromyscus_maniculatus_bairdii
