ENSPVIP00000009465	ENSPVIG00000007537	Pogona_vitticeps	ENSPVIT00000012042
ENSACAP00000018999	ENSACAG00000022688	Anolis_carolinensis	ENSACAT00000028196
ENSPSIP00000006792	ENSPSIG00000006209	Pelodiscus_sinensis	ENSPSIT00000006830
ENSDNOP00000013379	ENSDNOG00000017262	Dasypus_novemcinctus	ENSDNOT00000017262
ENSCHOP00000002872	ENSCHOG00000003237	Choloepus_hoffmanni	ENSCHOT00000003253
ENSCCNP00000029972	ENSCCNG00000028743	Castor_canadensis	ENSCCNT00000037799
ENSDORP00000002941	ENSDORG00000003141	Dipodomys_ordii	ENSDORT00000003141
ENSMSIP00000014418	ENSMSIG00000012418	Mus_spicilegus	ENSMSIT00000018325
MGP_SPRETEiJ_P0030239	MGP_SPRETEiJ_G0017721	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0030239
ENSMUSP00000019069	ENSMUSG00000018925	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000019069
MGP_CAROLIEiJ_P0028832	MGP_CAROLIEiJ_G0016877	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0028832
MGP_PahariEiJ_P0035555	MGP_PahariEiJ_G0018008	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0035555
ENSRNOP00000068047	ENSRNOG00000037100	Rattus_norvegicus	ENSRNOT00000077035
ENSMUGP00000020456	ENSMUGG00000017254	Meriones_unguiculatus	ENSMUGT00000023512
ENSCGRP00000023062	ENSCGRG00000016701	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015015257	ENSCGRG00015011703	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020046	ENSCGRG00001019308	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021800	ENSMAUG00000019408	Mesocricetus_auratus
ENSMOCP00000009447	ENSMOCG00000009616	Microtus_ochrogaster
ENSPEMP00000007139	ENSPEMG00000009167	Peromyscus_maniculatus_bairdii
ENSNGAP00000008850	ENSNGAG00000011711	Nannospalax_galili
ENSJJAP00000008406	ENSJJAG00000012557	Jaculus_jaculus
ENSCLAP00000014577	ENSCLAG00000010061	Chinchilla_lanigera
ENSODEP00000017132	ENSODEG00000012621	Octodon_degus
ENSCPOP00000009085	ENSCPOG00000010117	Cavia_porcellus
ENSHGLP00000007335	ENSHGLG00000005346	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018057	ENSHGLG00100013314	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018862	ENSFDAG00000009543	Fukomys_damarensis
ENSUPAP00010021744	ENSUPAG00010017281	Urocitellus_parryii
ENSMMMP00000021609	ENSMMMG00000019012	Marmota_marmota_marmota
ENSSDAP00000023981	ENSSDAG00000021839	Spermophilus_dauricus
ENSSTOP00000020275	ENSSTOG00000028751	Ictidomys_tridecemlineatus
ENSOCUP00000002467	ENSOCUG00000002842	Oryctolagus_cuniculus
ENSOPRP00000010940	ENSOPRG00000011985	Ochotona_princeps
ENSTBEP00000001503	ENSTBEG00000001717	Tupaia_belangeri
ENSGGOP00000007437	ENSGGOG00000007596	Gorilla_gorilla
ENSP00000473941	ENSG00000270379	Homo_sapiens
ENSPPAP00000017349	ENSPPAG00000031757	Pan_paniscus
ENSPTRP00000015403	ENSPTRG00000009028	Pan_troglodytes
ENSPPYP00000009213	ENSPPYG00000008195	Pongo_abelii
ENSNLEP00000017200	ENSNLEG00000014122	Nomascus_leucogenys
ENSRROP00000002723	ENSRROG00000010829	Rhinopithecus_roxellana
ENSRBIP00000020528	ENSRBIG00000034249	Rhinopithecus_bieti
ENSCANP00000029677	ENSCANG00000038474	Colobus_angolensis_palliatus
ENSPTEP00000015749	ENSPTEG00000017386	Piliocolobus_tephrosceles
ENSMMUP00000029268	ENSMMUG00000022233	Macaca_mulatta
ENSMFAP00000004099	ENSMFAG00000001762	Macaca_fascicularis
ENSMNEP00000009823	ENSMNEG00000029332	Macaca_nemestrina
ENSPANP00000020059	ENSPANG00000022932	Papio_anubis
ENSTGEP00000020827	ENSTGEG00000016765	Theropithecus_gelada
ENSCATP00000027758	ENSCATG00000037222	Cercocebus_atys
ENSCSAP00000002518	ENSCSAG00000006228	Chlorocebus_sabaeus
ENSMLEP00000020143	ENSMLEG00000034282	Mandrillus_leucophaeus
ENSCCAP00000030289	ENSCCAG00000033181	Cebus_capucinus_imitator
ENSSBOP00000027532	ENSSBOG00000030182	Saimiri_boliviensis_boliviensis
ENSCJAP00000027662	ENSCJAG00000015007	Callithrix_jacchus
ENSANAP00000033024	ENSANAG00000034198	Aotus_nancymaae
ENSTSYP00000012419	ENSTSYG00000013535	Carlito_syrichta
ENSPCOP00000017668	ENSPCOG00000020659	Propithecus_coquereli
ENSPSMP00000028737	ENSPSMG00000019980	Prolemur_simus
ENSMICP00000001631	ENSMICG00000001796	Microcebus_murinus
ENSOGAP00000010492	ENSOGAG00000011724	Otolemur_garnettii
ENSPVAP00000015837	ENSPVAG00000016786	Pteropus_vampyrus
ENSMLUP00000019204	ENSMLUG00000002879	Myotis_lucifugus
ENSECAP00000031108	ENSECAG00000024894	Equus_caballus
ENSEASP00005016191	ENSEASG00005011246	Equus_asinus_asinus
ENSOARP00000005523	ENSOARG00000005148	Ovis_aries
ENSCHIP00000024072	ENSCHIG00000021394	Capra_hircus
ENSBIXP00000027844	ENSBIXG00000008820	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005039145	ENSBIXG00005007371	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000003698	ENSBTAG00000002850	Bos_taurus
ENSBMUP00000016630	ENSBMUG00000012616	Bos_mutus
ENSBBBP00000006429	ENSBBBG00000001077	Bison_bison_bison
ENSTTRP00000005531	ENSTTRG00000005851	Tursiops_truncatus
ENSSSCP00000018761	ENSSSCG00000017706	Sus_scrofa_strain_reference
ENSUAMP00000005568	ENSUAMG00000004936	Ursus_americanus
ENSUMAP00000023156	ENSUMAG00000016881	Ursus_maritimus
ENSAMEP00000015691	ENSAMEG00000014896	Ailuropoda_melanoleuca
ENSNVIP00000026430	ENSNVIG00000020408	Neovison_vison
ENSMPUP00000014841	ENSMPUG00000014952	Mustela_putorius_furo
ENSVVUP00000027783	ENSVVUG00000020369	Vulpes_vulpes
ENSCAFP00020004901	ENSCAFG00020003982	Canis_lupus_dingo
