ENSPTRP00000084440	ENSPTRG00000021402	Pan_troglodytes
ENSPPAP00000022193	ENSPPAG00000034277	Pan_paniscus
ENSGGOP00000035568	ENSGGOG00000000948	Gorilla_gorilla
ENSP00000223836	ENSG00000106992	Homo_sapiens
ENSPPYP00000022003	ENSPPYG00000019634	Pongo_abelii
ENSNLEP00000021251	ENSNLEG00000017506	Nomascus_leucogenys
ENSMNEP00000040066	ENSMNEG00000042934	Macaca_nemestrina
ENSMMUP00000071993	ENSMMUG00000060702	Macaca_mulatta
ENSMFAP00000018181	ENSMFAG00000032155	Macaca_fascicularis
ENSMLEP00000026727	ENSMLEG00000037549	Mandrillus_leucophaeus
ENSTGEP00000026486	ENSTGEG00000021332	Theropithecus_gelada
ENSPANP00000033395	ENSPANG00000024842	Papio_anubis
ENSCATP00000005544	ENSCATG00000017894	Cercocebus_atys
ENSCSAP00000010061	ENSCSAG00000013924	Chlorocebus_sabaeus
ENSRBIP00000038813	ENSRBIG00000042890	Rhinopithecus_bieti
ENSRROP00000045392	ENSRROG00000045598	Rhinopithecus_roxellana
ENSCANP00000030910	ENSCANG00000039090	Colobus_angolensis_palliatus
ENSPTEP00000014048	ENSPTEG00000015688	Piliocolobus_tephrosceles
ENSCJAP00000036998	ENSCJAG00000019896	Callithrix_jacchus
ENSSBOP00000012945	ENSSBOG00000023233	Saimiri_boliviensis_boliviensis
ENSANAP00000041027	ENSANAG00000037844	Aotus_nancymaae
ENSPSMP00000011249	ENSPSMG00000008124	Prolemur_simus
ENSPCOP00000027066	ENSPCOG00000025976	Propithecus_coquereli
ENSMICP00000047471	ENSMICG00000005696	Microcebus_murinus
ENSOGAP00000007267	ENSOGAG00000008123	Otolemur_garnettii
ENSCPOP00000027959	ENSCPOG00000005281	Cavia_porcellus
ENSCAPP00000017092	ENSCAPG00000016842	Cavia_aperea
ENSODEP00000004974	ENSODEG00000003768	Octodon_degus
ENSCLAP00000013699	ENSCLAG00000009465	Chinchilla_lanigera
ENSHGLP00100003565	ENSHGLG00100002715	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016065	ENSHGLG00000011490	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005611	ENSFDAG00000014576	Fukomys_damarensis
ENSOPRP00000014911	ENSOPRG00000016334	Ochotona_princeps
ENSOCUP00000040457	ENSOCUG00000005171	Oryctolagus_cuniculus
ENSTSYP00000022404	ENSTSYG00000026331	Carlito_syrichta
ENSMUSP00000068479	ENSMUSG00000026817	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000011997	ENSMSIG00000010423	Mus_spicilegus
