ENSVURP00010023163	ENSVURG00010017748	Vombatus_ursinus	ENSVURT00010026356
ENSPCIP00000001509	ENSPCIG00000001203	Phascolarctos_cinereus	ENSPCIT00000001887
ENSSHAP00000015199	ENSSHAG00000012962	Sarcophilus_harrisii	ENSSHAT00000015325
ENSEASP00005021054	ENSEASG00005014412	Equus_asinus_asinus
ENSECAP00000014399	ENSECAG00000016651	Equus_caballus
ENSPVAP00000016214	ENSPVAG00000017186	Pteropus_vampyrus
ENSBIXP00005038973	ENSBIXG00005021235	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006943	ENSBIXG00000012996	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000025508	ENSBTAG00000019166	Bos_taurus
ENSBMUP00000019836	ENSBMUG00000014952	Bos_mutus
ENSCHIP00000013722	ENSCHIG00000015022	Capra_hircus
ENSTTRP00000003784	ENSTTRG00000004016	Tursiops_truncatus	ENSTTRT00000004017
ENSSSCP00000011404	ENSSSCG00000010700	Sus_scrofa_strain_reference
ENSPPAP00000024987	ENSPPAG00000035638	Pan_paniscus
ENSGGOP00000010401	ENSGGOG00000010663	Gorilla_gorilla
ENSPTRP00000005315	ENSPTRG00000003006	Pan_troglodytes
ENSP00000358019	ENSG00000107672	Homo_sapiens
ENSPPYP00000003168	ENSPPYG00000002712	Pongo_abelii
ENSNLEP00000020552	ENSNLEG00000016919	Nomascus_leucogenys
ENSRBIP00000016781	ENSRBIG00000032411	Rhinopithecus_bieti
ENSRROP00000022387	ENSRROG00000035053	Rhinopithecus_roxellana
ENSPTEP00000035012	ENSPTEG00000033128	Piliocolobus_tephrosceles
ENSCANP00000023189	ENSCANG00000035017	Colobus_angolensis_palliatus
ENSMFAP00000045011	ENSMFAG00000000251	Macaca_fascicularis
ENSMMUP00000015800	ENSMMUG00000012044	Macaca_mulatta
ENSMNEP00000010621	ENSMNEG00000029721	Macaca_nemestrina
ENSPANP00000016532	ENSPANG00000020473	Papio_anubis
ENSCSAP00000000960	ENSCSAG00000004638	Chlorocebus_sabaeus
ENSCATP00000029458	ENSCATG00000037970	Cercocebus_atys
ENSTGEP00000035441	ENSTGEG00000028198	Theropithecus_gelada
ENSMLEP00000005738	ENSMLEG00000024885	Mandrillus_leucophaeus
ENSCCAP00000039818	ENSCCAG00000037714	Cebus_capucinus_imitator
ENSSBOP00000036719	ENSSBOG00000034475	Saimiri_boliviensis_boliviensis
ENSCJAP00000002486	ENSCJAG00000001386	Callithrix_jacchus
ENSANAP00000007576	ENSANAG00000021849	Aotus_nancymaae
ENSTSYP00000008724	ENSTSYG00000009505	Carlito_syrichta
ENSPCOP00000003820	ENSPCOG00000011420	Propithecus_coquereli
ENSMICP00000043491	ENSMICG00000042455	Microcebus_murinus
ENSPSMP00000012409	ENSPSMG00000008948	Prolemur_simus
ENSOGAP00000008959	ENSOGAG00000010026	Otolemur_garnettii
ENSTBEP00000014167	ENSTBEG00000016289	Tupaia_belangeri
ENSUPAP00010007753	ENSUPAG00010006240	Urocitellus_parryii
ENSSTOP00000009968	ENSSTOG00000011112	Ictidomys_tridecemlineatus
ENSMMMP00000001316	ENSMMMG00000001206	Marmota_marmota_marmota
ENSCCNP00000014309	ENSCCNG00000014800	Castor_canadensis
MGP_SPRETEiJ_P0086147	MGP_SPRETEiJ_G0031671	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000125300	ENSMUSG00000040331	Mus_musculus_strain_reference_(CL57BL6)
