ENSPCIP00000039533	ENSPCIG00000029003	Phascolarctos_cinereus	ENSPCIT00000048699
ENSVURP00010016669	ENSVURG00010012773	Vombatus_ursinus	ENSVURT00010018950
ENSMODP00000005988	ENSMODG00000004864	Monodelphis_domestica	ENSMODT00000006114
ENSSHAP00000004753	ENSSHAG00000004174	Sarcophilus_harrisii	ENSSHAT00000004801
ENSPCOP00000015733	ENSPCOG00000019617	Propithecus_coquereli
ENSPSMP00000002237	ENSPSMG00000001693	Prolemur_simus
ENSMICP00000013011	ENSMICG00000014254	Microcebus_murinus
ENSOGAP00000010573	ENSOGAG00000011804	Otolemur_garnettii
ENSPTRP00000037806	ENSPTRG00000021996	Pan_troglodytes
ENSPPAP00000029751	ENSPPAG00000037881	Pan_paniscus
ENSGGOP00000021678	ENSGGOG00000006631	Gorilla_gorilla
ENSP00000363524	ENSG00000090889	Homo_sapiens
ENSPPYP00000022878	ENSPPYG00000020438	Pongo_abelii
ENSNLEP00000001034	ENSNLEG00000000879	Nomascus_leucogenys
ENSCANP00000019599	ENSCANG00000033235	Colobus_angolensis_palliatus
ENSPTEP00000018392	ENSPTEG00000019823	Piliocolobus_tephrosceles
ENSRROP00000021048	ENSRROG00000034451	Rhinopithecus_roxellana
ENSRBIP00000037962	ENSRBIG00000042533	Rhinopithecus_bieti
ENSTGEP00000009165	ENSTGEG00000007555	Theropithecus_gelada
ENSMLEP00000008939	ENSMLEG00000028671	Mandrillus_leucophaeus
ENSPANP00000000542	ENSPANG00000009949	Papio_anubis
ENSCATP00000041213	ENSCATG00000043218	Cercocebus_atys
ENSMMUP00000060043	ENSMMUG00000013940	Macaca_mulatta
ENSMFAP00000032281	ENSMFAG00000037167	Macaca_fascicularis
ENSMNEP00000045061	ENSMNEG00000045076	Macaca_nemestrina
ENSSBOP00000018537	ENSSBOG00000025898	Saimiri_boliviensis_boliviensis
ENSSBOP00000016842	ENSSBOG00000025073	Saimiri_boliviensis_boliviensis
ENSCCAP00000001100	ENSCCAG00000007020	Cebus_capucinus_imitator
ENSCJAP00000028666	ENSCJAG00000015566	Callithrix_jacchus
ENSANAP00000006473	ENSANAG00000021284	Aotus_nancymaae
ENSANAP00000004119	ENSANAG00000020154	Aotus_nancymaae
ENSCJAP00000057565	ENSCJAG00000003236	Callithrix_jacchus
ENSTBEP00000002643	ENSTBEG00000003017	Tupaia_belangeri
ENSCLAP00000014937	ENSCLAG00000010302	Chinchilla_lanigera
ENSODEP00000000760	ENSODEG00000000621	Octodon_degus
ENSCPOP00000000185	ENSCPOG00000000211	Cavia_porcellus
ENSHGLP00100003044	ENSHGLG00100002336	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100000025	ENSHGLG00100000049	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000010326	ENSHGLG00000007414	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022693	ENSFDAG00000021026	Fukomys_damarensis
ENSHGLP00000015721	ENSHGLG00000011248	Heterocephalus_glaber_HetGla_female_1.0
ENSUPAP00010017714	ENSUPAG00010014042	Urocitellus_parryii
ENSSDAP00000011200	ENSSDAG00000009947	Spermophilus_dauricus
ENSSTOP00000008630	ENSSTOG00000009604	Ictidomys_tridecemlineatus
ENSMMMP00000025204	ENSMMMG00000022057	Marmota_marmota_marmota
ENSMUSP00000048383	ENSMUSG00000034311	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0096029	MGP_SPRETEiJ_G0034438	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0092265	MGP_CAROLIEiJ_G0033274	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000029810	ENSMSIG00000024425	Mus_spicilegus
MGP_PahariEiJ_P0089880	MGP_PahariEiJ_G0031812	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073033	ENSRNOG00000038035	Rattus_norvegicus
ENSMUGP00000020966	ENSMUGG00000017513	Meriones_unguiculatus
ENSCGRP00001017521	ENSCGRG00001017530	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005036	ENSCGRG00000003685	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015016168	ENSCGRG00015012300	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000007934	ENSMAUG00000009423	Mesocricetus_auratus
ENSPEMP00000009472	ENSPEMG00000010692	Peromyscus_maniculatus_bairdii
ENSNGAP00000021200	ENSNGAG00000020445	Nannospalax_galili
ENSJJAP00000000350	ENSJJAG00000000294	Jaculus_jaculus
ENSDORP00000016322	ENSDORG00000007037	Dipodomys_ordii
