ENSSCAP00000015041	ENSSCAG00000011009	Serinus_canaria
ENSTGUP00000003623	ENSTGUG00000003513	Taeniopygia_guttata
ENSZALP00000019195	ENSZALG00000015257	Zonotrichia_albicollis
ENSMVIP00005020939	ENSMVIG00005014740	Manacus_vitellinus
ENSCCEP00000022365	ENSCCEG00000020221	Cyanistes_caeruleus
ENSCPUP00000001544	ENSCPUG00000001185	Calidris_pugnax
ENSPSIP00000019776	ENSPSIG00000017541	Pelodiscus_sinensis
ENSCPGP00000000408	ENSCPGG00000000339	Calidris_pygmaea
ENSABRP00000012496	ENSABRG00000011176	Anser_brachyrhynchus
ENSPMJP00000020492	ENSPMJG00000015260	Parus_major
ENSLCOP00000017856	ENSLCOG00000012619	Lepidothrix_coronata
ENSJHYP00000010127	ENSJHYG00000007947	Junco_hyemalis
ENSLSDP00000003810	ENSLSDG00000002958	Lonchura_striata_domestica
ENSGALP00000011696	ENSGALG00000007237	Gallus_gallus
ENSCJPP00005027265	ENSCJPG00005021156	Coturnix_japonica
ENSNMEP00000018905	ENSNMEG00000016370	Numida_meleagris
ENSGAGP00000011020	ENSGAGG00000008536	Gopherus_agassizii
ENSPVIP00000018236	ENSPVIG00000013943	Pogona_vitticeps
ENSACAP00000010333	ENSACAG00000010526	Anolis_carolinensis
ENSNSUP00000014364	ENSNSUG00000010633	Notechis_scutatus
ENSSMRP00000030465	ENSSMRG00000023353	Salvator_merianae
ENSSPUP00000005952	ENSSPUG00000004600	Sphenodon_punctatus
ENSGGOP00000013592	ENSGGOG00000013935	Gorilla_gorilla
ENSPTRP00000089578	ENSPTRG00000009774	Pan_troglodytes
ENSP00000421592	ENSG00000183684	Homo_sapiens
ENSPPYP00000009820	ENSPPYG00000008749	Pongo_abelii
ENSNLEP00000041346	ENSNLEG00000010313	Nomascus_leucogenys
ENSMMUP00000042995	ENSMMUG00000012884	Macaca_mulatta
ENSMNEP00000041705	ENSMNEG00000043666	Macaca_nemestrina
ENSMFAP00000008167	ENSMFAG00000001394	Macaca_fascicularis
ENSCSAP00000015818	ENSCSAG00000002216	Chlorocebus_sabaeus
ENSTGEP00000013192	ENSTGEG00000010727	Theropithecus_gelada
ENSCATP00000018739	ENSCATG00000033169	Cercocebus_atys
ENSPANP00000038801	ENSPANG00000019265	Papio_anubis
ENSPTEP00000032199	ENSPTEG00000030987	Piliocolobus_tephrosceles
ENSCCAP00000005682	ENSCCAG00000020578	Cebus_capucinus_imitator
ENSCJAP00000064668	ENSCJAG00000039942	Callithrix_jacchus
ENSCCAP00000024898	ENSCCAG00000030237	Cebus_capucinus_imitator
ENSANAP00000020895	ENSANAG00000028229	Aotus_nancymaae
ENSMICP00000015851	ENSMICG00000017403	Microcebus_murinus
ENSPCOP00000018034	ENSPCOG00000020874	Propithecus_coquereli
ENSPSMP00000018698	ENSPSMG00000013213	Prolemur_simus
ENSUPAP00010000440	ENSUPAG00010000402	Urocitellus_parryii
ENSCCNP00000009183	ENSCCNG00000009715	Castor_canadensis
ENSMUSP00000026125	ENSMUSG00000025134	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0033025	MGP_SPRETEiJ_G0018373	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000000254	ENSMSIG00000000268	Mus_spicilegus
MGP_CAROLIEiJ_P0031574	MGP_CAROLIEiJ_G0017529	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038287	MGP_PahariEiJ_G0018655	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0038288	MGP_PahariEiJ_G0018656	Mus_pahari_strain_PAHARI_EIJ
ENSMSIP00000028563	ENSMSIG00000024016	Mus_spicilegus
MGP_SPRETEiJ_P0022297	MGP_SPRETEiJ_G0015679	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000080242	ENSMUSG00000060244	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0021222	MGP_CAROLIEiJ_G0014874	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000140999	ENSMUSG00000094314	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000139588	ENSMUSG00000096640	Mus_musculus_strain_reference_(CL57BL6)
