ENSSPAP00000025667	ENSSPAG00000019393	Stegastes_partitus	ENSSPAT00000026090
ENSMAMP00000025807	ENSMAMG00000017327	Mastacembelus_armatus
ENSETEP00000004014	ENSETEG00000004920	Echinops_telfairi
ENSRROP00000022915	ENSRROG00000035305	Rhinopithecus_roxellana
ENSHHUP00000026368	ENSHHUG00000016698	Hucho_hucho
ENSVVUP00000019543	ENSVVUG00000014435	Vulpes_vulpes
ENSSDAP00000000812	ENSSDAG00000000780	Spermophilus_dauricus
ENSLBEP00000035810	ENSLBEG00000026857	Labrus_bergylta
ENSSDAP00000017910	ENSSDAG00000016327	Spermophilus_dauricus
ENSCSEP00000032157	ENSCSEG00000020648	Cynoglossus_semilaevis	ENSCSET00000032577
ENSBMUP00000006785	ENSBMUG00000005380	Bos_mutus
ENSMZEP00005022792	ENSMZEG00005017063	Maylandia_zebra
ENSBIXP00000040093	ENSBIXG00000024137	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMSIP00000005475	ENSMSIG00000004938	Mus_spicilegus
ENSMICP00000042210	ENSMICG00000041504	Microcebus_murinus
ENSPLAP00000008574	ENSPLAG00000011175	Poecilia_latipinna
ENSCHOP00000000592	ENSCHOG00000000669	Choloepus_hoffmanni
ENSJJAP00000012397	ENSJJAG00000015445	Jaculus_jaculus
ENSCGRP00015029942	ENSCGRG00015022528	Cricetulus_griseus_CriGri-PICR
ENSIPUP00000031845	ENSIPUG00000021401	Ictalurus_punctatus
ENSPANP00000038660	ENSPANG00000016687	Papio_anubis
ENSCGOP00000013834	ENSCGOG00000006701	Cottoperca_gobio
ENSBIXP00005028128	ENSBIXG00005029469	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCJPP00005026923	ENSCJPG00005020908	Coturnix_japonica
ENSUPAP00010001587	ENSUPAG00010001338	Urocitellus_parryii
ENSTGUP00000009574	ENSTGUG00000009279	Taeniopygia_guttata
ENSPCOP00000008960	ENSPCOG00000015802	Propithecus_coquereli
ENSRNOP00000015598	ENSRNOG00000011302	Rattus_norvegicus
ENSPCAP00000002469	ENSPCAG00000002640	Procavia_capensis
ENSLCOP00000006529	ENSLCOG00000004856	Lepidothrix_coronata
ENSHGLP00100006445	ENSHGLG00100004832	Heterocephalus_glaber_HetGla_1.0
