ENSSSCP00000021613	ENSSSCG00000025210	Sus_scrofa_strain_reference
ENSUMAP00000004128	ENSUMAG00000003350	Ursus_maritimus
ENSMOCP00000015501	ENSMOCG00000014675	Microtus_ochrogaster
ENSGWIP00000030183	ENSGWIG00000015726	Gouania_willdenowi
ENSBIXP00000025917	ENSBIXG00000028022	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLCAP00010019037	ENSLCAG00010008995	Lates_calcarifer
ENSGGOP00000012786	ENSGGOG00000013109	Gorilla_gorilla
ENSPTIP00000005116	ENSPTIG00000007429	Panthera_tigris_altaica
ENSCPGP00000006013	ENSCPGG00000004307	Calidris_pygmaea
ENSCSEP00000033086	ENSCSEG00000021238	Cynoglossus_semilaevis
ENSMUNP00000022050	ENSMUNG00000016595	Melopsittacus_undulatus
ENSCPRP00005002851	ENSCPRG00005002089	Crocodylus_porosus
ENSFALP00000013224	ENSFALG00000012675	Ficedula_albicollis
ENSHBUP00000029255	ENSHBUG00000013556	Haplochromis_burtoni
ENSMPUP00000008065	ENSMPUG00000008122	Mustela_putorius_furo
ENSLCRP00005024302	ENSLCRG00005009747	Larimichthys_crocea
ENSBIXP00005044114	ENSBIXG00005027902	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTGEP00000032158	ENSTGEG00000025701	Theropithecus_gelada
ENSXMAP00000001328	ENSXMAG00000001341	Xiphophorus_maculatus
ENSCANP00000009013	ENSCANG00000027908	Colobus_angolensis_palliatus
ENSCPOP00000026997	ENSCPOG00000032098	Cavia_porcellus
ENSOMEP00000002522	ENSOMEG00000003477	Oryzias_melastigma
ENSELUP00000028867	ENSELUG00000005612	Esox_lucius
ENSSDAP00000013374	ENSSDAG00000012072	Spermophilus_dauricus
ENSACLP00000009003	ENSACLG00000006124	Astatotilapia_calliptera
ENSDNVP00000019802	ENSDNVG00000013862	Dromaius_novaehollandiae	ENSDNVT00000023848
ENSNBRP00000000874	ENSNBRG00000000740	Neolamprologus_brichardi
ENSPMEP00000030064	ENSPMEG00000016253	Poecilia_mexicana
ENSAMXP00005007966	ENSAMXG00005004698	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLCOP00000011170	ENSLCOG00000008098	Lepidothrix_coronata	ENSLCOT00000011834
ENSTTRP00000012985	ENSTTRG00000013691	Tursiops_truncatus
ENSCSAP00000011033	ENSCSAG00000014925	Chlorocebus_sabaeus
ENSORLP00015010043	ENSORLG00015010897	Oryzias_latipes_ASM223469v1
MGP_CAROLIEiJ_P0035064	MGP_CAROLIEiJ_G0018761	Mus_caroli_strain_CAROLI_EIJ
ENSETEP00000005488	ENSETEG00000006759	Echinops_telfairi
ENSNGAP00000009105	ENSNGAG00000011883	Nannospalax_galili
ENSGAGP00000020802	ENSGAGG00000015310	Gopherus_agassizii
ENSNLEP00000015983	ENSNLEG00000013189	Nomascus_leucogenys
ENSCGRP00001010464	ENSCGRG00001012356	Cricetulus_griseus_CHOK1GS_HDv1
ENSAPEP00000033594	ENSAPEG00000023876	Amphiprion_percula
ENSBMUP00000010093	ENSBMUG00000007821	Bos_mutus
ENSGACP00000019482	ENSGACG00000014753	Gasterosteus_aculeatus
ENSAMXP00000033817	ENSAMXG00000029955	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSZALP00000013408	ENSZALG00000011163	Zonotrichia_albicollis
ENSPSMP00000028372	ENSPSMG00000019741	Prolemur_simus
ENSCVAP00000000442	ENSCVAG00000000052	Cyprinodon_variegatus
ENSMAMP00000014715	ENSMAMG00000009990	Mastacembelus_armatus
ENSCAFP00020003542	ENSCAFG00020002977	Canis_lupus_dingo
ENSMVIP00005027076	ENSMVIG00005018872	Manacus_vitellinus	ENSMVIT00005030451
ENSMLUP00000012681	ENSMLUG00000013935	Myotis_lucifugus
ENSEEUP00000001091	ENSEEUG00000001220	Erinaceus_europaeus
ENSMLEP00000020492	ENSMLEG00000034472	Mandrillus_leucophaeus
ENSHCOP00000009357	ENSHCOG00000011765	Hippocampus_comes
ENSLCAP00010039973	ENSLCAG00010018658	Lates_calcarifer
ENSACIP00000031274	ENSACIG00000024174	Amphilophus_citrinellus
ENSCHOP00000001278	ENSCHOG00000001442	Choloepus_hoffmanni
ENSCATP00000016374	ENSCATG00000032132	Cercocebus_atys
ENSUPAP00010008538	ENSUPAG00010006861	Urocitellus_parryii
ENSSHAP00000009823	ENSSHAG00000008505	Sarcophilus_harrisii
ENSCJAP00000066065	ENSCJAG00000042632	Callithrix_jacchus
ENSOCUP00000049016	ENSOCUG00000008736	Oryctolagus_cuniculus
ENSODEP00000006788	ENSODEG00000005078	Octodon_degus
ENSXETP00000033686	ENSXETG00000015938	Xenopus_tropicalis
ENSRBIP00000007996	ENSRBIG00000027905	Rhinopithecus_bieti
ENSMALP00000030632	ENSMALG00000021162	Monopterus_albus
ENSHHUP00000010276	ENSHHUG00000006271	Hucho_hucho
ENSLAFP00000011032	ENSLAFG00000013183	Loxodonta_africana
ENSABRP00000009892	ENSABRG00000008857	Anser_brachyrhynchus
ENSECAP00000023034	ENSECAG00000026970	Equus_caballus
ENSMUSP00000022119	ENSMUSG00000021619	Mus_musculus_strain_reference_(CL57BL6)
ENSRROP00000028150	ENSRROG00000037859	Rhinopithecus_roxellana
ENSPCOP00000013828	ENSPCOG00000018560	Propithecus_coquereli
ENSPNAP00000002253	ENSPNAG00000008684	Pygocentrus_nattereri
ENSNPEP00000021424	ENSNPEG00000015889	Nothoprocta_perdicaria	ENSNPET00000021974
ENSNSUP00000005826	ENSNSUG00000004695	Notechis_scutatus	ENSNSUT00000006274
ENSPPYP00000017447	ENSPPYG00000015607	Pongo_abelii
ENSSCAP00000011604	ENSSCAG00000008706	Serinus_canaria
ENSJJAP00000009821	ENSJJAG00000013587	Jaculus_jaculus
ENSDORP00000009297	ENSDORG00000009893	Dipodomys_ordii
ENSTGUP00000007145	ENSTGUG00000006943	Taeniopygia_guttata
ENSPVAP00000001969	ENSPVAG00000002082	Pteropus_vampyrus
ENSPMGP00000015526	ENSPMGG00000012722	Periophthalmus_magnuspinnatus
ENSCMIP00000016808	ENSCMIG00000008070	Callorhinchus_milii
ENSPREP00000017201	ENSPREG00000011634	Poecilia_reticulata
ENSMAUP00000010008	ENSMAUG00000011026	Mesocricetus_auratus
ENSSLDP00000026331	ENSSLDG00000020460	Seriola_lalandi_dorsalis
ENSBBBP00000006374	ENSBBBG00000001167	Bison_bison_bison
ENSGMOP00000005495	ENSGMOG00000005185	Gadus_morhua
ENSPKIP00000022451	ENSPKIG00000006450	Paramormyrops_kingsleyae
ENSSDUP00000005331	ENSSDUG00000003947	Seriola_dumerili
ENSDCDP00000047840	ENSDCDG00000029735	Denticeps_clupeoides
ENSACAP00000023091	ENSACAG00000028708	Anolis_carolinensis	ENSACAT00000030512
ENSCGRP00015018491	ENSCGRG00015014215	Cricetulus_griseus_CriGri-PICR
ENSOARP00000016595	ENSOARG00000015475	Ovis_aries
ENSLOCP00000002398	ENSLOCG00000002071	Lepisosteus_oculatus
ENSATEP00000009241	ENSATEG00000006491	Anabas_testudineus
ENSMEUP00000003119	ENSMEUG00000003416	Notamacropus_eugenii
ENSVURP00010023344	ENSVURG00010017892	Vombatus_ursinus
ENSP00000282185	ENSG00000152348	Homo_sapiens
ENSVPAP00000008771	ENSVPAG00000009426	Vicugna_pacos
ENSORLP00000009685	ENSORLG00000007733	Oryzias_latipes_ASM223467v1
ENSDNOP00000028871	ENSDNOG00000049021	Dasypus_novemcinctus
ENSPSIP00000017989	ENSPSIG00000015998	Pelodiscus_sinensis
ENSKMAP00000022826	ENSKMAG00000016938	Kryptolebias_marmoratus
MGP_SPRETEiJ_P0036733	MGP_SPRETEiJ_G0019644	Mus_spretus_strain_SPRET/EiJ
ENSFCAP00000029868	ENSFCAG00000036397	Felis_catus
ENSCPUP00000019778	ENSCPUG00000013557	Calidris_pugnax
ENSNVIP00000000518	ENSNVIG00000000443	Neovison_vison
ENSLACP00000015457	ENSLACG00000013608	Latimeria_chalumnae
ENSFHEP00000001622	ENSFHEG00000002381	Fundulus_heteroclitus
ENSMNEP00000037928	ENSMNEG00000042013	Macaca_nemestrina
ENSARWP00000019525	ENSARWG00000013372	Apteryx_rowi	ENSARWT00000022155
ENSCCNP00000003560	ENSCCNG00000003813	Castor_canadensis
ENSIPUP00000013039	ENSIPUG00000008886	Ictalurus_punctatus
ENSSMAP00000028011	ENSSMAG00000017143	Scophthalmus_maximus
ENSCLAP00000006949	ENSCLAG00000004893	Chinchilla_lanigera
ENSSFOP00015017898	ENSSFOG00015011520	Scleropages_formosus
ENSMICP00000049459	ENSMICG00000032372	Microcebus_murinus
ENSRNOP00000021942	ENSRNOG00000016342	Rattus_norvegicus
ENSTBEP00000006605	ENSTBEG00000007639	Tupaia_belangeri
ENSSPAP00000007944	ENSSPAG00000006076	Stegastes_partitus
ENSPCAP00000015231	ENSPCAG00000016299	Procavia_capensis
ENSXCOP00000009192	ENSXCOG00000007006	Xiphophorus_couchianus
ENSPTEP00000000036	ENSPTEG00000000071	Piliocolobus_tephrosceles
ENSMMUP00000069805	ENSMMUG00000003577	Macaca_mulatta
ENSAMEP00000016830	ENSAMEG00000015949	Ailuropoda_melanoleuca
ENSHGLP00000010933	ENSHGLG00000007844	Heterocephalus_glaber_HetGla_female_1.0
