ENSBSLP00000036607	ENSBSLG00000017886	Betta_splendens
ENSTNIP00000020027	ENSTNIG00000016909	Tetraodon_nigroviridis
ENSAOCP00000016773	ENSAOCG00000021757	Amphiprion_ocellaris
ENSHCOP00000010258	ENSHCOG00000012829	Hippocampus_comes
ENSOMEP00000012648	ENSOMEG00000014110	Oryzias_melastigma
ENSOPRP00000012061	ENSOPRG00000013211	Ochotona_princeps
ENSPNAP00000018511	ENSPNAG00000024898	Pygocentrus_nattereri	ENSPNAT00000027741
ENSONIP00000010331	ENSONIG00000008206	Oreochromis_niloticus
ENSEEEP00000044397	ENSEEEG00000020974	Electrophorus_electricus	ENSEEET00000044901
ENSCANP00000008386	ENSCANG00000026444	Colobus_angolensis_palliatus
ENSPTRP00000067759	ENSPTRG00000049892	Pan_troglodytes
ENSSLDP00000016091	ENSSLDG00000012771	Seriola_lalandi_dorsalis
F28D9.1.2	WBGene00004706	Caenorhabditis_elegans_strain_N2
ENSAPOP00000000050	ENSAPOG00000001170	Acanthochromis_polyacanthus
ENSTRUP00000005845	ENSTRUG00000002519	Takifugu_rubripes
ENSSFOP00015037720	ENSSFOG00015024011	Scleropages_formosus
ENSXMAP00000034250	ENSXMAG00000018863	Xiphophorus_maculatus
ENSPRNP00000032530	ENSPRNG00000016388	Parambassis_ranga
ENSGMOP00000020560	ENSGMOG00000019099	Gadus_morhua
ENSCGOP00000039106	ENSCGOG00000017889	Cottoperca_gobio
ENSLCRP00005043937	ENSLCRG00005016826	Larimichthys_crocea
ENSGACP00000009631	ENSGACG00000007266	Gasterosteus_aculeatus
ENSDARP00000124762	ENSDARG00000001244	Danio_rerio
ENSPKIP00000025372	ENSPKIG00000008252	Paramormyrops_kingsleyae
ENSPFOP00000022512	ENSPFOG00000022951	Poecilia_formosa
ENSDCDP00000046977	ENSDCDG00000029306	Denticeps_clupeoides
ENSLBEP00000018116	ENSLBEG00000013936	Labrus_bergylta
ENSELUP00000002003	ENSELUG00000003385	Esox_lucius
ENSSPAP00000012517	ENSSPAG00000009507	Stegastes_partitus
ENSPLAP00000022314	ENSPLAG00000006807	Poecilia_latipinna
ENSPPAP00000027369	ENSPPAG00000036722	Pan_paniscus
ENSORLP00015030840	ENSORLG00015014743	Oryzias_latipes_ASM223469v1
ENSIPUP00000024898	ENSIPUG00000016845	Ictalurus_punctatus	ENSIPUT00000025932
ENSATEP00000010911	ENSATEG00000007659	Anabas_testudineus
ENSPMEP00000001655	ENSPMEG00000002603	Poecilia_mexicana
ENSHHUP00000063760	ENSHHUG00000037635	Hucho_hucho
ENSSDUP00000017738	ENSSDUG00000012967	Seriola_dumerili
ENSPREP00000003793	ENSPREG00000002652	Poecilia_reticulata
ENSLCAP00010025293	ENSLCAG00010011840	Lates_calcarifer
ENSCSEP00000000132	ENSCSEG00000000122	Cynoglossus_semilaevis
ENSPFOP00000003771	ENSPFOG00000003551	Poecilia_formosa
ENSHHUP00000043751	ENSHHUG00000026821	Hucho_hucho
ENSXCOP00000015701	ENSXCOG00000011828	Xiphophorus_couchianus
ENSMAMP00000015180	ENSMAMG00000010305	Mastacembelus_armatus
ENSAPEP00000026669	ENSAPEG00000018964	Amphiprion_percula
ENSHBUP00000033450	ENSHBUG00000020364	Haplochromis_burtoni
ENSPLAP00000019705	ENSPLAG00000002058	Poecilia_latipinna
