ENSUAMP00000031042	ENSUAMG00000023839	Ursus_americanus
ENSUMAP00000025378	ENSUMAG00000018493	Ursus_maritimus
ENSNVIP00000029751	ENSNVIG00000022937	Neovison_vison
ENSVVUP00000035794	ENSVVUG00000025739	Vulpes_vulpes
ENSCAFP00020034807	ENSCAFG00020026968	Canis_lupus_dingo
ENSPPRP00000024313	ENSPPRG00000014520	Panthera_pardus
ENSPTIP00000002651	ENSPTIG00000005626	Panthera_tigris_altaica
ENSFCAP00000032870	ENSFCAG00000037442	Felis_catus
ENSECAP00000041232	ENSECAG00000031276	Equus_caballus
ENSPTRP00000063725	ENSPTRG00000050174	Pan_troglodytes
ENSPPAP00000001666	ENSPPAG00000007591	Pan_paniscus
ENSGGOP00000043844	ENSGGOG00000037437	Gorilla_gorilla
ENSNLEP00000035332	ENSNLEG00000034644	Nomascus_leucogenys
ENSRROP00000001511	ENSRROG00000006264	Rhinopithecus_roxellana
ENSRBIP00000006183	ENSRBIG00000026194	Rhinopithecus_bieti
ENSPTEP00000043308	ENSPTEG00000039456	Piliocolobus_tephrosceles
ENSTGEP00000016169	ENSTGEG00000013077	Theropithecus_gelada
ENSPANP00000042588	ENSPANG00000030893	Papio_anubis
ENSCATP00000007736	ENSCATG00000022992	Cercocebus_atys
ENSMLEP00000004845	ENSMLEG00000021941	Mandrillus_leucophaeus
ENSSBOP00000004141	ENSSBOG00000018457	Saimiri_boliviensis_boliviensis
ENSCCAP00000002654	ENSCCAG00000015790	Cebus_capucinus_imitator
ENSCJAP00000069338	ENSCJAG00000061454	Callithrix_jacchus
ENSANAP00000000934	ENSANAG00000008048	Aotus_nancymaae
ENSTSYP00000030874	ENSTSYG00000034447	Carlito_syrichta
ENSPSMP00000037052	ENSPSMG00000025491	Prolemur_simus
