ENSCCNP00000001568	ENSCCNG00000001781	Castor_canadensis	ENSCCNT00000002123
ENSDORP00000001636	ENSDORG00000001749	Dipodomys_ordii	ENSDORT00000001749
ENSCGRP00000026917	ENSCGRG00000020013	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001001597	ENSCGRG00001001392	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000000083	ENSMOCG00000000098	Microtus_ochrogaster
ENSPEMP00000009338	ENSPEMG00000010668	Peromyscus_maniculatus_bairdii
ENSMUSP00000055299	ENSMUSG00000049692	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0056719	MGP_SPRETEiJ_G0025221	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0054608	MGP_CAROLIEiJ_G0024301	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000015214	ENSMSIG00000013056	Mus_spicilegus
MGP_PahariEiJ_P0065586	MGP_PahariEiJ_G0025746	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000007847	ENSMUGG00000007125	Meriones_unguiculatus
ENSNGAP00000012173	ENSNGAG00000014119	Nannospalax_galili
ENSJJAP00000019017	ENSJJAG00000020111	Jaculus_jaculus
ENSHGLP00000008911	ENSHGLG00000006404	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014833	ENSHGLG00100010982	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022473	ENSFDAG00000020865	Fukomys_damarensis
ENSCLAP00000014496	ENSCLAG00000010005	Chinchilla_lanigera
ENSSDAP00000001570	ENSSDAG00000001555	Spermophilus_dauricus
ENSUPAP00010029721	ENSUPAG00010023385	Urocitellus_parryii
ENSMMMP00000027372	ENSMMMG00000023900	Marmota_marmota_marmota
ENSSTOP00000022965	ENSSTOG00000024083	Ictidomys_tridecemlineatus
ENSOCUP00000006324	ENSOCUG00000007314	Oryctolagus_cuniculus
ENSOGAP00000004199	ENSOGAG00000004697	Otolemur_garnettii
ENSTSYP00000011809	ENSTSYG00000012875	Carlito_syrichta
ENSPSMP00000024890	ENSPSMG00000017537	Prolemur_simus
ENSMICP00000015100	ENSMICG00000016576	Microcebus_murinus
ENSPCOP00000030470	ENSPCOG00000027957	Propithecus_coquereli
ENSPPAP00000021497	ENSPPAG00000033975	Pan_paniscus
ENSPTRP00000071815	ENSPTRG00000045802	Pan_troglodytes
ENSP00000354312	ENSG00000198326	Homo_sapiens
ENSGGOP00000007572	ENSGGOG00000041500	Gorilla_gorilla
ENSNLEP00000029338	ENSNLEG00000035344	Nomascus_leucogenys
ENSRBIP00000043533	ENSRBIG00000044922	Rhinopithecus_bieti
ENSRROP00000033583	ENSRROG00000040372	Rhinopithecus_roxellana
ENSCANP00000033028	ENSCANG00000040178	Colobus_angolensis_palliatus
ENSPTEP00000034049	ENSPTEG00000032375	Piliocolobus_tephrosceles
ENSMNEP00000045356	ENSMNEG00000045200	Macaca_nemestrina
ENSMFAP00000036439	ENSMFAG00000034564	Macaca_fascicularis
ENSPANP00000008977	ENSPANG00000024848	Papio_anubis
ENSTGEP00000014068	ENSTGEG00000011417	Theropithecus_gelada
ENSCATP00000044575	ENSCATG00000044765	Cercocebus_atys
ENSMLEP00000023074	ENSMLEG00000035749	Mandrillus_leucophaeus
ENSCSAP00000018281	ENSCSAG00000018759	Chlorocebus_sabaeus
ENSSBOP00000007612	ENSSBOG00000020753	Saimiri_boliviensis_boliviensis
ENSCCAP00000004691	ENSCCAG00000019930	Cebus_capucinus_imitator
ENSCJAP00000039163	ENSCJAG00000021046	Callithrix_jacchus
ENSANAP00000035668	ENSANAG00000035366	Aotus_nancymaae
ENSBIXP00005035419	ENSBIXG00005016548	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036453	ENSBIXG00000007246	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000026574	ENSBMUG00000019961	Bos_mutus
ENSBTAP00000042844	ENSBTAG00000021816	Bos_taurus
ENSBBBP00000024144	ENSBBBG00000004850	Bison_bison_bison
ENSCHIP00000008916	ENSCHIG00000011946	Capra_hircus
ENSOARP00000005873	ENSOARG00000005472	Ovis_aries
ENSSSCP00000007631	ENSSSCG00000007169	Sus_scrofa_strain_reference
ENSMLUP00000002464	ENSMLUG00000002712	Myotis_lucifugus
ENSECAP00000018416	ENSECAG00000021010	Equus_caballus
ENSEASP00005018890	ENSEASG00005013017	Equus_asinus_asinus
ENSNVIP00000026012	ENSNVIG00000020119	Neovison_vison
ENSMPUP00000008998	ENSMPUG00000009071	Mustela_putorius_furo
ENSUAMP00000006918	ENSUAMG00000006060	Ursus_americanus
ENSCAFP00020003870	ENSCAFG00020003241	Canis_lupus_dingo
ENSCAFP00000009867	ENSCAFG00000006599	Canis_lupus_familiaris
ENSVVUP00000035365	ENSVVUG00000025442	Vulpes_vulpes
ENSPPRP00000020151	ENSPPRG00000011307	Panthera_pardus
ENSPTIP00000000226	ENSPTIG00000000563	Panthera_tigris_altaica
ENSFCAP00000034459	ENSFCAG00000034447	Felis_catus
ENSLAFP00000016610	ENSLAFG00000021744	Loxodonta_africana
ENSDNOP00000026281	ENSDNOG00000035811	Dasypus_novemcinctus
ENSPCIP00000000810	ENSPCIG00000000664	Phascolarctos_cinereus
ENSVURP00010026073	ENSVURG00010019985	Vombatus_ursinus
ENSMODP00000035074	ENSMODG00000024670	Monodelphis_domestica
ENSSHAP00000019717	ENSSHAG00000016739	Sarcophilus_harrisii
