ENSMUSP00000081514	ENSMUSG00000049122	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0065193	MGP_SPRETEiJ_G0027076	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0062714	MGP_CAROLIEiJ_G0026111	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077850	MGP_PahariEiJ_G0028449	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060245	ENSRNOG00000006503	Rattus_norvegicus
ENSMUGP00000004205	ENSMUGG00000003815	Meriones_unguiculatus
ENSCGRP00015016014	ENSCGRG00015012268	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021794	ENSCGRG00001020520	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008849	ENSCGRG00000006469	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000003032	ENSMAUG00000003025	Mesocricetus_auratus
ENSMOCP00000008874	ENSMOCG00000008934	Microtus_ochrogaster
ENSPEMP00000034739	ENSPEMG00000018030	Peromyscus_maniculatus_bairdii
ENSNGAP00000003579	ENSNGAG00000004161	Nannospalax_galili
ENSCCNP00000006601	ENSCCNG00000006918	Castor_canadensis
ENSDORP00000000366	ENSDORG00000000390	Dipodomys_ordii
ENSJJAP00000018392	ENSJJAG00000019673	Jaculus_jaculus
ENSHGLP00100004389	ENSHGLG00100003324	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009752	ENSHGLG00000006997	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013213	ENSFDAG00000020534	Fukomys_damarensis
ENSCLAP00000005735	ENSCLAG00000004066	Chinchilla_lanigera
ENSODEP00000007698	ENSODEG00000005736	Octodon_degus
ENSCPOP00000023355	ENSCPOG00000006085	Cavia_porcellus
ENSCAPP00000016371	ENSCAPG00000016277	Cavia_aperea
ENSSTOP00000020665	ENSSTOG00000023510	Ictidomys_tridecemlineatus
ENSUPAP00010004612	ENSUPAG00010003726	Urocitellus_parryii
ENSMMMP00000023162	ENSMMMG00000020277	Marmota_marmota_marmota
ENSOCUP00000034368	ENSOCUG00000014957	Oryctolagus_cuniculus
ENSOPRP00000012920	ENSOPRG00000014153	Ochotona_princeps
ENSTBEP00000012176	ENSTBEG00000014039	Tupaia_belangeri
ENSPTEP00000005001	ENSPTEG00000005780	Piliocolobus_tephrosceles
ENSCANP00000007355	ENSCANG00000023955	Colobus_angolensis_palliatus
ENSRROP00000045891	ENSRROG00000045810	Rhinopithecus_roxellana
ENSPANP00000029427	ENSPANG00000024898	Papio_anubis
ENSTGEP00000035592	ENSTGEG00000028321	Theropithecus_gelada
ENSMFAP00000030159	ENSMFAG00000042216	Macaca_fascicularis
ENSMNEP00000036465	ENSMNEG00000041328	Macaca_nemestrina
ENSMLEP00000014134	ENSMLEG00000031192	Mandrillus_leucophaeus
ENSCATP00000019503	ENSCATG00000033534	Cercocebus_atys
ENSCCAP00000026880	ENSCCAG00000031195	Cebus_capucinus_imitator
ENSSBOP00000000877	ENSSBOG00000003764	Saimiri_boliviensis_boliviensis
ENSMMUP00000022606	ENSMMUG00000017180	Macaca_mulatta
ENSCSAP00000003892	ENSCSAG00000007627	Chlorocebus_sabaeus
ENSRBIP00000023981	ENSRBIG00000035892	Rhinopithecus_bieti
ENSPPYP00000021647	ENSPPYG00000019321	Pongo_abelii
ENSPPAP00000006681	ENSPPAG00000025462	Pan_paniscus
ENSANAP00000037316	ENSANAG00000036145	Aotus_nancymaae
ENSCJAP00000006518	ENSCJAG00000003554	Callithrix_jacchus
ENSP00000303508	ENSG00000172159	Homo_sapiens
ENSPTRP00000057913	ENSPTRG00000021053	Pan_troglodytes
ENSGGOP00000047511	ENSGGOG00000004546	Gorilla_gorilla
ENSNLEP00000031220	ENSNLEG00000003288	Nomascus_leucogenys
ENSTSYP00000012859	ENSTSYG00000014013	Carlito_syrichta
ENSPSMP00000028527	ENSPSMG00000019825	Prolemur_simus
ENSPCOP00000019385	ENSPCOG00000021630	Propithecus_coquereli
ENSMICP00000050218	ENSMICG00000000303	Microcebus_murinus
ENSSSCP00000047474	ENSSSCG00000010962	Sus_scrofa_strain_reference
ENSTTRP00000004389	ENSTTRG00000004618	Tursiops_truncatus
ENSCHIP00000026293	ENSCHIG00000022676	Capra_hircus
ENSOARP00000009711	ENSOARG00000009045	Ovis_aries
ENSBIXP00000021318	ENSBIXG00000007495	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005038194	ENSBIXG00005020373	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064783	ENSBTAG00000005247	Bos_taurus
ENSBMUP00000024481	ENSBMUG00000018384	Bos_mutus
ENSBBBP00000019080	ENSBBBG00000012302	Bison_bison_bison
