ENSMVIP00005025376	ENSMVIG00005017749	Manacus_vitellinus
ENSLCOP00000012189	ENSLCOG00000008844	Lepidothrix_coronata
ENSLSDP00000020723	ENSLSDG00000014676	Lonchura_striata_domestica
ENSTGUP00000011407	ENSTGUG00000011069	Taeniopygia_guttata
ENSSCAP00000003948	ENSSCAG00000003259	Serinus_canaria
ENSZALP00000003369	ENSZALG00000003386	Zonotrichia_albicollis
ENSJHYP00000010007	ENSJHYG00000007866	Junco_hyemalis
ENSPMJP00000011208	ENSPMJG00000008722	Parus_major
ENSCCEP00000006574	ENSCCEG00000007014	Cyanistes_caeruleus
ENSFALP00000014014	ENSFALG00000013432	Ficedula_albicollis
ENSMUNP00000002035	ENSMUNG00000001813	Melopsittacus_undulatus
ENSCPGP00000016422	ENSCPGG00000011550	Calidris_pygmaea
ENSCPUP00000022481	ENSCPUG00000015263	Calidris_pugnax
ENSABRP00000005145	ENSABRG00000004776	Anser_brachyrhynchus
ENSAPLP00000031494	ENSAPLG00000017168	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005023016	ENSCJPG00005018289	Coturnix_japonica
ENSGALP00000020639	ENSGALG00000012662	Gallus_gallus
ENSMGAP00000013591	ENSMGAG00000012894	Meleagris_gallopavo
ENSNMEP00000013062	ENSNMEG00000011975	Numida_meleagris
ENSAOWP00000019033	ENSAOWG00000012943	Apteryx_owenii
ENSAHAP00000006434	ENSAHAG00000004852	Apteryx_haastii
ENSARWP00000010766	ENSARWG00000007471	Apteryx_rowi
ENSNPEP00000021272	ENSNPEG00000015779	Nothoprocta_perdicaria
ENSDNVP00000010189	ENSDNVG00000007199	Dromaius_novaehollandiae
ENSCPRP00005026603	ENSCPRG00005018462	Crocodylus_porosus
ENSGAGP00000028885	ENSGAGG00000020926	Gopherus_agassizii
ENSCABP00000023362	ENSCABG00000017219	Chelonoidis_abingdonii
ENSCPBP00000033123	ENSCPBG00000023206	Chrysemys_picta_bellii
ENSPSIP00000017920	ENSPSIG00000015908	Pelodiscus_sinensis
ENSSMRP00000020428	ENSSMRG00000015900	Salvator_merianae
ENSACAP00000020892	ENSACAG00000015532	Anolis_carolinensis
ENSPVIP00000024997	ENSPVIG00000018794	Pogona_vitticeps
ENSNSUP00000017759	ENSNSUG00000013028	Notechis_scutatus
ENSSPUP00000006261	ENSSPUG00000004751	Sphenodon_punctatus
ENSPCIP00000046796	ENSPCIG00000031256	Phascolarctos_cinereus
ENSVURP00010006834	ENSVURG00010005299	Vombatus_ursinus
ENSMEUP00000014114	ENSMEUG00000015464	Notamacropus_eugenii
ENSSHAP00000011572	ENSSHAG00000009945	Sarcophilus_harrisii
ENSMODP00000051186	ENSMODG00000001926	Monodelphis_domestica
ENSCLAP00000014918	ENSCLAG00000010291	Chinchilla_lanigera
ENSODEP00000015106	ENSODEG00000011149	Octodon_degus
ENSHGLP00100021242	ENSHGLG00100015643	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013487	ENSHGLG00000009643	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000007685	ENSFDAG00000016131	Fukomys_damarensis
ENSCAPP00000006803	ENSCAPG00000008884	Cavia_aperea
ENSCPOP00000023916	ENSCPOG00000036136	Cavia_porcellus
ENSOPRP00000007798	ENSOPRG00000008531	Ochotona_princeps
ENSEEUP00000003403	ENSEEUG00000003741	Erinaceus_europaeus
ENSPPAP00000015462	ENSPPAG00000030878	Pan_paniscus
ENSPTRP00000009145	ENSPTRG00000005386	Pan_troglodytes
ENSP00000261402	ENSG00000074590	Homo_sapiens
ENSGGOP00000010522	ENSGGOG00000010793	Gorilla_gorilla
ENSPPYP00000005594	ENSPPYG00000004902	Pongo_abelii
ENSNLEP00000039655	ENSNLEG00000027950	Nomascus_leucogenys
ENSMMUP00000027568	ENSMMUG00000020951	Macaca_mulatta
ENSMFAP00000009493	ENSMFAG00000000816	Macaca_fascicularis
ENSMNEP00000026898	ENSMNEG00000036867	Macaca_nemestrina
ENSPANP00000008122	ENSPANG00000019452	Papio_anubis
ENSTGEP00000013630	ENSTGEG00000011067	Theropithecus_gelada
ENSCATP00000034408	ENSCATG00000040119	Cercocebus_atys
ENSMLEP00000032107	ENSMLEG00000040273	Mandrillus_leucophaeus
ENSCSAP00000015075	ENSCSAG00000002962	Chlorocebus_sabaeus
ENSRROP00000044892	ENSRROG00000045377	Rhinopithecus_roxellana
ENSRBIP00000036842	ENSRBIG00000042009	Rhinopithecus_bieti
ENSPTEP00000015678	ENSPTEG00000017312	Piliocolobus_tephrosceles
ENSCANP00000001183	ENSCANG00000004231	Colobus_angolensis_palliatus
ENSSBOP00000037524	ENSSBOG00000034859	Saimiri_boliviensis_boliviensis
ENSCCAP00000028793	ENSCCAG00000032382	Cebus_capucinus_imitator
ENSCJAP00000076995	ENSCJAG00000065819	Callithrix_jacchus
