FBpp0071145	FBgn0023506	Drosophila_melanogaster
F42H10.7b.1	WBGene00018371	Caenorhabditis_elegans_strain_N2
ENSPVIP00000007637	ENSPVIG00000006236	Pogona_vitticeps	ENSPVIT00000009826
ENSACAP00000002554	ENSACAG00000002608	Anolis_carolinensis	ENSACAT00000002619
ENSNSUP00000007839	ENSNSUG00000006122	Notechis_scutatus
ENSSMRP00000017836	ENSSMRG00000013911	Salvator_merianae
ENSSPUP00000005079	ENSSPUG00000003923	Sphenodon_punctatus
ENSPMJP00000023391	ENSPMJG00000017285	Parus_major
ENSCCEP00000023325	ENSCCEG00000020898	Cyanistes_caeruleus
ENSFALP00000008174	ENSFALG00000007834	Ficedula_albicollis
ENSJHYP00000018866	ENSJHYG00000014354	Junco_hyemalis
ENSZALP00000011168	ENSZALG00000009461	Zonotrichia_albicollis
ENSSCAP00000005722	ENSSCAG00000004539	Serinus_canaria
ENSLSDP00000004691	ENSLSDG00000003665	Lonchura_striata_domestica
ENSTGUP00000009161	ENSTGUG00000008886	Taeniopygia_guttata
ENSMVIP00005020455	ENSMVIG00005014459	Manacus_vitellinus
ENSLCOP00000017903	ENSLCOG00000012652	Lepidothrix_coronata
ENSCPGP00000000978	ENSCPGG00000000781	Calidris_pygmaea
ENSCPUP00000008473	ENSCPUG00000006093	Calidris_pugnax
ENSMUNP00000017399	ENSMUNG00000013374	Melopsittacus_undulatus
ENSMGAP00000007266	ENSMGAG00000007157	Meleagris_gallopavo
ENSCJPP00005009741	ENSCJPG00005008532	Coturnix_japonica
ENSGALP00000009447	ENSGALG00000005885	Gallus_gallus
ENSNMEP00000025536	ENSNMEG00000021624	Numida_meleagris
ENSAOWP00000013343	ENSAOWG00000009092	Apteryx_owenii
ENSAHAP00000026482	ENSAHAG00000018429	Apteryx_haastii
ENSDNVP00000005378	ENSDNVG00000003864	Dromaius_novaehollandiae
ENSNPEP00000013216	ENSNPEG00000009869	Nothoprocta_perdicaria
ENSCPRP00005001944	ENSCPRG00005001435	Crocodylus_porosus
ENSGAGP00000021181	ENSGAGG00000015565	Gopherus_agassizii
ENSCABP00000019733	ENSCABG00000014566	Chelonoidis_abingdonii
ENSCPBP00000013896	ENSCPBG00000010360	Chrysemys_picta_bellii
ENSPSIP00000006203	ENSPSIG00000005691	Pelodiscus_sinensis
ENSVURP00010020288	ENSVURG00010015537	Vombatus_ursinus
ENSPCIP00000051728	ENSPCIG00000001953	Phascolarctos_cinereus
ENSMEUP00000007263	ENSMEUG00000007959	Notamacropus_eugenii
ENSMODP00000012608	ENSMODG00000010066	Monodelphis_domestica
ENSSHAP00000009245	ENSSHAG00000008002	Sarcophilus_harrisii
ENSMUSP00000003621	ENSMUSG00000003527	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000023593	ENSMSIG00000019953	Mus_spicilegus
MGP_SPRETEiJ_P0042587	MGP_SPRETEiJ_G0021427	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0040736	MGP_CAROLIEiJ_G0020532	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028122	MGP_PahariEiJ_G0016237	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000000308	ENSRNOG00000000283	Rattus_norvegicus
ENSMUGP00000025965	ENSMUGG00000021635	Meriones_unguiculatus
ENSCGRP00001017949	ENSCGRG00001017846	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000003731	ENSCGRG00000002752	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012556	ENSMAUG00000012831	Mesocricetus_auratus
ENSMOCP00000021914	ENSMOCG00000019116	Microtus_ochrogaster
ENSPEMP00000024798	ENSPEMG00000021417	Peromyscus_maniculatus_bairdii
ENSNGAP00000014774	ENSNGAG00000015992	Nannospalax_galili
ENSJJAP00000001752	ENSJJAG00000002400	Jaculus_jaculus
ENSHGLP00000018800	ENSHGLG00000013469	Heterocephalus_glaber_HetGla_female_1.0
ENSCAPP00000001738	ENSCAPG00000003617	Cavia_aperea
ENSODEP00000017538	ENSODEG00000012930	Octodon_degus
ENSODEP00000022343	ENSODEG00000016401	Octodon_degus
ENSCLAP00000022246	ENSCLAG00000015255	Chinchilla_lanigera
ENSHGLP00000000656	ENSHGLG00000000570	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012846	ENSHGLG00100009515	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000000064	ENSFDAG00000010415	Fukomys_damarensis
ENSCPOP00000004142	ENSCPOG00000004596	Cavia_porcellus
ENSCCNP00000026180	ENSCCNG00000025433	Castor_canadensis
ENSDORP00000003532	ENSDORG00000003784	Dipodomys_ordii
ENSSDAP00000011100	ENSSDAG00000010003	Spermophilus_dauricus
ENSUPAP00010014804	ENSUPAG00010011854	Urocitellus_parryii
ENSMMMP00000002972	ENSMMMG00000002719	Marmota_marmota_marmota
ENSSTOP00000002515	ENSSTOG00000002817	Ictidomys_tridecemlineatus
ENSOCUP00000006078	ENSOCUG00000007030	Oryctolagus_cuniculus
ENSOPRP00000010604	ENSOPRG00000011624	Ochotona_princeps
ENSPTRP00000024204	ENSPTRG00000014055	Pan_troglodytes
ENSPPAP00000021882	ENSPPAG00000034139	Pan_paniscus
ENSP00000252137	ENSG00000100056	Homo_sapiens
ENSGGOP00000006053	ENSGGOG00000006187	Gorilla_gorilla
ENSPPYP00000012911	ENSPPYG00000011574	Pongo_abelii
ENSNLEP00000006300	ENSNLEG00000005148	Nomascus_leucogenys
ENSMMUP00000051594	ENSMMUG00000017384	Macaca_mulatta
ENSMNEP00000011019	ENSMNEG00000029888	Macaca_nemestrina
ENSMFAP00000030780	ENSMFAG00000042569	Macaca_fascicularis
ENSCATP00000043590	ENSCATG00000044330	Cercocebus_atys
ENSMLEP00000009571	ENSMLEG00000028952	Mandrillus_leucophaeus
ENSTGEP00000003595	ENSTGEG00000003042	Theropithecus_gelada
ENSPANP00000015830	ENSPANG00000001052	Papio_anubis
ENSCSAP00000007690	ENSCSAG00000011488	Chlorocebus_sabaeus
ENSCANP00000015860	ENSCANG00000031376	Colobus_angolensis_palliatus
ENSCANP00000000436	ENSCANG00000001633	Colobus_angolensis_palliatus
ENSPTEP00000010029	ENSPTEG00000011381	Piliocolobus_tephrosceles
ENSRROP00000003567	ENSRROG00000014140	Rhinopithecus_roxellana
ENSRBIP00000031072	ENSRBIG00000039387	Rhinopithecus_bieti
ENSCCAP00000007644	ENSCCAG00000021557	Cebus_capucinus_imitator
ENSSBOP00000032024	ENSSBOG00000032190	Saimiri_boliviensis_boliviensis
ENSANAP00000011833	ENSANAG00000023850	Aotus_nancymaae
ENSTSYP00000003244	ENSTSYG00000003539	Carlito_syrichta
ENSPSMP00000029873	ENSPSMG00000020731	Prolemur_simus
ENSPCOP00000028575	ENSPCOG00000026937	Propithecus_coquereli
ENSMICP00000000064	ENSMICG00000000068	Microcebus_murinus
ENSOGAP00000007117	ENSOGAG00000007950	Otolemur_garnettii
ENSTBEP00000012954	ENSTBEG00000014916	Tupaia_belangeri
ENSMLUP00000006650	ENSMLUG00000007286	Myotis_lucifugus
ENSPVAP00000001563	ENSPVAG00000001659	Pteropus_vampyrus
ENSUAMP00000027285	ENSUAMG00000021143	Ursus_americanus
ENSUMAP00000006140	ENSUMAG00000004834	Ursus_maritimus
ENSAMEP00000011855	ENSAMEG00000011256	Ailuropoda_melanoleuca
ENSMPUP00000003778	ENSMPUG00000003809	Mustela_putorius_furo
ENSNVIP00000029046	ENSNVIG00000022393	Neovison_vison
ENSCAFP00000021822	ENSCAFG00000014804	Canis_lupus_familiaris
ENSCAFP00020013166	ENSCAFG00020010579	Canis_lupus_dingo
ENSVVUP00000032871	ENSVVUG00000023785	Vulpes_vulpes
ENSPTIP00000005443	ENSPTIG00000007661	Panthera_tigris_altaica
ENSPPRP00000013082	ENSPPRG00000006405	Panthera_pardus
ENSEASP00005008522	ENSEASG00005006119	Equus_asinus_asinus
ENSSARP00000013020	ENSSARG00000014399	Sorex_araneus
ENSBIXP00005012934	ENSBIXG00005017113	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000035631	ENSBIXG00000006746	Bos_indicus_x_Bos_taurus_UOA_Angus_1
