ENSGAGP00000032729	ENSGAGG00000023390	Gopherus_agassizii	ENSGAGT00000037093
ENSCPBP00000005235	ENSCPBG00000004206	Chrysemys_picta_bellii
ENSPSIP00000003272	ENSPSIG00000003115	Pelodiscus_sinensis
ENSGALP00000055337	ENSGALG00000039411	Gallus_gallus
ENSMGAP00000005642	ENSMGAG00000005707	Meleagris_gallopavo
ENSNMEP00000016371	ENSNMEG00000014450	Numida_meleagris
ENSCJPP00005011048	ENSCJPG00005009531	Coturnix_japonica
ENSTGUP00000004205	ENSTGUG00000004089	Taeniopygia_guttata
ENSZALP00000005975	ENSZALG00000005507	Zonotrichia_albicollis
ENSFALP00000012758	ENSFALG00000012208	Ficedula_albicollis
ENSPMJP00000013224	ENSPMJG00000010085	Parus_major
ENSABRP00000008332	ENSABRG00000007508	Anser_brachyrhynchus
ENSAPLP00000008378	ENSAPLG00000008681	Anas_platyrhynchos_platyrhynchos
ENSDNVP00000006959	ENSDNVG00000004978	Dromaius_novaehollandiae
ENSACAP00000012419	ENSACAG00000012641	Anolis_carolinensis
ENSSMRP00000018825	ENSSMRG00000014662	Salvator_merianae
ENSVURP00010006211	ENSVURG00010004195	Vombatus_ursinus
ENSPCIP00000048351	ENSPCIG00000020507	Phascolarctos_cinereus
ENSMEUP00000014139	ENSMEUG00000015469	Notamacropus_eugenii
ENSSHAP00000007559	ENSSHAG00000006570	Sarcophilus_harrisii
ENSMODP00000025759	ENSMODG00000020594	Monodelphis_domestica
ENSOANP00000021891	ENSOANG00000013880	Ornithorhynchus_anatinus
ENSPVAP00000015780	ENSPVAG00000016722	Pteropus_vampyrus
ENSMLUP00000002892	ENSMLUG00000003165	Myotis_lucifugus
ENSECAP00000015288	ENSECAG00000017518	Equus_caballus
ENSSARP00000002991	ENSSARG00000003184	Sorex_araneus
ENSMPUP00000008610	ENSMPUG00000008679	Mustela_putorius_furo
ENSAMEP00000001799	ENSAMEG00000001701	Ailuropoda_melanoleuca
ENSPPRP00000019290	ENSPPRG00000010801	Panthera_pardus
ENSPTIP00000013270	ENSPTIG00000013006	Panthera_tigris_altaica
ENSOARP00000007793	ENSOARG00000007257	Ovis_aries
ENSCHIP00000015484	ENSCHIG00000016113	Capra_hircus
ENSTTRP00000000965	ENSTTRG00000001025	Tursiops_truncatus
ENSVPAP00000009150	ENSVPAG00000009832	Vicugna_pacos
ENSMSIP00000036821	ENSMSIG00000030632	Mus_spicilegus
MGP_SPRETEiJ_P0062923	MGP_SPRETEiJ_G0026586	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000079210	ENSMUSG00000058897	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0060518	MGP_CAROLIEiJ_G0025633	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0071445	MGP_PahariEiJ_G0027082	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064468	ENSRNOG00000050706	Rattus_norvegicus
ENSMUGP00000026161	ENSMUGG00000021750	Meriones_unguiculatus
ENSPEMP00000000707	ENSPEMG00000000474	Peromyscus_maniculatus_bairdii
ENSMOCP00000005638	ENSMOCG00000005127	Microtus_ochrogaster
ENSCGRP00000015634	ENSCGRG00000011334	Cricetulus_griseus_CriGri_1.0
