ENSUPAP00010028069	ENSUPAG00010022174	Urocitellus_parryii
ENSVVUP00000003818	ENSVVUG00000003008	Vulpes_vulpes
ENSCAFP00020011879	ENSCAFG00020009562	Canis_lupus_dingo
ENSUMAP00000022534	ENSUMAG00000016486	Ursus_maritimus
ENSCPOP00000025143	ENSCPOG00000010407	Cavia_porcellus
ENSETEP00000011617	ENSETEG00000014321	Echinops_telfairi
ENSEEUP00000009134	ENSEEUG00000010030	Erinaceus_europaeus
ENSDNOP00000013468	ENSDNOG00000017385	Dasypus_novemcinctus
ENSPTIP00000006292	ENSPTIG00000008241	Panthera_tigris_altaica
ENSCANP00000002281	ENSCANG00000008660	Colobus_angolensis_palliatus
ENSJJAP00000001648	ENSJJAG00000002074	Jaculus_jaculus
ENSMLUP00000005472	ENSMLUG00000005991	Myotis_lucifugus	ENSMLUT00000005990
ENSPVAP00000010978	ENSPVAG00000011647	Pteropus_vampyrus	ENSPVAT00000011647
ENSOPRP00000007041	ENSOPRG00000007702	Ochotona_princeps
ENSMMMP00000022294	ENSMMMG00000019600	Marmota_marmota_marmota
ENSCJAP00000070736	ENSCJAG00000039442	Callithrix_jacchus
ENSOPRP00000003931	ENSOPRG00000004285	Ochotona_princeps
ENSCAFP00000058539	ENSCAFG00000019775	Canis_lupus_familiaris
ENSPPYP00000002586	ENSPPYG00000002211	Pongo_abelii
ENSHGLP00000000184	ENSHGLG00000000194	Heterocephalus_glaber_HetGla_female_1.0
ENSCAPP00000005352	ENSCAPG00000007697	Cavia_aperea
ENSFDAP00000019735	ENSFDAG00000008935	Fukomys_damarensis
ENSPEMP00000026110	ENSPEMG00000022318	Peromyscus_maniculatus_bairdii
ENSODEP00000008290	ENSODEG00000006180	Octodon_degus
