ENSGACP00000025404	ENSGACG00000019218	Gasterosteus_aculeatus
ENSCGOP00000018314	ENSCGOG00000008762	Cottoperca_gobio
ENSTRUP00000023600	ENSTRUG00000009389	Takifugu_rubripes
ENSTNIP00000001177	ENSTNIG00000006345	Tetraodon_nigroviridis
ENSMMOP00000023004	ENSMMOG00000017499	Mola_mola
ENSCSEP00000031836	ENSCSEG00000020405	Cynoglossus_semilaevis
ENSPRNP00000015807	ENSPRNG00000008462	Parambassis_ranga
ENSGWIP00000033606	ENSGWIG00000017321	Gouania_willdenowi
ENSPMEP00000033948	ENSPMEG00000022783	Poecilia_mexicana
ENSPLAP00000031478	ENSPLAG00000023492	Poecilia_latipinna
ENSCVAP00000030963	ENSCVAG00000019900	Cyprinodon_variegatus
ENSMALP00000033001	ENSMALG00000022706	Monopterus_albus
ENSMAMP00000002461	ENSMAMG00000001720	Mastacembelus_armatus
ENSBSLP00000013208	ENSBSLG00000006999	Betta_splendens
ENSSDUP00000001715	ENSSDUG00000001348	Seriola_dumerili
ENSSLDP00000010330	ENSSLDG00000008242	Seriola_lalandi_dorsalis
ENSLCAP00010032315	ENSLCAG00010015216	Lates_calcarifer
ENSATEP00000022940	ENSATEG00000015901	Anabas_testudineus
ENSXMAP00000017568	ENSXMAG00000017541	Xiphophorus_maculatus
ENSXCOP00000013412	ENSXCOG00000010168	Xiphophorus_couchianus
ENSGAFP00000029074	ENSGAFG00000019616	Gambusia_affinis
ENSPLAP00000031458	ENSPLAG00000023460	Poecilia_latipinna
ENSPFOP00000010176	ENSPFOG00000010222	Poecilia_formosa
ENSPREP00000032957	ENSPREG00000022340	Poecilia_reticulata
ENSFHEP00000006179	ENSFHEG00000007216	Fundulus_heteroclitus
ENSKMAP00000010261	ENSKMAG00000007712	Kryptolebias_marmoratus
ENSORLP00015011540	ENSORLG00015012380	Oryzias_latipes_ASM223469v1
ENSORLP00000039108	ENSORLG00000026203	Oryzias_latipes_ASM223467v1
ENSORLP00020016670	ENSORLG00020017731	Oryzias_latipes_ASM223471v1
ENSOMEP00000018544	ENSOMEG00000020258	Oryzias_melastigma
ENSHBUP00000004156	ENSHBUG00000005452	Haplochromis_burtoni
ENSACLP00000006248	ENSACLG00000004216	Astatotilapia_calliptera
ENSMZEP00005023550	ENSMZEG00005017625	Maylandia_zebra
ENSPNYP00000016381	ENSPNYG00000012402	Pundamilia_nyererei
ENSNBRP00000017909	ENSNBRG00000013800	Neolamprologus_brichardi
ENSONIP00000014604	ENSONIG00000011596	Oreochromis_niloticus
ENSACIP00000027666	ENSACIG00000021436	Amphilophus_citrinellus
ENSAPEP00000004816	ENSAPEG00000003459	Amphiprion_percula
ENSAPOP00000032391	ENSAPOG00000020258	Acanthochromis_polyacanthus
ENSSPAP00000016576	ENSSPAG00000012507	Stegastes_partitus
ENSLCRP00005013280	ENSLCRG00005005775	Larimichthys_crocea
ENSLBEP00000031802	ENSLBEG00000023999	Labrus_bergylta
ENSPMGP00000020110	ENSPMGG00000016282	Periophthalmus_magnuspinnatus
ENSHCOP00000018686	ENSHCOG00000003426	Hippocampus_comes
ENSGMOP00000011469	ENSGMOG00000010722	Gadus_morhua
ENSDCDP00000062913	ENSDCDG00000035555	Denticeps_clupeoides
ENSECRP00000027497	ENSECRG00000018615	Erpetoichthys_calabaricus
ENSLACP00000005063	ENSLACG00000004504	Latimeria_chalumnae
ENSPNAP00000031322	ENSPNAG00000003538	Pygocentrus_nattereri
ENSAMXP00000036428	ENSAMXG00000031090	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000017718	ENSEEEG00000008755	Electrophorus_electricus
ENSIPUP00000024883	ENSIPUG00000016832	Ictalurus_punctatus
ENSDARP00000131103	ENSDARG00000099427	Danio_rerio
ENSCHAP00000025084	ENSCHAG00000012264	Clupea_harengus
ENSHHUP00000037932	ENSHHUG00000023723	Hucho_hucho
ENSHHUP00000091404	ENSHHUG00000052730	Hucho_hucho
ENSELUP00000012710	ENSELUG00000012912	Esox_lucius
ENSPKIP00000022124	ENSPKIG00000006255	Paramormyrops_kingsleyae
ENSLOCP00000013491	ENSLOCG00000010999	Lepisosteus_oculatus
ENSLSDP00000000135	ENSLSDG00000000139	Lonchura_striata_domestica
ENSPMJP00000022667	ENSPMJG00000016771	Parus_major
ENSJHYP00000017588	ENSJHYG00000013438	Junco_hyemalis
ENSLCOP00000018774	ENSLCOG00000013279	Lepidothrix_coronata
ENSCJPP00005004929	ENSCJPG00005004773	Coturnix_japonica	ENSCJPT00005008090
ENSCPGP00000013353	ENSCPGG00000009471	Calidris_pygmaea
ENSABRP00000009993	ENSABRG00000008955	Anser_brachyrhynchus	ENSABRT00000014255
ENSDNVP00000017407	ENSDNVG00000012168	Dromaius_novaehollandiae
ENSGALP00000044989	ENSGALG00000035650	Gallus_gallus
ENSSCAP00000020878	ENSSCAG00000015033	Serinus_canaria
ENSARWP00000018098	ENSARWG00000012438	Apteryx_rowi
ENSAHAP00000006560	ENSAHAG00000004927	Apteryx_haastii
ENSCABP00000011394	ENSCABG00000008484	Chelonoidis_abingdonii
ENSSMRP00000029638	ENSSMRG00000022783	Salvator_merianae
ENSNSUP00000012932	ENSNSUG00000009683	Notechis_scutatus
ENSCGRP00015036216	ENSCGRG00015027153	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011980	ENSCGRG00001013497	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000012949	ENSMAUG00000013123	Mesocricetus_auratus
ENSMOCP00000000749	ENSMOCG00000000592	Microtus_ochrogaster
ENSPEMP00000018223	ENSPEMG00000016893	Peromyscus_maniculatus_bairdii
ENSMUSP00000133620	ENSMUSG00000029112	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0070164	MGP_SPRETEiJ_G0028110	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000024050	ENSMSIG00000020362	Mus_spicilegus
MGP_CAROLIEiJ_P0067537	MGP_CAROLIEiJ_G0027114	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0030751	MGP_PahariEiJ_G0016898	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064746	ENSRNOG00000005113	Rattus_norvegicus
ENSMUGP00000020841	ENSMUGG00000017562	Meriones_unguiculatus
ENSNGAP00000011918	ENSNGAG00000013945	Nannospalax_galili
ENSJJAP00000015401	ENSJJAG00000017578	Jaculus_jaculus
