ENSMUSP00000046010	ENSMUSG00000034041	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0088783	MGP_SPRETEiJ_G0032424	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000016663	ENSMSIG00000014285	Mus_spicilegus
MGP_CAROLIEiJ_P0085282	MGP_CAROLIEiJ_G0031306	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053550	MGP_PahariEiJ_G0022911	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000003980	ENSRNOG00000002950	Rattus_norvegicus
ENSMUGP00000016615	ENSMUGG00000014238	Meriones_unguiculatus
ENSCGRP00015022583	ENSCGRG00015017186	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000013429	ENSCGRG00000009746	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021266	ENSCGRG00001020161	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000000231	ENSMOCG00000000199	Microtus_ochrogaster
ENSPEMP00000034695	ENSPEMG00000026641	Peromyscus_maniculatus_bairdii
ENSNGAP00000012944	ENSNGAG00000014673	Nannospalax_galili
ENSJJAP00000013108	ENSJJAG00000015977	Jaculus_jaculus
ENSCCNP00000017954	ENSCCNG00000018265	Castor_canadensis
ENSCLAP00000021138	ENSCLAG00000014483	Chinchilla_lanigera
ENSODEP00000014878	ENSODEG00000010992	Octodon_degus
ENSHGLP00100009670	ENSHGLG00100007171	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014889	ENSHGLG00000010638	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003789	ENSFDAG00000013154	Fukomys_damarensis
ENSCPOP00000030898	ENSCPOG00000036111	Cavia_porcellus
ENSSTOP00000018145	ENSSTOG00000028401	Ictidomys_tridecemlineatus
ENSUPAP00010010289	ENSUPAG00010008333	Urocitellus_parryii
ENSMMMP00000024057	ENSMMMG00000021069	Marmota_marmota_marmota
ENSOPRP00000008649	ENSOPRG00000009458	Ochotona_princeps
ENSGGOP00000024698	ENSGGOG00000023512	Gorilla_gorilla
ENSP00000264824	ENSG00000104903	Homo_sapiens
ENSPTRP00000074551	ENSPTRG00000049311	Pan_troglodytes
ENSPPAP00000009695	ENSPPAG00000028076	Pan_paniscus
ENSPPYP00000010785	ENSPPYG00000009621	Pongo_abelii
ENSNLEP00000015792	ENSNLEG00000013010	Nomascus_leucogenys
ENSTGEP00000003040	ENSTGEG00000002625	Theropithecus_gelada
ENSPANP00000000128	ENSPANG00000014670	Papio_anubis
ENSMLEP00000031759	ENSMLEG00000040101	Mandrillus_leucophaeus
ENSCATP00000043954	ENSCATG00000044487	Cercocebus_atys
ENSMNEP00000002873	ENSMNEG00000013370	Macaca_nemestrina
ENSMFAP00000019978	ENSMFAG00000032986	Macaca_fascicularis
ENSCSAP00000002791	ENSCSAG00000006504	Chlorocebus_sabaeus
ENSRBIP00000000158	ENSRBIG00000000841	Rhinopithecus_bieti
ENSRROP00000013373	ENSRROG00000030934	Rhinopithecus_roxellana
ENSCANP00000023881	ENSCANG00000035351	Colobus_angolensis_palliatus
ENSPTEP00000005325	ENSPTEG00000006171	Piliocolobus_tephrosceles
ENSSBOP00000038509	ENSSBOG00000035321	Saimiri_boliviensis_boliviensis
ENSCCAP00000037695	ENSCCAG00000036697	Cebus_capucinus_imitator
ENSCJAP00000008337	ENSCJAG00000004598	Callithrix_jacchus
ENSANAP00000041072	ENSANAG00000037857	Aotus_nancymaae
ENSTSYP00000023724	ENSTSYG00000029040	Carlito_syrichta
ENSPCOP00000029315	ENSPCOG00000027352	Propithecus_coquereli
ENSPSMP00000006006	ENSPSMG00000004557	Prolemur_simus
