ENSSSCP00000042610	ENSSSCG00000039196	Sus_scrofa_strain_reference
ENSCSAP00000000611	ENSCSAG00000004254	Chlorocebus_sabaeus
ENSPTRP00000018648	ENSPTRG00000010885	Pan_troglodytes
ENSCPBP00000008643	ENSCPBG00000006726	Chrysemys_picta_bellii
ENSOARP00000005651	ENSOARG00000005266	Ovis_aries
ENSPANP00000004770	ENSPANG00000004508	Papio_anubis
ENSNVIP00000020755	ENSNVIG00000016263	Neovison_vison
ENSTTRP00000003689	ENSTTRG00000003919	Tursiops_truncatus
ENSGAFP00000001487	ENSGAFG00000001037	Gambusia_affinis
ENSGACP00000008856	ENSGACG00000006679	Gasterosteus_aculeatus
ENSHCOP00000008670	ENSHCOG00000010967	Hippocampus_comes
ENSGALP00000051183	ENSGALG00000038595	Gallus_gallus
ENSTGEP00000022728	ENSTGEG00000018402	Theropithecus_gelada
ENSPKIP00000013788	ENSPKIG00000001086	Paramormyrops_kingsleyae
ENSDORP00000019529	ENSDORG00000028728	Dipodomys_ordii
ENSTGEP00000016600	ENSTGEG00000013426	Theropithecus_gelada
ENSHGLP00100019688	ENSHGLG00100014515	Heterocephalus_glaber_HetGla_1.0
ENSPPAP00000020448	ENSPPAG00000033446	Pan_paniscus
ENSTRUP00000050208	ENSTRUG00000022235	Takifugu_rubripes
ENSEBUP00000011465	ENSEBUG00000007333	Eptatretus_burgeri	ENSEBUT00000012033
ENSSMRP00000019673	ENSSMRG00000015344	Salvator_merianae
ENSODEP00000024454	ENSODEG00000017901	Octodon_degus
ENSAOCP00000032205	ENSAOCG00000024378	Amphiprion_ocellaris
Y97E10AR.5.1	WBGene00022400	Caenorhabditis_elegans_strain_N2
ENSCCEP00000021921	ENSCCEG00000019849	Cyanistes_caeruleus
ENSVURP00010030802	ENSVURG00010023559	Vombatus_ursinus
ENSAMEP00000001043	ENSAMEG00000000993	Ailuropoda_melanoleuca
ENSPCAP00000003256	ENSPCAG00000003494	Procavia_capensis
ENSMMOP00000006321	ENSMMOG00000004945	Mola_mola
ENSTSYP00000018417	ENSTSYG00000031752	Carlito_syrichta
ENSPTEP00000009670	ENSPTEG00000010976	Piliocolobus_tephrosceles
ENSLCAP00010056977	ENSLCAG00010026597	Lates_calcarifer
ENSPLAP00000024445	ENSPLAG00000010639	Poecilia_latipinna
ENSLAFP00000013012	ENSLAFG00000015527	Loxodonta_africana
ENSORLP00015033893	ENSORLG00015019529	Oryzias_latipes_ASM223469v1
ENSVVUP00000018495	ENSVVUG00000013588	Vulpes_vulpes
ENSGAGP00000021527	ENSGAGG00000015806	Gopherus_agassizii
ENSNBRP00000000830	ENSNBRG00000000723	Neolamprologus_brichardi
ENSTNIP00000014688	ENSTNIG00000011737	Tetraodon_nigroviridis
ENSELUP00000018523	ENSELUG00000018012	Esox_lucius
ENSPREP00000006073	ENSPREG00000004227	Poecilia_reticulata
ENSACLP00000002406	ENSACLG00000001663	Astatotilapia_calliptera
ENSSARP00000008433	ENSSARG00000009331	Sorex_araneus
ENSFCAP00000022952	ENSFCAG00000026052	Felis_catus
MGP_PahariEiJ_P0015481	MGP_PahariEiJ_G0012741	Mus_pahari_strain_PAHARI_EIJ
ENSPRNP00000053893	ENSPRNG00000025368	Parambassis_ranga
ENSLBEP00000001537	ENSLBEG00000001220	Labrus_bergylta
ENSPNAP00000035514	ENSPNAG00000005859	Pygocentrus_nattereri
ENSCATP00000005240	ENSCATG00000017413	Cercocebus_atys
ENSPMEP00000024003	ENSPMEG00000005956	Poecilia_mexicana
ENSGMOP00000014753	ENSGMOG00000013806	Gadus_morhua
ENSEEEP00000031734	ENSEEEG00000015160	Electrophorus_electricus
ENSNSUP00000014184	ENSNSUG00000010494	Notechis_scutatus
ENSSMAP00000005408	ENSSMAG00000003335	Scophthalmus_maximus
ENSPPYP00000011079	ENSPPYG00000009897	Pongo_abelii
ENSBBBP00000014503	ENSBBBG00000022250	Bison_bison_bison
ENSMLEP00000031053	ENSMLEG00000039720	Mandrillus_leucophaeus
ENSHHUP00000003901	ENSHHUG00000002435	Hucho_hucho
ENSRROP00000038987	ENSRROG00000042843	Rhinopithecus_roxellana
ENSMZEP00005017391	ENSMZEG00005013082	Maylandia_zebra
ENSCAFP00020022944	ENSCAFG00020018113	Canis_lupus_dingo
ENSAPOP00000010014	ENSAPOG00000012409	Acanthochromis_polyacanthus
ENSCCAP00000028460	ENSCCAG00000032214	Cebus_capucinus_imitator
ENSDORP00000017361	ENSDORG00000029259	Dipodomys_ordii
ENSSPUP00000016351	ENSSPUG00000012658	Sphenodon_punctatus
ENSSBOP00000028892	ENSSBOG00000030799	Saimiri_boliviensis_boliviensis
ENSMGAP00000008811	ENSMGAG00000008576	Meleagris_gallopavo
ENSKMAP00000002043	ENSKMAG00000001567	Kryptolebias_marmoratus
ENSXMAP00000037751	ENSXMAG00000021278	Xiphophorus_maculatus
ENSHBUP00000002906	ENSHBUG00000004140	Haplochromis_burtoni
ENSRNOP00000028222	ENSRNOG00000020799	Rattus_norvegicus
ENSFDAP00000001358	ENSFDAG00000011350	Fukomys_damarensis
ENSCANP00000016968	ENSCANG00000031951	Colobus_angolensis_palliatus
ENSOCUP00000021185	ENSOCUG00000024998	Oryctolagus_cuniculus
ENSCAFP00000009872	ENSCAFG00000006601	Canis_lupus_familiaris
ENSOPRP00000007942	ENSOPRG00000008681	Ochotona_princeps
ENSPFOP00000016884	ENSPFOG00000016816	Poecilia_formosa
ENSCHAP00000007434	ENSCHAG00000004584	Clupea_harengus	ENSCHAT00000008432
ENSXCOP00000001423	ENSXCOG00000001119	Xiphophorus_couchianus
