ENSNBRP00000030632	ENSNBRG00000023298	Neolamprologus_brichardi
ENSACIP00000018178	ENSACIG00000014184	Amphilophus_citrinellus
ENSCGOP00000018591	ENSCGOG00000008908	Cottoperca_gobio
ENSLBEP00000031323	ENSLBEG00000023650	Labrus_bergylta
ENSPMEP00000029165	ENSPMEG00000014719	Poecilia_mexicana
ENSPFOP00000008297	ENSPFOG00000008348	Poecilia_formosa
ENSPLAP00000025962	ENSPLAG00000013367	Poecilia_latipinna
ENSPREP00000002967	ENSPREG00000002165	Poecilia_reticulata
ENSXMAP00000022423	ENSXMAG00000012239	Xiphophorus_maculatus
ENSXCOP00000013852	ENSXCOG00000010485	Xiphophorus_couchianus
ENSFHEP00000025863	ENSFHEG00000008337	Fundulus_heteroclitus
ENSKMAP00000013693	ENSKMAG00000010278	Kryptolebias_marmoratus
ENSPNYP00000000540	ENSPNYG00000000427	Pundamilia_nyererei
ENSHBUP00000022398	ENSHBUG00000002632	Haplochromis_burtoni
ENSKMAP00000013733	ENSKMAG00000010308	Kryptolebias_marmoratus
ENSAPOP00000001581	ENSAPOG00000002900	Acanthochromis_polyacanthus
ENSMAMP00000032051	ENSMAMG00000021563	Mastacembelus_armatus
