ENSDORP00000021655	ENSDORG00000011414	Dipodomys_ordii
ENSDCDP00000051261	ENSDCDG00000031148	Denticeps_clupeoides
ENSP00000200135	ENSG00000086827	Homo_sapiens
ENSOANP00000022557	ENSOANG00000014313	Ornithorhynchus_anatinus
ENSCPBP00000012269	ENSCPBG00000009179	Chrysemys_picta_bellii
ENSPMEP00000001881	ENSPMEG00000002857	Poecilia_mexicana
ENSPTEP00000024613	ENSPTEG00000025057	Piliocolobus_tephrosceles
ENSPLAP00000028074	ENSPLAG00000017205	Poecilia_latipinna
ENSSHAP00000015335	ENSSHAG00000013072	Sarcophilus_harrisii
ENSCGOP00000044505	ENSCGOG00000019455	Cottoperca_gobio
ENSMVIP00005024764	ENSMVIG00005017357	Manacus_vitellinus	ENSMVIT00005027887
ENSCANP00000036802	ENSCANG00000042075	Colobus_angolensis_palliatus
ENSGAGP00000011564	ENSGAGG00000008927	Gopherus_agassizii
ENSSFOP00015015996	ENSSFOG00015010283	Scleropages_formosus
ENSXMAP00000013470	ENSXMAG00000013415	Xiphophorus_maculatus
ENSHGLP00000018614	ENSHGLG00000013323	Heterocephalus_glaber_HetGla_female_1.0
ENSEEEP00000008869	ENSEEEG00000004568	Electrophorus_electricus
ENSJHYP00000000459	ENSJHYG00000000434	Junco_hyemalis	ENSJHYT00000000589
ENSECRP00000023866	ENSECRG00000016164	Erpetoichthys_calabaricus
ENSEASP00005009393	ENSEASG00005006707	Equus_asinus_asinus
ENSXCOP00000012539	ENSXCOG00000009478	Xiphophorus_couchianus
ENSMUSP00000034803	ENSMUSG00000032264	Mus_musculus_strain_reference_(CL57BL6)
ENSHGLP00100001755	ENSHGLG00100001368	Heterocephalus_glaber_HetGla_1.0
ENSCAPP00000011438	ENSCAPG00000012493	Cavia_aperea
ENSHGLP00100002318	ENSHGLG00100001812	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100001802	ENSHGLG00100001401	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00000001479	ENSCGRG00000001134	Cricetulus_griseus_CriGri_1.0
ENSLACP00000021110	ENSLACG00000018547	Latimeria_chalumnae
ENSIPUP00000001138	ENSIPUG00000000809	Ictalurus_punctatus
ENSFDAP00000008723	ENSFDAG00000016923	Fukomys_damarensis
ENSMZEP00005013317	ENSMZEG00005010010	Maylandia_zebra
ENSCAFP00000020211	ENSCAFG00000013720	Canis_lupus_familiaris
ENSBTAP00000026733	ENSBTAG00000020066	Bos_taurus
ENSEEUP00000011924	ENSEEUG00000013067	Erinaceus_europaeus
ENSMOCP00000009369	ENSMOCG00000009519	Microtus_ochrogaster
