ENSAMEP00000004246	ENSAMEG00000004023	Ailuropoda_melanoleuca	ENSAMET00000004416
ENSUAMP00000018943	ENSUAMG00000014990	Ursus_americanus	ENSUAMT00000021191
ENSMPUP00000006214	ENSMPUG00000006268	Mustela_putorius_furo
ENSNVIP00000008235	ENSNVIG00000006531	Neovison_vison
ENSCAFP00020008684	ENSCAFG00020007033	Canis_lupus_dingo
ENSCAFP00000040670	ENSCAFG00000019733	Canis_lupus_familiaris
ENSVVUP00000036627	ENSVVUG00000026214	Vulpes_vulpes
ENSPPRP00000018102	ENSPPRG00000009853	Panthera_pardus
ENSFCAP00000013389	ENSFCAG00000014435	Felis_catus
ENSEEUP00000007008	ENSEEUG00000007692	Erinaceus_europaeus
ENSBMUP00000002137	ENSBMUG00000001683	Bos_mutus
ENSBBBP00000012533	ENSBBBG00000020323	Bison_bison_bison
ENSBIXP00005015009	ENSBIXG00005006394	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036063	ENSBIXG00000019431	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000064160	ENSBTAG00000003180	Bos_taurus
ENSCHIP00000032415	ENSCHIG00000026403	Capra_hircus
ENSOARP00000008931	ENSOARG00000008326	Ovis_aries
ENSTTRP00000001569	ENSTTRG00000001664	Tursiops_truncatus
ENSSSCP00000003678	ENSSSCG00000003393	Sus_scrofa_strain_reference
ENSECAP00000025029	ENSECAG00000015887	Equus_caballus
ENSEASP00005031086	ENSEASG00005021168	Equus_asinus_asinus
ENSPVAP00000009556	ENSPVAG00000010134	Pteropus_vampyrus
ENSMLUP00000010786	ENSMLUG00000011841	Myotis_lucifugus
ENSPTRP00000068799	ENSPTRG00000049393	Pan_troglodytes
ENSPPAP00000034319	ENSPPAG00000039995	Pan_paniscus
ENSP00000344503	ENSG00000188807	Homo_sapiens
ENSGGOP00000006626	ENSGGOG00000006772	Gorilla_gorilla
ENSPPYP00000002215	ENSPPYG00000001911	Pongo_abelii
ENSNLEP00000011320	ENSNLEG00000009292	Nomascus_leucogenys
ENSPANP00000015358	ENSPANG00000000631	Papio_anubis
ENSTGEP00000022034	ENSTGEG00000017805	Theropithecus_gelada
ENSCATP00000013925	ENSCATG00000031033	Cercocebus_atys
ENSMFAP00000040206	ENSMFAG00000046272	Macaca_fascicularis
ENSMMUP00000079570	ENSMMUG00000043999	Macaca_mulatta
ENSMLEP00000019701	ENSMLEG00000034051	Mandrillus_leucophaeus
ENSCSAP00000017237	ENSCSAG00000000769	Chlorocebus_sabaeus
ENSPTEP00000001681	ENSPTEG00000001880	Piliocolobus_tephrosceles
