ENSOPRP00000000150	ENSOPRG00000000165	Ochotona_princeps	ENSOPRT00000000167
ENSOCUP00000013425	ENSOCUG00000015625	Oryctolagus_cuniculus	ENSOCUT00000015628
ENSDORP00000005549	ENSDORG00000005924	Dipodomys_ordii	ENSDORT00000005925
ENSCLAP00000009058	ENSCLAG00000006319	Chinchilla_lanigera
ENSODEP00000021613	ENSODEG00000015901	Octodon_degus
ENSCPOP00000007696	ENSCPOG00000008564	Cavia_porcellus
ENSHGLP00000022442	ENSHGLG00000016002	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011508	ENSHGLG00100008539	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003861	ENSFDAG00000013267	Fukomys_damarensis
ENSCGRP00000012532	ENSCGRG00000009119	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015011470	ENSCGRG00015008346	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001024516	ENSCGRG00001022360	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000025598	ENSMAUG00000022066	Mesocricetus_auratus
ENSMOCP00000027045	ENSMOCG00000022656	Microtus_ochrogaster
ENSPEMP00000035034	ENSPEMG00000008304	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0074206	MGP_SPRETEiJ_G0028859	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000135223	ENSMUSG00000029705	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000013391	ENSMSIG00000010755	Mus_spicilegus
MGP_PahariEiJ_P0059685	MGP_PahariEiJ_G0024440	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000056243	ENSRNOG00000001424	Rattus_norvegicus
ENSMUGP00000020469	ENSMUGG00000016732	Meriones_unguiculatus
ENSNGAP00000022640	ENSNGAG00000021445	Nannospalax_galili
ENSCCNP00000017331	ENSCCNG00000017646	Castor_canadensis
ENSUPAP00010019001	ENSUPAG00010014829	Urocitellus_parryii
ENSSTOP00000009330	ENSSTOG00000010390	Ictidomys_tridecemlineatus
ENSPTEP00000021334	ENSPTEG00000022302	Piliocolobus_tephrosceles
ENSCANP00000000626	ENSCANG00000000455	Colobus_angolensis_palliatus
ENSRBIP00000035573	ENSRBIG00000041277	Rhinopithecus_bieti
ENSRROP00000043968	ENSRROG00000044945	Rhinopithecus_roxellana
ENSMLEP00000011361	ENSMLEG00000029767	Mandrillus_leucophaeus
ENSCATP00000009782	ENSCATG00000027970	Cercocebus_atys
ENSTGEP00000009942	ENSTGEG00000007710	Theropithecus_gelada
ENSMMUP00000028274	ENSMMUG00000021461	Macaca_mulatta
ENSMFAP00000003771	ENSMFAG00000001402	Macaca_fascicularis
ENSMNEP00000034846	ENSMNEG00000040279	Macaca_nemestrina
ENSCSAP00000014081	ENSCSAG00000018062	Chlorocebus_sabaeus
ENSPANP00000015535	ENSPANG00000016879	Papio_anubis
ENSNLEP00000010125	ENSNLEG00000008310	Nomascus_leucogenys
ENSPTRP00000090655	ENSPTRG00000019531	Pan_troglodytes
ENSPPAP00000016757	ENSPPAG00000031440	Pan_paniscus
ENSGGOP00000016558	ENSGGOG00000016960	Gorilla_gorilla
ENSP00000353401	ENSG00000257923	Homo_sapiens
ENSSBOP00000008587	ENSSBOG00000021031	Saimiri_boliviensis_boliviensis
ENSCCAP00000030091	ENSCCAG00000032819	Cebus_capucinus_imitator
ENSCJAP00000029680	ENSCJAG00000016076	Callithrix_jacchus
ENSANAP00000009003	ENSANAG00000022374	Aotus_nancymaae
ENSTSYP00000012855	ENSTSYG00000013998	Carlito_syrichta
ENSMICP00000023372	ENSMICG00000010274	Microcebus_murinus
ENSPCOP00000005078	ENSPCOG00000013297	Propithecus_coquereli
ENSPSMP00000015377	ENSPSMG00000010860	Prolemur_simus
ENSOGAP00000008113	ENSOGAG00000009038	Otolemur_garnettii
ENSTBEP00000014524	ENSTBEG00000016681	Tupaia_belangeri
ENSPVAP00000016752	ENSPVAG00000017756	Pteropus_vampyrus	ENSPVAT00000017759
ENSMLUP00000006665	ENSMLUG00000007264	Myotis_lucifugus	ENSMLUT00000007304
ENSECAP00000044650	ENSECAG00000022645	Equus_caballus
ENSEASP00005024809	ENSEASG00005016883	Equus_asinus_asinus
ENSOARP00000015691	ENSOARG00000014629	Ovis_aries
ENSCHIP00000005104	ENSCHIG00000009047	Capra_hircus
ENSBIXP00005030819	ENSBIXG00005011168	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000000673	ENSBIXG00000029497	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000070582	ENSBTAG00000010659	Bos_taurus
ENSBMUP00000009491	ENSBMUG00000006645	Bos_mutus
ENSBBBP00000017950	ENSBBBG00000011123	Bison_bison_bison
ENSTTRP00000013868	ENSTTRG00000014625	Tursiops_truncatus
ENSSSCP00000065942	ENSSSCG00000007681	Sus_scrofa_strain_reference
ENSVPAP00000003831	ENSVPAG00000004125	Vicugna_pacos
ENSUMAP00000016952	ENSUMAG00000012256	Ursus_maritimus
ENSUAMP00000029793	ENSUAMG00000022704	Ursus_americanus
ENSAMEP00000016273	ENSAMEG00000015392	Ailuropoda_melanoleuca
ENSNVIP00000003362	ENSNVIG00000002028	Neovison_vison
ENSCAFP00000062672	ENSCAFG00000013749	Canis_lupus_familiaris
ENSCAFP00020016446	ENSCAFG00020013189	Canis_lupus_dingo
ENSFCAP00000058220	ENSFCAG00000034298	Felis_catus
ENSLAFP00000002135	ENSLAFG00000002555	Loxodonta_africana
ENSPCAP00000004314	ENSPCAG00000004482	Procavia_capensis
ENSETEP00000005846	ENSETEG00000007201	Echinops_telfairi
ENSCHOP00000009005	ENSCHOG00000010160	Choloepus_hoffmanni
ENSDNOP00000017004	ENSDNOG00000025440	Dasypus_novemcinctus
ENSOANP00000031744	ENSOANG00000028870	Ornithorhynchus_anatinus
ENSOANP00000017278	ENSOANG00000010906	Ornithorhynchus_anatinus
ENSCMIP00000027769	ENSCMIG00000012076	Callorhinchus_milii
ENSVURP00010003804	ENSVURG00010003035	Vombatus_ursinus
ENSPCIP00000052001	ENSPCIG00000003570	Phascolarctos_cinereus
ENSMEUP00000003876	ENSMEUG00000004239	Notamacropus_eugenii
ENSMODP00000055875	ENSMODG00000013581	Monodelphis_domestica
ENSSHAP00000009011	ENSSHAG00000007801	Sarcophilus_harrisii
ENSOANP00000027096	ENSOANG00000021296	Ornithorhynchus_anatinus
ENSPVIP00000013094	ENSPVIG00000010185	Pogona_vitticeps
ENSACAP00000014984	ENSACAG00000015088	Anolis_carolinensis
ENSSMRP00000023077	ENSSMRG00000017907	Salvator_merianae
ENSABRP00000000920	ENSABRG00000000863	Anser_brachyrhynchus
ENSAPLP00000021930	ENSAPLG00000002588	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005011274	ENSCJPG00005009330	Coturnix_japonica
ENSMGAP00000003159	ENSMGAG00000003398	Meleagris_gallopavo
ENSNMEP00000017174	ENSNMEG00000015065	Numida_meleagris
ENSCPUP00000008961	ENSCPUG00000004815	Calidris_pugnax
ENSCPGP00000026916	ENSCPGG00000018109	Calidris_pygmaea
ENSLCOP00000008627	ENSLCOG00000006295	Lepidothrix_coronata
ENSMVIP00005013886	ENSMVIG00005010035	Manacus_vitellinus
ENSLSDP00000016390	ENSLSDG00000011801	Lonchura_striata_domestica
ENSTGUP00000004557	ENSTGUG00000004386	Taeniopygia_guttata
ENSJHYP00000018456	ENSJHYG00000013182	Junco_hyemalis
ENSZALP00000012515	ENSZALG00000009665	Zonotrichia_albicollis
ENSSCAP00000007827	ENSSCAG00000006001	Serinus_canaria
ENSFALP00000009846	ENSFALG00000009409	Ficedula_albicollis
ENSCCEP00000004348	ENSCCEG00000004840	Cyanistes_caeruleus
ENSPMJP00000025925	ENSPMJG00000018962	Parus_major
ENSMUNP00000012805	ENSMUNG00000010027	Melopsittacus_undulatus
ENSAOWP00000026079	ENSAOWG00000017590	Apteryx_owenii
ENSARWP00000007386	ENSARWG00000005172	Apteryx_rowi
ENSAHAP00000008854	ENSAHAG00000006472	Apteryx_haastii
ENSDNVP00000009781	ENSDNVG00000006910	Dromaius_novaehollandiae
