MGP_SPRETEiJ_P0060783	MGP_SPRETEiJ_G0026113	Mus_spretus_strain_SPRET/EiJ
ENSNLEP00000014961	ENSNLEG00000012329	Nomascus_leucogenys
ENSAPLP00000009177	ENSAPLG00000009476	Anas_platyrhynchos_platyrhynchos
ENSMODP00000021147	ENSMODG00000016954	Monodelphis_domestica
ENSP00000432845	ENSG00000254726	Homo_sapiens
ENSPCOP00000015168	ENSPCOG00000019307	Propithecus_coquereli
ENSACAP00000003630	ENSACAG00000003739	Anolis_carolinensis
ENSCPRP00005010943	ENSCPRG00005007807	Crocodylus_porosus	ENSCPRT00005012904
ENSCGRP00001000505	ENSCGRG00001000412	Cricetulus_griseus_CHOK1GS_HDv1
ENSJHYP00000000189	ENSJHYG00000000213	Junco_hyemalis
ENSHGLP00100018866	ENSHGLG00100013922	Heterocephalus_glaber_HetGla_1.0
ENSOPRP00000002699	ENSOPRG00000002937	Ochotona_princeps
ENSMAUP00000012228	ENSMAUG00000012601	Mesocricetus_auratus
ENSCAFP00000020283	ENSCAFG00000024440	Canis_lupus_familiaris
ENSMUNP00000008407	ENSMUNG00000006679	Melopsittacus_undulatus
ENSMLEP00000005242	ENSMLEG00000023495	Mandrillus_leucophaeus
ENSMOCP00000020101	ENSMOCG00000017881	Microtus_ochrogaster
ENSCCEP00000002362	ENSCCEG00000002644	Cyanistes_caeruleus
ENSSARP00000008922	ENSSARG00000009868	Sorex_araneus
ENSAHAP00000012884	ENSAHAG00000009301	Apteryx_haastii
ENSCJAP00000014282	ENSCJAG00000007711	Callithrix_jacchus
ENSTGEP00000000498	ENSTGEG00000000514	Theropithecus_gelada
ENSRBIP00000018431	ENSRBIG00000033197	Rhinopithecus_bieti
ENSBIXP00005032613	ENSBIXG00005013155	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTSYP00000030119	ENSTSYG00000027006	Carlito_syrichta
ENSFALP00000015597	ENSFALG00000014982	Ficedula_albicollis
ENSMMUP00000063344	ENSMMUG00000052160	Macaca_mulatta
ENSPPAP00000003869	ENSPPAG00000016303	Pan_paniscus
ENSPTRP00000051722	ENSPTRG00000030373	Pan_troglodytes
ENSMLUP00000009267	ENSMLUG00000010185	Myotis_lucifugus
ENSPPYP00000000846	ENSPPYG00000000729	Pongo_abelii
ENSCPGP00000013438	ENSCPGG00000009542	Calidris_pygmaea
ENSPVAP00000009740	ENSPVAG00000010333	Pteropus_vampyrus
ENSCGRP00000017861	ENSCGRG00000012989	Cricetulus_griseus_CriGri_1.0
ENSAOWP00000027655	ENSAOWG00000018641	Apteryx_owenii
ENSDNOP00000023030	ENSDNOG00000037981	Dasypus_novemcinctus
ENSMVIP00005014343	ENSMVIG00005010357	Manacus_vitellinus
ENSCCEP00000003997	ENSCCEG00000004449	Cyanistes_caeruleus
ENSCPBP00000037245	ENSCPBG00000025821	Chrysemys_picta_bellii
ENSDORP00000002742	ENSDORG00000002921	Dipodomys_ordii
ENSARWP00000017791	ENSARWG00000012234	Apteryx_rowi
ENSUAMP00000017394	ENSUAMG00000013807	Ursus_americanus
ENSCHIP00000010150	ENSCHIG00000012770	Capra_hircus
MGP_CAROLIEiJ_P0058443	MGP_CAROLIEiJ_G0025170	Mus_caroli_strain_CAROLI_EIJ
ENSAMEP00000015030	ENSAMEG00000014265	Ailuropoda_melanoleuca
ENSMSIP00000035012	ENSMSIG00000029193	Mus_spicilegus
ENSOGAP00000018993	ENSOGAG00000029891	Otolemur_garnettii
ENSVURP00010019191	ENSVURG00010014622	Vombatus_ursinus
ENSSTOP00000016000	ENSSTOG00000024275	Ictidomys_tridecemlineatus
ENSCAPP00000009557	ENSCAPG00000011002	Cavia_aperea
ENSRNOP00000075321	ENSRNOG00000058654	Rattus_norvegicus
ENSMUSP00000134222	ENSMUSG00000074480	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0069401	MGP_PahariEiJ_G0026615	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000021332	ENSPEMG00000019014	Peromyscus_maniculatus_bairdii
ENSBIXP00000042329	ENSBIXG00000001477	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHGLP00000010623	ENSHGLG00000007612	Heterocephalus_glaber_HetGla_female_1.0
ENSGAGP00000028576	ENSGAGG00000020700	Gopherus_agassizii	ENSGAGT00000032455
ENSGALP00000044871	ENSGALG00000014016	Gallus_gallus
ENSCAFP00020007646	ENSCAFG00020006171	Canis_lupus_dingo
ENSNMEP00000002982	ENSNMEG00000003559	Numida_meleagris
ENSFDAP00000020382	ENSFDAG00000008485	Fukomys_damarensis
ENSUPAP00010004502	ENSUPAG00010003653	Urocitellus_parryii
ENSSPUP00000003280	ENSSPUG00000002522	Sphenodon_punctatus
ENSABRP00000006940	ENSABRG00000006394	Anser_brachyrhynchus
ENSLAFP00000007726	ENSLAFG00000009220	Loxodonta_africana
ENSSHAP00000015807	ENSSHAG00000013466	Sarcophilus_harrisii
ENSNGAP00000019927	ENSNGAG00000019587	Nannospalax_galili
ENSPTEP00000030254	ENSPTEG00000029520	Piliocolobus_tephrosceles
ENSODEP00000013019	ENSODEG00000009643	Octodon_degus
ENSPCIP00000025199	ENSPCIG00000018950	Phascolarctos_cinereus
ENSCPOP00000015023	ENSCPOG00000020219	Cavia_porcellus
ENSVVUP00000007704	ENSVVUG00000005834	Vulpes_vulpes
ENSTGUP00000003799	ENSTGUG00000003692	Taeniopygia_guttata
ENSMPUP00000004736	ENSMPUG00000004774	Mustela_putorius_furo
ENSEEUP00000008894	ENSEEUG00000009784	Erinaceus_europaeus
ENSCLAP00000005408	ENSCLAG00000003842	Chinchilla_lanigera
ENSLCOP00000008372	ENSLCOG00000006139	Lepidothrix_coronata
ENSSSCP00000006924	ENSSSCG00000006497	Sus_scrofa_strain_reference
ENSBMUP00000018686	ENSBMUG00000014139	Bos_mutus
ENSCJPP00005016995	ENSCJPG00005013921	Coturnix_japonica
ENSMUGP00000010302	ENSMUGG00000009108	Meriones_unguiculatus
ENSBTAP00000025498	ENSBTAG00000019158	Bos_taurus
ENSOARP00000005872	ENSOARG00000005471	Ovis_aries
ENSPMJP00000000250	ENSPMJG00000000236	Parus_major
ENSEASP00005028127	ENSEASG00005019131	Equus_asinus_asinus
ENSFCAP00000049774	ENSFCAG00000044236	Felis_catus
ENSCCNP00000020667	ENSCCNG00000020594	Castor_canadensis
ENSRROP00000009519	ENSRROG00000029193	Rhinopithecus_roxellana
ENSTTRP00000012661	ENSTTRG00000013346	Tursiops_truncatus
ENSPSMP00000008085	ENSPSMG00000005991	Prolemur_simus
ENSMMMP00000015530	ENSMMMG00000013855	Marmota_marmota_marmota
ENSLACP00000013564	ENSLACG00000011943	Latimeria_chalumnae
ENSJJAP00000019552	ENSJJAG00000020484	Jaculus_jaculus
ENSOCUP00000015993	ENSOCUG00000005640	Oryctolagus_cuniculus
ENSMICP00000048637	ENSMICG00000046214	Microcebus_murinus
ENSANAP00000029619	ENSANAG00000032597	Aotus_nancymaae
ENSGGOP00000004426	ENSGGOG00000004513	Gorilla_gorilla
ENSCANP00000003769	ENSCANG00000013320	Colobus_angolensis_palliatus
ENSMFAP00000045849	ENSMFAG00000000628	Macaca_fascicularis
ENSCSAP00000015937	ENSCSAG00000002097	Chlorocebus_sabaeus
ENSMGAP00000016504	ENSMGAG00000015563	Meleagris_gallopavo
ENSCABP00000024623	ENSCABG00000018137	Chelonoidis_abingdonii	ENSCABT00000026983
ENSSCAP00000018092	ENSSCAG00000013118	Serinus_canaria
ENSCATP00000016933	ENSCATG00000032390	Cercocebus_atys
ENSNSUP00000002752	ENSNSUG00000002275	Notechis_scutatus	ENSNSUT00000002975
ENSCGRP00015035222	ENSCGRG00015026440	Cricetulus_griseus_CriGri-PICR
ENSSMRP00000022565	ENSSMRG00000017529	Salvator_merianae	ENSSMRT00000026389
ENSSBOP00000017311	ENSSBOG00000025317	Saimiri_boliviensis_boliviensis
ENSCPUP00000026811	ENSCPUG00000018046	Calidris_pugnax
ENSPANP00000005876	ENSPANG00000020303	Papio_anubis
ENSLSDP00000023342	ENSLSDG00000016414	Lonchura_striata_domestica
ENSPVIP00000009382	ENSPVIG00000007478	Pogona_vitticeps
ENSXETP00000023032	ENSXETG00000005377	Xenopus_tropicalis
ENSDNVP00000019453	ENSDNVG00000013619	Dromaius_novaehollandiae
ENSPPRP00000013366	ENSPPRG00000006585	Panthera_pardus
ENSMNEP00000014863	ENSMNEG00000031569	Macaca_nemestrina
ENSCCAP00000009202	ENSCCAG00000022351	Cebus_capucinus_imitator
ENSBBBP00000007309	ENSBBBG00000015363	Bison_bison_bison
ENSNPEP00000003831	ENSNPEG00000002931	Nothoprocta_perdicaria
ENSECAP00000005276	ENSECAG00000007279	Equus_caballus
