ENSPEMP00000000606	ENSPEMG00000000437	Peromyscus_maniculatus_bairdii
ENSPMGP00000021502	ENSPMGG00000017417	Periophthalmus_magnuspinnatus
ENSMLEP00000018935	ENSMLEG00000033667	Mandrillus_leucophaeus
ENSLSDP00000024706	ENSLSDG00000017330	Lonchura_striata_domestica
ENSPPAP00000033160	ENSPPAG00000039450	Pan_paniscus
ENSMPUP00000010047	ENSMPUG00000010124	Mustela_putorius_furo
ENSXMAP00000024706	ENSXMAG00000022958	Xiphophorus_maculatus
ENSMZEP00005013727	ENSMZEG00005010351	Maylandia_zebra
ENSPKIP00000015075	ENSPKIG00000001909	Paramormyrops_kingsleyae
ENSGWIP00000009724	ENSGWIG00000005779	Gouania_willdenowi
ENSCJAP00000014054	ENSCJAG00000007554	Callithrix_jacchus
ENSOGAP00000005421	ENSOGAG00000006065	Otolemur_garnettii
ENSMMMP00000016655	ENSMMMG00000014814	Marmota_marmota_marmota
ENSMMOP00000012546	ENSMMOG00000009652	Mola_mola
ENSONIP00000014486	ENSONIG00000011508	Oreochromis_niloticus
ENSMODP00000013839	ENSMODG00000011051	Monodelphis_domestica
ENSLCAP00010054593	ENSLCAG00010025448	Lates_calcarifer
ENSMZEP00005013092	ENSMZEG00005009832	Maylandia_zebra
ENSORLP00020003181	ENSORLG00020000067	Oryzias_latipes_ASM223471v1
ENSPVIP00000015975	ENSPVIG00000012348	Pogona_vitticeps	ENSPVIT00000020005
ENSP00000256261	ENSG00000133878	Homo_sapiens
ENSSLDP00000015228	ENSSLDG00000012115	Seriola_lalandi_dorsalis
ENSPKIP00000000975	ENSPKIG00000019436	Paramormyrops_kingsleyae
ENSMALP00000001066	ENSMALG00000000831	Monopterus_albus
ENSBIXP00005004383	ENSBIXG00005000848	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000000479	ENSOARG00000000476	Ovis_aries
ENSRBIP00000034766	ENSRBIG00000041067	Rhinopithecus_bieti
ENSBMUP00000006792	ENSBMUG00000005382	Bos_mutus
ENSVVUP00000027179	ENSVVUG00000019952	Vulpes_vulpes
ENSSSCP00000016781	ENSSSCG00000015835	Sus_scrofa_strain_reference
ENSSFOP00015030412	ENSSFOG00015019514	Scleropages_formosus
ENSNBRP00000022697	ENSNBRG00000017393	Neolamprologus_brichardi
ENSSPAP00000027275	ENSSPAG00000020566	Stegastes_partitus
ENSPLAP00000029166	ENSPLAG00000019165	Poecilia_latipinna
ENSXCOP00000020879	ENSXCOG00000015636	Xiphophorus_couchianus
ENSMOCP00000025081	ENSMOCG00000021310	Microtus_ochrogaster
ENSORLP00000043178	ENSORLG00000029504	Oryzias_latipes_ASM223467v1
ENSGACP00000001107	ENSGACG00000000859	Gasterosteus_aculeatus
ENSLCRP00005016493	ENSLCRG00005006873	Larimichthys_crocea
ENSACIP00000025256	ENSACIG00000019564	Amphilophus_citrinellus
ENSNLEP00000048296	ENSNLEG00000028790	Nomascus_leucogenys
ENSMAUP00000018124	ENSMAUG00000016795	Mesocricetus_auratus
ENSHHUP00000085125	ENSHHUG00000049336	Hucho_hucho
ENSCGOP00000031057	ENSCGOG00000014525	Cottoperca_gobio
ENSACLP00000016710	ENSACLG00000011392	Astatotilapia_calliptera
ENSNBRP00000003424	ENSNBRG00000002740	Neolamprologus_brichardi
ENSSMRP00000000197	ENSSMRG00000000207	Salvator_merianae	ENSSMRT00000000246
ENSSBOP00000012417	ENSSBOG00000023011	Saimiri_boliviensis_boliviensis
ENSXETP00000013707	ENSXETG00000000948	Xenopus_tropicalis
ENSSMAP00000008045	ENSSMAG00000004952	Scophthalmus_maximus
ENSACIP00000017594	ENSACIG00000013729	Amphilophus_citrinellus
ENSECAP00000012844	ENSECAG00000015233	Equus_caballus
ENSCPUP00000006296	ENSCPUG00000004600	Calidris_pugnax
ENSMUGP00000021567	ENSMUGG00000018141	Meriones_unguiculatus
ENSLBEP00000034946	ENSLBEG00000026258	Labrus_bergylta
ENSAPEP00000016382	ENSAPEG00000011705	Amphiprion_percula
ENSONIP00000013550	ENSONIG00000010777	Oreochromis_niloticus
ENSTGEP00000007673	ENSTGEG00000006288	Theropithecus_gelada
ENSEEEP00000045793	ENSEEEG00000021588	Electrophorus_electricus
ENSAPEP00000010086	ENSAPEG00000007246	Amphiprion_percula
ENSORLP00000015825	ENSORLG00000024608	Oryzias_latipes_ASM223467v1
