ENSDCDP00000037177	ENSDCDG00000024814	Denticeps_clupeoides
ENSCHAP00000007339	ENSCHAG00000003458	Clupea_harengus
ENSEEEP00000044161	ENSEEEG00000020817	Electrophorus_electricus
ENSEEEP00000044180	ENSEEEG00000020874	Electrophorus_electricus
ENSIPUP00000021692	ENSIPUG00000014649	Ictalurus_punctatus
ENSIPUP00000021564	ENSIPUG00000014611	Ictalurus_punctatus
ENSIPUP00000021397	ENSIPUG00000014509	Ictalurus_punctatus
ENSAMXP00005020479	ENSAMXG00005010037	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000052568	ENSAMXG00000031435	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000029714	ENSPNAG00000015974	Pygocentrus_nattereri
ENSDARP00000122081	ENSDARG00000004964	Danio_rerio
ENSPMGP00000019886	ENSPMGG00000016108	Periophthalmus_magnuspinnatus
ENSLCRP00005030296	ENSLCRG00005012051	Larimichthys_crocea
ENSORLP00020033873	ENSORLG00020020081	Oryzias_latipes_ASM223471v1
ENSORLP00015004172	ENSORLG00015004921	Oryzias_latipes_ASM223469v1
ENSFHEP00000000338	ENSFHEG00000001065	Fundulus_heteroclitus
ENSHBUP00000007620	ENSHBUG00000009101	Haplochromis_burtoni
ENSMZEP00005007775	ENSMZEG00005005930	Maylandia_zebra
ENSACIP00000022078	ENSACIG00000017172	Amphilophus_citrinellus
ENSATEP00000014870	ENSATEG00000010360	Anabas_testudineus
ENSSLDP00000005927	ENSSLDG00000004743	Seriola_lalandi_dorsalis
ENSSDUP00000013127	ENSSDUG00000009546	Seriola_dumerili
ENSSLDP00000003689	ENSSLDG00000002937	Seriola_lalandi_dorsalis
ENSLCAP00010024235	ENSLCAG00010011354	Lates_calcarifer
ENSSMAP00000009136	ENSSMAG00000005396	Scophthalmus_maximus
ENSMMOP00000004903	ENSMMOG00000003913	Mola_mola
ENSCVAP00000014496	ENSCVAG00000017148	Cyprinodon_variegatus
ENSFHEP00000000346	ENSFHEG00000001069	Fundulus_heteroclitus
ENSXMAP00000014548	ENSXMAG00000014482	Xiphophorus_maculatus
ENSXCOP00000011155	ENSXCOG00000008424	Xiphophorus_couchianus
ENSGAFP00000012199	ENSGAFG00000008243	Gambusia_affinis
ENSPLAP00000029982	ENSPLAG00000020686	Poecilia_latipinna
ENSPFOP00000014436	ENSPFOG00000014304	Poecilia_formosa
ENSPMEP00000011032	ENSPMEG00000013051	Poecilia_mexicana
ENSPREP00000007370	ENSPREG00000005073	Poecilia_reticulata
ENSKMAP00000017584	ENSKMAG00000012943	Kryptolebias_marmoratus
ENSPRNP00000024036	ENSPRNG00000011676	Parambassis_ranga
ENSMAMP00000010600	ENSMAMG00000007157	Mastacembelus_armatus
ENSCGOP00000025137	ENSCGOG00000011386	Cottoperca_gobio
ENSCGOP00000025342	ENSCGOG00000011971	Cottoperca_gobio
ENSGACP00000018421	ENSGACG00000013953	Gasterosteus_aculeatus
ENSLBEP00000037089	ENSLBEG00000027689	Labrus_bergylta
ENSBSLP00000049734	ENSBSLG00000023483	Betta_splendens
ENSBSLP00000049785	ENSBSLG00000023683	Betta_splendens
ENSBSLP00000048717	ENSBSLG00000023183	Betta_splendens
ENSAOCP00000016354	ENSAOCG00000021273	Amphiprion_ocellaris
ENSAPEP00000008986	ENSAPEG00000006436	Amphiprion_percula
ENSAPOP00000020479	ENSAPOG00000024061	Acanthochromis_polyacanthus
ENSSPAP00000016944	ENSSPAG00000012795	Stegastes_partitus
ENSORLP00020019020	ENSORLG00020020019	Oryzias_latipes_ASM223471v1
ENSORLP00000017908	ENSORLG00000014281	Oryzias_latipes_ASM223467v1
ENSORLP00015004159	ENSORLG00015004905	Oryzias_latipes_ASM223469v1
ENSOMEP00000032694	ENSOMEG00000018299	Oryzias_melastigma
ENSHCOP00000011981	ENSHCOG00000015162	Hippocampus_comes
ENSACLP00000041218	ENSACLG00000027746	Astatotilapia_calliptera
ENSACLP00000041215	ENSACLG00000027745	Astatotilapia_calliptera
ENSACLP00000041222	ENSACLG00000027748	Astatotilapia_calliptera
ENSMZEP00005008815	ENSMZEG00005005963	Maylandia_zebra
ENSMZEP00005007759	ENSMZEG00005005581	Maylandia_zebra
ENSMZEP00005006664	ENSMZEG00005004128	Maylandia_zebra
ENSACLP00000041210	ENSACLG00000027729	Astatotilapia_calliptera
ENSPNYP00000018870	ENSPNYG00000014213	Pundamilia_nyererei
ENSNBRP00000011767	ENSNBRG00000008975	Neolamprologus_brichardi
ENSONIP00000020387	ENSONIG00000016189	Oreochromis_niloticus
ENSACIP00000022061	ENSACIG00000017070	Amphilophus_citrinellus
ENSGWIP00000023134	ENSGWIG00000012356	Gouania_willdenowi
ENSGWIP00000023070	ENSGWIG00000010506	Gouania_willdenowi
ENSCSEP00000029860	ENSCSEG00000019141	Cynoglossus_semilaevis
ENSMALP00000018507	ENSMALG00000012871	Monopterus_albus
ENSMALP00000018359	ENSMALG00000012746	Monopterus_albus
ENSMALP00000007217	ENSMALG00000005138	Monopterus_albus
ENSATEP00000015172	ENSATEG00000010379	Anabas_testudineus
ENSTRUP00000008144	ENSTRUG00000003475	Takifugu_rubripes
ENSHCOP00000025223	ENSHCOG00000015565	Hippocampus_comes
ENSTNIP00000008596	ENSTNIG00000005871	Tetraodon_nigroviridis
ENSGMOP00000016934	ENSGMOG00000015778	Gadus_morhua
ENSHHUP00000025200	ENSHHUG00000015845	Hucho_hucho
ENSHHUP00000065869	ENSHHUG00000038841	Hucho_hucho
ENSHHUP00000065897	ENSHHUG00000038879	Hucho_hucho
ENSELUP00000019208	ENSELUG00000018571	Esox_lucius
ENSPKIP00000018828	ENSPKIG00000004237	Paramormyrops_kingsleyae
ENSPKIP00000018786	ENSPKIG00000004192	Paramormyrops_kingsleyae
ENSSFOP00015009762	ENSSFOG00015006331	Scleropages_formosus
ENSLOCP00000010406	ENSLOCG00000008550	Lepisosteus_oculatus
ENSLOCP00000010386	ENSLOCG00000008538	Lepisosteus_oculatus
ENSECRP00000020094	ENSECRG00000013506	Erpetoichthys_calabaricus
ENSECRP00000019946	ENSECRG00000013398	Erpetoichthys_calabaricus
ENSXETP00000035442	ENSXETG00000014192	Xenopus_tropicalis
ENSCPBP00000006229	ENSCPBG00000004974	Chrysemys_picta_bellii
ENSEBUP00000017036	ENSEBUG00000010663	Eptatretus_burgeri
