ENSRROP00000005965	ENSRROG00000024127	Rhinopithecus_roxellana
ENSBTAP00000063242	ENSBTAG00000050436	Bos_taurus
ENSCJAP00000066448	ENSCJAG00000045403	Callithrix_jacchus
ENSCATP00000008122	ENSCATG00000024206	Cercocebus_atys
ENSPANP00000045044	ENSPANG00000031004	Papio_anubis
ENSMUGP00000007169	ENSMUGG00000006585	Meriones_unguiculatus
ENSMLEP00000004922	ENSMLEG00000022341	Mandrillus_leucophaeus
ENSMNEP00000007577	ENSMNEG00000028379	Macaca_nemestrina
ENSPEMP00000031728	ENSPEMG00000030980	Peromyscus_maniculatus_bairdii
ENSCGRP00001002698	ENSCGRG00001003061	Cricetulus_griseus_CHOK1GS_HDv1
ENSCANP00000002159	ENSCANG00000007977	Colobus_angolensis_palliatus
ENSEASP00005000091	ENSEASG00005000146	Equus_asinus_asinus
ENSCGRP00015000312	ENSCGRG00015000340	Cricetulus_griseus_CriGri-PICR
ENSP00000490187	ENSG00000235387	Homo_sapiens
ENSMMUP00000065902	ENSMMUG00000051938	Macaca_mulatta
ENSMFAP00000009839	ENSMFAG00000033752	Macaca_fascicularis
ENSCAFP00000045301	ENSCAFG00000045785	Canis_lupus_familiaris
ENSPTIP00000001388	ENSPTIG00000003564	Panthera_tigris_altaica
ENSTGEP00000020951	ENSTGEG00000016883	Theropithecus_gelada
ENSNVIP00000021810	ENSNVIG00000017044	Neovison_vison	ENSNVIT00000025407
ENSRBIP00000001886	ENSRBIG00000009618	Rhinopithecus_bieti
ENSCCNP00000029664	ENSCCNG00000028414	Castor_canadensis
ENSECAP00000038463	ENSECAG00000032005	Equus_caballus
ENSGGOP00000045050	ENSGGOG00000039944	Gorilla_gorilla
ENSBBBP00000009001	ENSBBBG00000017054	Bison_bison_bison
ENSPSMP00000005005	ENSPSMG00000003901	Prolemur_simus
ENSUPAP00010022157	ENSUPAG00010017615	Urocitellus_parryii
ENSSDAP00000023747	ENSSDAG00000021647	Spermophilus_dauricus
ENSTGEP00000020787	ENSTGEG00000016726	Theropithecus_gelada
ENSCGRP00000026337	ENSCGRG00000019398	Cricetulus_griseus_CriGri_1.0
ENSMUSP00000148128	ENSMUSG00000028475	Mus_musculus_strain_reference_(CL57BL6)
ENSDNOP00000021367	ENSDNOG00000044089	Dasypus_novemcinctus
ENSPPAP00000005775	ENSPPAG00000023559	Pan_paniscus
ENSPTRP00000089677	ENSPTRG00000043422	Pan_troglodytes
ENSMSIP00000022919	ENSMSIG00000019477	Mus_spicilegus
ENSCHIP00000028501	ENSCHIG00000023998	Capra_hircus
ENSPPRP00000027394	ENSPPRG00000018784	Panthera_pardus
ENSPTEP00000020032	ENSPTEG00000021327	Piliocolobus_tephrosceles
