ENSSSCP00000020531	ENSSSCG00000009944	Sus_scrofa_strain_reference
ENSVPAP00000010876	ENSVPAG00000011690	Vicugna_pacos
ENSBIXP00000031638	ENSBIXG00000014009	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027463	ENSBIXG00005030577	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010507	ENSBTAG00000007993	Bos_taurus
ENSBMUP00000028097	ENSBMUG00000021044	Bos_mutus
ENSBBBP00000002400	ENSBBBG00000002117	Bison_bison_bison
ENSCHIP00000025745	ENSCHIG00000022389	Capra_hircus
ENSOARP00000019243	ENSOARG00000017927	Ovis_aries
ENSTTRP00000003814	ENSTTRG00000004050	Tursiops_truncatus	ENSTTRT00000004049
ENSEEUP00000008226	ENSEEUG00000009026	Erinaceus_europaeus
ENSNVIP00000027208	ENSNVIG00000021048	Neovison_vison
ENSUAMP00000031143	ENSUAMG00000023910	Ursus_americanus
ENSUMAP00000007539	ENSUMAG00000005828	Ursus_maritimus
ENSAMEP00000017367	ENSAMEG00000016414	Ailuropoda_melanoleuca
ENSMPUP00000009823	ENSMPUG00000009898	Mustela_putorius_furo
ENSMPUP00000003391	ENSMPUG00000003421	Mustela_putorius_furo
ENSNVIP00000023437	ENSNVIG00000018202	Neovison_vison
ENSCAFP00000016653	ENSCAFG00000011301	Canis_lupus_familiaris
ENSCAFP00020028409	ENSCAFG00020022261	Canis_lupus_dingo
ENSVVUP00000011063	ENSVVUG00000008180	Vulpes_vulpes
ENSPPRP00000011582	ENSPPRG00000005425	Panthera_pardus
ENSPTIP00000021937	ENSPTIG00000018914	Panthera_tigris_altaica
ENSFCAP00000025805	ENSFCAG00000031793	Felis_catus
ENSEASP00005021178	ENSEASG00005014513	Equus_asinus_asinus
ENSECAP00000046723	ENSECAG00000019147	Equus_caballus
ENSMLUP00000011146	ENSMLUG00000012231	Myotis_lucifugus
ENSPVAP00000007028	ENSPVAG00000007447	Pteropus_vampyrus
ENSCCAP00000006333	ENSCCAG00000020867	Cebus_capucinus_imitator
ENSSBOP00000011664	ENSSBOG00000022606	Saimiri_boliviensis_boliviensis
ENSCJAP00000028451	ENSCJAG00000015412	Callithrix_jacchus
ENSANAP00000000982	ENSANAG00000008373	Aotus_nancymaae
ENSPPAP00000019233	ENSPPAG00000032787	Pan_paniscus
ENSPTRP00000009174	ENSPTRG00000005408	Pan_troglodytes
ENSGGOP00000016701	ENSGGOG00000017112	Gorilla_gorilla
ENSP00000394496	ENSG00000110880	Homo_sapiens
ENSPPYP00000005615	ENSPPYG00000004923	Pongo_abelii
ENSNLEP00000008279	ENSNLEG00000006804	Nomascus_leucogenys
ENSMMUP00000061783	ENSMMUG00000000512	Macaca_mulatta
ENSMFAP00000024945	ENSMFAG00000044006	Macaca_fascicularis
ENSMNEP00000030481	ENSMNEG00000038665	Macaca_nemestrina
ENSTGEP00000015701	ENSTGEG00000012686	Theropithecus_gelada
