ENSPCIP00000014563	ENSPCIG00000011365	Phascolarctos_cinereus	ENSPCIT00000017972
ENSVURP00010000686	ENSVURG00010000613	Vombatus_ursinus	ENSVURT00010000801
ENSMEUP00000013668	ENSMEUG00000014971	Notamacropus_eugenii	ENSMEUT00000015020
ENSSHAP00000009425	ENSSHAG00000008154	Sarcophilus_harrisii	ENSSHAT00000009506
ENSMODP00000057666	ENSMODG00000045431	Monodelphis_domestica	ENSMODT00000072981
ENSPCOP00000028323	ENSPCOG00000026766	Propithecus_coquereli
ENSMICP00000004588	ENSMICG00000005026	Microcebus_murinus
ENSPSMP00000020916	ENSPSMG00000014807	Prolemur_simus
ENSOGAP00000007698	ENSOGAG00000008594	Otolemur_garnettii
ENSPPAP00000024318	ENSPPAG00000035299	Pan_paniscus
ENSGGOP00000030315	ENSGGOG00000004374	Gorilla_gorilla
ENSPTRP00000073652	ENSPTRG00000006643	Pan_troglodytes
ENSP00000345008	ENSG00000140092	Homo_sapiens
ENSPPYP00000006903	ENSPPYG00000006071	Pongo_abelii
ENSNLEP00000042035	ENSNLEG00000017109	Nomascus_leucogenys
ENSCATP00000011703	ENSCATG00000030000	Cercocebus_atys
ENSPANP00000037898	ENSPANG00000007668	Papio_anubis
ENSMFAP00000025579	ENSMFAG00000044170	Macaca_fascicularis
ENSMNEP00000026842	ENSMNEG00000036802	Macaca_nemestrina
ENSMMUP00000011078	ENSMMUG00000008447	Macaca_mulatta
ENSMLEP00000009637	ENSMLEG00000028934	Mandrillus_leucophaeus
ENSTGEP00000001350	ENSTGEG00000001261	Theropithecus_gelada
ENSCSAP00000007546	ENSCSAG00000011339	Chlorocebus_sabaeus
ENSRROP00000013082	ENSRROG00000030805	Rhinopithecus_roxellana
ENSRBIP00000016255	ENSRBIG00000032139	Rhinopithecus_bieti
ENSCANP00000021805	ENSCANG00000034280	Colobus_angolensis_palliatus
ENSPTEP00000014734	ENSPTEG00000016399	Piliocolobus_tephrosceles
ENSSBOP00000005585	ENSSBOG00000019554	Saimiri_boliviensis_boliviensis
ENSCJAP00000048616	ENSCJAG00000017963	Callithrix_jacchus
ENSCCAP00000011865	ENSCCAG00000023686	Cebus_capucinus_imitator
ENSANAP00000034664	ENSANAG00000034922	Aotus_nancymaae
ENSTBEP00000007391	ENSTBEG00000008521	Tupaia_belangeri
ENSCCNP00000000255	ENSCCNG00000000286	Castor_canadensis
ENSDORP00000003061	ENSDORG00000003273	Dipodomys_ordii
MGP_SPRETEiJ_P0034651	MGP_SPRETEiJ_G0018874	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000036984	ENSMSIG00000030807	Mus_spicilegus
ENSMUSP00000021603	ENSMUSG00000021186	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0033129	MGP_CAROLIEiJ_G0018029	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083243	MGP_PahariEiJ_G0029788	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000007004	ENSRNOG00000050539	Rattus_norvegicus
ENSMUGP00000003485	ENSMUGG00000003165	Meriones_unguiculatus
ENSCGRP00001003015	ENSCGRG00001003500	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001870	ENSCGRG00000001395	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015027698	ENSCGRG00015020954	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025220	ENSMAUG00000021819	Mesocricetus_auratus
ENSMOCP00000017376	ENSMOCG00000015990	Microtus_ochrogaster
ENSPEMP00000019876	ENSPEMG00000018015	Peromyscus_maniculatus_bairdii
ENSNGAP00000004500	ENSNGAG00000005916	Nannospalax_galili
ENSJJAP00000020826	ENSJJAG00000021382	Jaculus_jaculus
ENSCPOP00000005471	ENSCPOG00000006061	Cavia_porcellus
ENSCAPP00000008698	ENSCAPG00000010336	Cavia_aperea
ENSCLAP00000018635	ENSCLAG00000012779	Chinchilla_lanigera
ENSODEP00000011591	ENSODEG00000008614	Octodon_degus
ENSHGLP00100025320	ENSHGLG00100018577	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019568	ENSHGLG00000014011	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000007227	ENSFDAG00000015791	Fukomys_damarensis
ENSUPAP00010028618	ENSUPAG00010022591	Urocitellus_parryii
ENSSDAP00000014394	ENSSDAG00000012918	Spermophilus_dauricus
ENSMMMP00000024294	ENSMMMG00000021250	Marmota_marmota_marmota
ENSSTOP00000014000	ENSSTOG00000015637	Ictidomys_tridecemlineatus
ENSCHIP00000017819	ENSCHIG00000017489	Capra_hircus
ENSOARP00000013357	ENSOARG00000012461	Ovis_aries
ENSBMUP00000008051	ENSBMUG00000006319	Bos_mutus
ENSBTAP00000063953	ENSBTAG00000018123	Bos_taurus
ENSBBBP00000017396	ENSBBBG00000009771	Bison_bison_bison
ENSSSCP00000002645	ENSSSCG00000002444	Sus_scrofa_strain_reference
ENSTTRP00000007648	ENSTTRG00000008077	Tursiops_truncatus
ENSVPAP00000003240	ENSVPAG00000003497	Vicugna_pacos
ENSECAP00000036510	ENSECAG00000012066	Equus_caballus
ENSEASP00005030465	ENSEASG00005020741	Equus_asinus_asinus
ENSUMAP00000007513	ENSUMAG00000005805	Ursus_maritimus
ENSUAMP00000003105	ENSUAMG00000002837	Ursus_americanus
ENSAMEP00000015727	ENSAMEG00000014905	Ailuropoda_melanoleuca
ENSMPUP00000007730	ENSMPUG00000007787	Mustela_putorius_furo
ENSNVIP00000013798	ENSNVIG00000010864	Neovison_vison
ENSCAFP00000015987	ENSCAFG00000010853	Canis_lupus_familiaris
ENSCAFP00020027325	ENSCAFG00020021428	Canis_lupus_dingo
ENSVVUP00000034117	ENSVVUG00000024654	Vulpes_vulpes
ENSPPRP00000001280	ENSPPRG00000024232	Panthera_pardus
ENSPTIP00000003124	ENSPTIG00000005963	Panthera_tigris_altaica
