ENSLACP00000011468	ENSLACG00000010087	Latimeria_chalumnae
ENSLOCP00000001774	ENSLOCG00000001473	Lepisosteus_oculatus
ENSNMEP00000006961	ENSNMEG00000007073	Numida_meleagris	ENSNMET00000011636
ENSGALP00000070547	ENSGALG00000047719	Gallus_gallus	ENSGALT00000095005
ENSGALP00000071333	ENSGALG00000054999	Gallus_gallus	ENSGALT00000105255
ENSMGAP00000004239	ENSMGAG00000004343	Meleagris_gallopavo	ENSMGAT00000004952
ENSAPLP00000027701	ENSAPLG00000024730	Anas_platyrhynchos_platyrhynchos
ENSABRP00000024343	ENSABRG00000020456	Anser_brachyrhynchus
ENSCPUP00000027299	ENSCPUG00000018377	Calidris_pugnax
ENSARWP00000013854	ENSARWG00000009553	Apteryx_rowi
ENSAHAP00000010700	ENSAHAG00000007741	Apteryx_haastii
ENSCPRP00005001979	ENSCPRG00005001469	Crocodylus_porosus
ENSGAGP00000017375	ENSGAGG00000012925	Gopherus_agassizii
ENSGAGP00000017423	ENSGAGG00000012956	Gopherus_agassizii
ENSCABP00000011535	ENSCABG00000008608	Chelonoidis_abingdonii
ENSPSIP00000019057	ENSPSIG00000016769	Pelodiscus_sinensis
ENSACAP00000012140	ENSACAG00000012220	Anolis_carolinensis
ENSSMRP00000015346	ENSSMRG00000011911	Salvator_merianae
ENSPVIP00000004375	ENSPVIG00000003556	Pogona_vitticeps
ENSMVIP00005027492	ENSMVIG00005019165	Manacus_vitellinus
ENSETEP00000005363	ENSETEG00000006597	Echinops_telfairi
ENSPCIP00000051361	ENSPCIG00000036838	Phascolarctos_cinereus
ENSMODP00000048093	ENSMODG00000040929	Monodelphis_domestica
ENSGALP00000043411	ENSGALG00000026836	Gallus_gallus	ENSGALT00000045237
ENSFDAP00000009211	ENSFDAG00000017286	Fukomys_damarensis
ENSHGLP00100020762	ENSHGLG00100015304	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000013804	ENSCLAG00000009542	Chinchilla_lanigera
ENSODEP00000005357	ENSODEG00000004050	Octodon_degus
ENSCPOP00000021327	ENSCPOG00000040230	Cavia_porcellus
ENSCAPP00000009739	ENSCAPG00000011131	Cavia_aperea
ENSCCNP00000017884	ENSCCNG00000018114	Castor_canadensis
ENSMUSP00000035802	ENSMUSG00000040690	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000028069	ENSMSIG00000023515	Mus_spicilegus
MGP_SPRETEiJ_P0067223	MGP_SPRETEiJ_G0027518	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0064705	MGP_CAROLIEiJ_G0026538	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0079791	MGP_PahariEiJ_G0028870	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000058947	ENSRNOG00000031475	Rattus_norvegicus
ENSMUGP00000002483	ENSMUGG00000002195	Meriones_unguiculatus
ENSPEMP00000003118	ENSPEMG00000003734	Peromyscus_maniculatus_bairdii
ENSMOCP00000009761	ENSMOCG00000009865	Microtus_ochrogaster
ENSCGRP00015014826	ENSCGRG00015011392	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015541	ENSCGRG00001016090	Cricetulus_griseus_CHOK1GS_HDv1
ENSNGAP00000018739	ENSNGAG00000018680	Nannospalax_galili
ENSMMMP00000012399	ENSMMMG00000010975	Marmota_marmota_marmota
ENSUPAP00010024391	ENSUPAG00010019281	Urocitellus_parryii
ENSOCUP00000005003	ENSOCUG00000005747	Oryctolagus_cuniculus
ENSOPRP00000012249	ENSOPRG00000013339	Ochotona_princeps
ENSPTRP00000000810	ENSPTRG00000000464	Pan_troglodytes
ENSPPAP00000023887	ENSPPAG00000035093	Pan_paniscus
ENSP00000362776	ENSG00000084636	Homo_sapiens
ENSGGOP00000015384	ENSGGOG00000015740	Gorilla_gorilla
ENSPPYP00000001858	ENSPPYG00000001610	Pongo_abelii
ENSCANP00000026864	ENSCANG00000036844	Colobus_angolensis_palliatus
ENSPTEP00000025544	ENSPTEG00000025815	Piliocolobus_tephrosceles
