ENSGALP00000061717	ENSGALG00000007319	Gallus_gallus
ENSCJPP00005017572	ENSCJPG00005014310	Coturnix_japonica
ENSNMEP00000026966	ENSNMEG00000022615	Numida_meleagris
ENSAPLP00000010442	ENSAPLG00000010709	Anas_platyrhynchos_platyrhynchos
ENSABRP00000020821	ENSABRG00000017730	Anser_brachyrhynchus
ENSCPUP00000018112	ENSCPUG00000012467	Calidris_pugnax
ENSCPGP00000027805	ENSCPGG00000019176	Calidris_pygmaea
ENSJHYP00000016264	ENSJHYG00000012445	Junco_hyemalis
ENSZALP00000017233	ENSZALG00000013930	Zonotrichia_albicollis
ENSLSDP00000004051	ENSLSDG00000003161	Lonchura_striata_domestica
ENSPMJP00000023500	ENSPMJG00000017350	Parus_major
ENSLCOP00000021685	ENSLCOG00000015321	Lepidothrix_coronata
ENSTGUP00000009637	ENSTGUG00000009346	Taeniopygia_guttata
ENSMGAP00000009194	ENSMGAG00000008935	Meleagris_gallopavo
ENSNPEP00000008532	ENSNPEG00000006406	Nothoprocta_perdicaria
ENSFALP00000007993	ENSFALG00000007662	Ficedula_albicollis
ENSCCEP00000024247	ENSCCEG00000021594	Cyanistes_caeruleus
ENSSCAP00000005221	ENSSCAG00000004198	Serinus_canaria
ENSMVIP00005007918	ENSMVIG00005005922	Manacus_vitellinus
ENSMUNP00000018295	ENSMUNG00000013996	Melopsittacus_undulatus
ENSAOWP00000014444	ENSAOWG00000009852	Apteryx_owenii
ENSAHAP00000002511	ENSAHAG00000002045	Apteryx_haastii
ENSARWP00000007817	ENSARWG00000005453	Apteryx_rowi
ENSNPEP00000008543	ENSNPEG00000006416	Nothoprocta_perdicaria
ENSPSIP00000019619	ENSPSIG00000017409	Pelodiscus_sinensis
ENSACAP00000003523	ENSACAG00000003619	Anolis_carolinensis
ENSPVIP00000022936	ENSPVIG00000017312	Pogona_vitticeps
ENSNSUP00000027532	ENSNSUG00000019687	Notechis_scutatus
ENSSMRP00000023260	ENSSMRG00000018067	Salvator_merianae
ENSSPUP00000021172	ENSSPUG00000016269	Sphenodon_punctatus
ENSGAGP00000023471	ENSGAGG00000017208	Gopherus_agassizii
ENSCABP00000018913	ENSCABG00000013981	Chelonoidis_abingdonii
ENSCPBP00000017210	ENSCPBG00000012633	Chrysemys_picta_bellii
ENSPSIP00000019609	ENSPSIG00000017402	Pelodiscus_sinensis
ENSCPRP00005007932	ENSCPRG00005005640	Crocodylus_porosus
ENSPTRP00000056746	ENSPTRG00000005523	Pan_troglodytes
ENSPPAP00000010134	ENSPPAG00000028291	Pan_paniscus
ENSP00000380690	ENSG00000135127	Homo_sapiens
ENSGGOP00000016292	ENSGGOG00000016702	Gorilla_gorilla
ENSPPYP00000005722	ENSPPYG00000005020	Pongo_abelii
ENSNLEP00000046463	ENSNLEG00000029257	Nomascus_leucogenys
ENSRROP00000036144	ENSRROG00000041540	Rhinopithecus_roxellana
ENSRBIP00000017002	ENSRBIG00000032516	Rhinopithecus_bieti
ENSPTEP00000001405	ENSPTEG00000001551	Piliocolobus_tephrosceles
ENSCANP00000003458	ENSCANG00000012361	Colobus_angolensis_palliatus
ENSPANP00000015341	ENSPANG00000004794	Papio_anubis
ENSMLEP00000005666	ENSMLEG00000024680	Mandrillus_leucophaeus
ENSMNEP00000023688	ENSMNEG00000035439	Macaca_nemestrina
ENSCATP00000017394	ENSCATG00000032593	Cercocebus_atys
ENSCCAP00000010674	ENSCCAG00000023092	Cebus_capucinus_imitator
ENSSBOP00000008015	ENSSBOG00000020926	Saimiri_boliviensis_boliviensis
ENSCJAP00000016466	ENSCJAG00000008974	Callithrix_jacchus
ENSTGEP00000028003	ENSTGEG00000022565	Theropithecus_gelada
ENSMFAP00000033822	ENSMFAG00000003401	Macaca_fascicularis
ENSANAP00000023887	ENSANAG00000029695	Aotus_nancymaae
ENSOGAP00000009653	ENSOGAG00000010782	Otolemur_garnettii
ENSCCNP00000019152	ENSCCNG00000019291	Castor_canadensis
ENSOPRP00000015335	ENSOPRG00000016794	Ochotona_princeps
ENSUPAP00010021595	ENSUPAG00010017174	Urocitellus_parryii
ENSSDAP00000024435	ENSSDAG00000022253	Spermophilus_dauricus
ENSSTOP00000012571	ENSSTOG00000014021	Ictidomys_tridecemlineatus
ENSMMMP00000024244	ENSMMMG00000021218	Marmota_marmota_marmota
ENSFDAP00000006412	ENSFDAG00000015181	Fukomys_damarensis
ENSMICP00000019048	ENSMICG00000012455	Microcebus_murinus
ENSPSMP00000000672	ENSPSMG00000000515	Prolemur_simus
ENSPCOP00000008055	ENSPCOG00000015300	Propithecus_coquereli
ENSCLAP00000018375	ENSCLAG00000012595	Chinchilla_lanigera
ENSODEP00000007857	ENSODEG00000005856	Octodon_degus
ENSCPOP00000029715	ENSCPOG00000000402	Cavia_porcellus
ENSCAPP00000018068	ENSCAPG00000017566	Cavia_aperea
ENSHGLP00000020105	ENSHGLG00000014394	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019885	ENSHGLG00100014658	Heterocephalus_glaber_HetGla_1.0
MGP_SPRETEiJ_P0072874	MGP_SPRETEiJ_G0028631	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000053547	ENSMUSG00000041609	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0070189	MGP_CAROLIEiJ_G0027308	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058407	MGP_PahariEiJ_G0024213	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070515	ENSRNOG00000056955	Rattus_norvegicus
ENSCGRP00001001110	ENSCGRG00001000846	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022138	ENSCGRG00000016044	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004541	ENSCGRG00015003564	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000022324	ENSMOCG00000019402	Microtus_ochrogaster
ENSMUGP00000029632	ENSMUGG00000024597	Meriones_unguiculatus
ENSPEMP00000021353	ENSPEMG00000019025	Peromyscus_maniculatus_bairdii
ENSMAUP00000012352	ENSMAUG00000012680	Mesocricetus_auratus
ENSDORP00000000908	ENSDORG00000000969	Dipodomys_ordii
ENSTSYP00000009274	ENSTSYG00000010120	Carlito_syrichta
ENSTTRP00000005335	ENSTTRG00000005652	Tursiops_truncatus
ENSSSCP00000046951	ENSSSCG00000009896	Sus_scrofa_strain_reference
ENSPVAP00000002926	ENSPVAG00000003098	Pteropus_vampyrus
ENSPTIP00000020145	ENSPTIG00000017719	Panthera_tigris_altaica
ENSPPRP00000021565	ENSPPRG00000012338	Panthera_pardus
ENSFCAP00000058481	ENSFCAG00000015453	Felis_catus
ENSCAFP00020024025	ENSCAFG00020018905	Canis_lupus_dingo
ENSCAFP00000014891	ENSCAFG00000010140	Canis_lupus_familiaris
ENSUAMP00000007899	ENSUAMG00000006767	Ursus_americanus
ENSUMAP00000012499	ENSUMAG00000009286	Ursus_maritimus
ENSAMEP00000005340	ENSAMEG00000005057	Ailuropoda_melanoleuca
ENSMLUP00000014059	ENSMLUG00000015429	Myotis_lucifugus
ENSECAP00000024996	ENSECAG00000004286	Equus_caballus
ENSEASP00005010809	ENSEASG00005007623	Equus_asinus_asinus
ENSMPUP00000002961	ENSMPUG00000002991	Mustela_putorius_furo
ENSNVIP00000016234	ENSNVIG00000012716	Neovison_vison
ENSBIXP00005043970	ENSBIXG00005027728	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000031959	ENSBIXG00000014399	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000027915	ENSBMUG00000020915	Bos_mutus
ENSBTAP00000004815	ENSBTAG00000003696	Bos_taurus
ENSOARP00000011692	ENSOARG00000010904	Ovis_aries
ENSCHIP00000012978	ENSCHIG00000014548	Capra_hircus
ENSJJAP00000011753	ENSJJAG00000014990	Jaculus_jaculus
ENSNGAP00000024687	ENSNGAG00000022874	Nannospalax_galili
ENSMSIP00000013131	ENSMSIG00000011390	Mus_spicilegus
ENSOCUP00000044527	ENSOCUG00000025898	Oryctolagus_cuniculus
ENSCSAP00000015759	ENSCSAG00000002278	Chlorocebus_sabaeus
