ENSMFAP00000036031	ENSMFAG00000034388	Macaca_fascicularis	ENSMFAT00000010272
ENSMMUP00000047502	ENSMMUG00000039300	Macaca_mulatta	ENSMMUT00000068793
ENSMNEP00000004377	ENSMNEG00000020347	Macaca_nemestrina	ENSMNET00000022228
ENSMLEP00000033212	ENSMLEG00000040787	Mandrillus_leucophaeus	ENSMLET00000056793
ENSPANP00000044113	ENSPANG00000030437	Papio_anubis	ENSPANT00000032539
ENSCATP00000011082	ENSCATG00000029788	Cercocebus_atys	ENSCATT00000035201
ENSTGEP00000035473	ENSTGEG00000028230	Theropithecus_gelada	ENSTGET00000042091
ENSPTEP00000027364	ENSPTEG00000027225	Piliocolobus_tephrosceles	ENSPTET00000038373
ENSCCAP00000030100	ENSCCAG00000033092	Cebus_capucinus_imitator	ENSCCAT00000047840
ENSANAP00000002470	ENSANAG00000018546	Aotus_nancymaae	ENSANAT00000019523
ENSCCNP00000004448	ENSCCNG00000004714	Castor_canadensis	ENSCCNT00000005833
ENSHGLP00100008255	ENSHGLG00100006138	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000005902	ENSSDAG00000005502	Spermophilus_dauricus
ENSHHUP00000021500	ENSHHUG00000013464	Hucho_hucho
ENSSMAP00000023028	ENSSMAG00000014034	Scophthalmus_maximus
ENSMNEP00000026846	ENSMNEG00000036857	Macaca_nemestrina
ENSMFAP00000000287	ENSMFAG00000036077	Macaca_fascicularis
ENSPANP00000021717	ENSPANG00000032816	Papio_anubis
ENSCATP00000026205	ENSCATG00000036518	Cercocebus_atys
ENSMLEP00000029700	ENSMLEG00000039060	Mandrillus_leucophaeus
ENSMNEP00000022992	ENSMNEG00000035118	Macaca_nemestrina
ENSCANP00000035548	ENSCANG00000041475	Colobus_angolensis_palliatus
ENSPTEP00000018348	ENSPTEG00000019786	Piliocolobus_tephrosceles
ENSMMMP00000027062	ENSMMMG00000023651	Marmota_marmota_marmota
ENSMAUP00000021242	ENSMAUG00000019034	Mesocricetus_auratus
ENSCCNP00000031470	ENSCCNG00000029982	Castor_canadensis
ENSSPUP00000019571	ENSSPUG00000015068	Sphenodon_punctatus
ENSLBEP00000001561	ENSLBEG00000001219	Labrus_bergylta
ENSXCOP00000010663	ENSXCOG00000008060	Xiphophorus_couchianus
ENSHBUP00000032463	ENSHBUG00000018769	Haplochromis_burtoni
ENSHHUP00000010103	ENSHHUG00000006155	Hucho_hucho
