ENSGALP00000067560	ENSGALG00000054531	Gallus_gallus	ENSGALT00000106124
ENSCJPP00005024228	ENSCJPG00005019130	Coturnix_japonica	ENSCJPT00005033061
ENSNMEP00000003924	ENSNMEG00000004409	Numida_meleagris	ENSNMET00000007120
ENSABRP00000013852	ENSABRG00000012291	Anser_brachyrhynchus	ENSABRT00000019776
ENSDNVP00000026098	ENSDNVG00000018154	Dromaius_novaehollandiae
ENSPSIP00000016029	ENSPSIG00000014290	Pelodiscus_sinensis
ENSPVIP00000021988	ENSPVIG00000016644	Pogona_vitticeps
ENSACAP00000019686	ENSACAG00000026083	Anolis_carolinensis
ENSXETP00000005395	ENSXETG00000009902	Xenopus_tropicalis
ENSLACP00000012689	ENSLACG00000011180	Latimeria_chalumnae
ENSHHUP00000067928	ENSHHUG00000040008	Hucho_hucho
ENSELUP00000018234	ENSELUG00000017763	Esox_lucius
ENSMAMP00000033063	ENSMAMG00000022247	Mastacembelus_armatus
ENSMALP00000010799	ENSMALG00000007696	Monopterus_albus
ENSLCRP00005037952	ENSLCRG00005014758	Larimichthys_crocea
ENSAMXP00000047332	ENSAMXG00000036157	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005010855	ENSAMXG00005006022	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000028147	ENSPNAG00000013757	Pygocentrus_nattereri
ENSEEEP00000018659	ENSEEEG00000009174	Electrophorus_electricus
ENSIPUP00000036086	ENSIPUG00000024188	Ictalurus_punctatus
ENSCHAP00000016757	ENSCHAG00000008843	Clupea_harengus
ENSSFOP00015036801	ENSSFOG00015023409	Scleropages_formosus
ENSPKIP00000003700	ENSPKIG00000021098	Paramormyrops_kingsleyae
ENSLOCP00000014744	ENSLOCG00000011991	Lepisosteus_oculatus
ENSECRP00000032261	ENSECRG00000021875	Erpetoichthys_calabaricus
ENSCMIP00000018357	ENSCMIG00000008647	Callorhinchus_milii
