ENSPKIP00000012862	ENSPKIG00000000508	Paramormyrops_kingsleyae	ENSPKIT00000037267
ENSPKIP00000033204	ENSPKIG00000013002	Paramormyrops_kingsleyae
ENSSFOP00015017336	ENSSFOG00015011168	Scleropages_formosus
ENSCHAP00000043568	ENSCHAG00000020263	Clupea_harengus
ENSDCDP00000014506	ENSDCDG00000010869	Denticeps_clupeoides
ENSAMXP00000002240	ENSAMXG00000002196	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005000496	ENSAMXG00005000289	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001544	ENSPNAG00000000792	Pygocentrus_nattereri
ENSEEEP00000040699	ENSEEEG00000019286	Electrophorus_electricus
ENSIPUP00000019054	ENSIPUG00000012928	Ictalurus_punctatus
ENSDARP00000115360	ENSDARG00000067676	Danio_rerio
ENSAPEP00000032423	ENSAPEG00000023001	Amphiprion_percula
ENSAOCP00000030384	ENSAOCG00000021340	Amphiprion_ocellaris
ENSAOCP00000031030	ENSAOCG00000022379	Amphiprion_ocellaris
ENSAPOP00000002900	ENSAPOG00000004337	Acanthochromis_polyacanthus
ENSSPAP00000021424	ENSSPAG00000016049	Stegastes_partitus
ENSPRNP00000026119	ENSPRNG00000013125	Parambassis_ranga
ENSFHEP00000029315	ENSFHEG00000013977	Fundulus_heteroclitus
ENSCVAP00000021450	ENSCVAG00000003546	Cyprinodon_variegatus
ENSXMAP00000007431	ENSXMAG00000007406	Xiphophorus_maculatus
ENSXCOP00000024226	ENSXCOG00000018093	Xiphophorus_couchianus
ENSGAFP00000027050	ENSGAFG00000018272	Gambusia_affinis
ENSPLAP00000019704	ENSPLAG00000002036	Poecilia_latipinna
ENSPMEP00000013304	ENSPMEG00000015584	Poecilia_mexicana
ENSPFOP00000000544	ENSPFOG00000000435	Poecilia_formosa
ENSPREP00000028804	ENSPREG00000019403	Poecilia_reticulata
ENSKMAP00000004848	ENSKMAG00000003696	Kryptolebias_marmoratus
ENSORLP00015001384	ENSORLG00015001991	Oryzias_latipes_ASM223469v1
ENSORLP00000045437	ENSORLG00000020885	Oryzias_latipes_ASM223467v1
ENSORLP00020021850	ENSORLG00020001849	Oryzias_latipes_ASM223471v1
ENSOMEP00000017699	ENSOMEG00000019398	Oryzias_melastigma
ENSATEP00000028848	ENSATEG00000019919	Anabas_testudineus
ENSBSLP00000050825	ENSBSLG00000024132	Betta_splendens
ENSMALP00000032205	ENSMALG00000022186	Monopterus_albus
