ENSAPLP00000013609	ENSAPLG00000013758	Anas_platyrhynchos_platyrhynchos
ENSABRP00000022583	ENSABRG00000019128	Anser_brachyrhynchus
ENSCJPP00005021131	ENSCJPG00005016922	Coturnix_japonica
ENSMGAP00000005463	ENSMGAG00000005503	Meleagris_gallopavo
ENSGALP00000038759	ENSGALG00000007546	Gallus_gallus
ENSNMEP00000024453	ENSNMEG00000020777	Numida_meleagris
ENSTGUP00000005674	ENSTGUG00000005511	Taeniopygia_guttata
ENSSCAP00000022459	ENSSCAG00000016139	Serinus_canaria
ENSZALP00000016935	ENSZALG00000013723	Zonotrichia_albicollis
ENSFALP00000011798	ENSFALG00000011293	Ficedula_albicollis
ENSMVIP00005015899	ENSMVIG00005011256	Manacus_vitellinus
ENSLCOP00000012650	ENSLCOG00000009144	Lepidothrix_coronata
ENSMUNP00000003147	ENSMUNG00000002593	Melopsittacus_undulatus
ENSCPGP00000026152	ENSCPGG00000018037	Calidris_pygmaea
ENSCPUP00000011677	ENSCPUG00000008279	Calidris_pugnax
ENSAOWP00000021846	ENSAOWG00000014771	Apteryx_owenii
ENSAHAP00000010154	ENSAHAG00000007362	Apteryx_haastii
ENSARWP00000018206	ENSARWG00000012515	Apteryx_rowi
ENSDNVP00000003035	ENSDNVG00000002174	Dromaius_novaehollandiae
ENSNPEP00000008790	ENSNPEG00000006128	Nothoprocta_perdicaria
ENSCPRP00005010073	ENSCPRG00005007179	Crocodylus_porosus
ENSGAGP00000022301	ENSGAGG00000015735	Gopherus_agassizii
ENSCABP00000027516	ENSCABG00000020097	Chelonoidis_abingdonii
ENSCPBP00000016433	ENSCPBG00000012112	Chrysemys_picta_bellii
ENSOANP00000022834	ENSOANG00000014489	Ornithorhynchus_anatinus
ENSLACP00000019829	ENSLACG00000017436	Latimeria_chalumnae
ENSPKIP00000034349	ENSPKIG00000013706	Paramormyrops_kingsleyae
ENSSFOP00015016627	ENSSFOG00015010729	Scleropages_formosus
ENSLOCP00000018307	ENSLOCG00000014861	Lepisosteus_oculatus
