ENSECAP00000007102	ENSECAG00000009198	Equus_caballus
ENSEASP00005032734	ENSEASG00005022370	Equus_asinus_asinus
ENSBTAP00000071867	ENSBTAG00000049431	Bos_taurus
ENSBIXP00005035883	ENSBIXG00005017192	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005013626	ENSBIXG00005017731	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000000101	ENSBIXG00000030256	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000000093	ENSBIXG00000030266	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000005517	ENSBIXG00000011676	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013167	ENSBIXG00005017300	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000069675	ENSBTAG00000049891	Bos_taurus
ENSBIXP00000030109	ENSBIXG00000011914	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000032267	ENSBMUG00000024069	Bos_mutus
ENSBMUP00000035917	ENSBMUG00000026682	Bos_mutus
ENSBIXP00005012955	ENSBIXG00005017137	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000028444	ENSBBBG00000025177	Bison_bison_bison
ENSBBBP00000021549	ENSBBBG00000003759	Bison_bison_bison
ENSBIXP00000026302	ENSBIXG00000030273	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013072	ENSBIXG00005002802	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000030213	ENSBIXG00000012091	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005035783	ENSBIXG00005006581	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061244	ENSBTAG00000053327	Bos_taurus
ENSBIXP00005012946	ENSBIXG00005017115	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000010582	ENSBBBG00000004648	Bison_bison_bison
ENSCHIP00000021079	ENSCHIG00000019514	Capra_hircus
ENSBBBP00000015678	ENSBBBG00000023393	Bison_bison_bison
ENSBMUP00000009259	ENSBMUG00000007213	Bos_mutus
ENSUMAP00000034608	ENSUMAG00000024914	Ursus_maritimus
ENSUAMP00000003664	ENSUAMG00000003380	Ursus_americanus
ENSNVIP00000011225	ENSNVIG00000008908	Neovison_vison
ENSCAFP00000043449	ENSCAFG00000046329	Canis_lupus_familiaris
ENSCAFP00020015589	ENSCAFG00020012524	Canis_lupus_dingo
ENSVVUP00000041659	ENSVVUG00000029645	Vulpes_vulpes
ENSPPRP00000018407	ENSPPRG00000010069	Panthera_pardus
ENSPTIP00000009851	ENSPTIG00000010813	Panthera_tigris_altaica
ENSFCAP00000023077	ENSFCAG00000026740	Felis_catus
ENSMLUP00000022527	ENSMLUG00000026092	Myotis_lucifugus
ENSCCAP00000030308	ENSCCAG00000033196	Cebus_capucinus_imitator
ENSCJAP00000073469	ENSCJAG00000066238	Callithrix_jacchus
ENSSBOP00000028047	ENSSBOG00000030415	Saimiri_boliviensis_boliviensis
ENSRBIP00000027584	ENSRBIG00000037671	Rhinopithecus_bieti
ENSRROP00000024451	ENSRROG00000036025	Rhinopithecus_roxellana
ENSPTEP00000036052	ENSPTEG00000033948	Piliocolobus_tephrosceles
