ENSCPRP00005009852	ENSCPRG00005007033	Crocodylus_porosus
ENSLCRP00005062321	ENSLCRG00005022884	Larimichthys_crocea
ENSPNYP00000006508	ENSPNYG00000005018	Pundamilia_nyererei
ENSODEP00000005556	ENSODEG00000004196	Octodon_degus
ENSUPAP00010003325	ENSUPAG00010002722	Urocitellus_parryii
ENSSFOP00015025363	ENSSFOG00015016322	Scleropages_formosus
ENSGALP00000060315	ENSGALG00000034069	Gallus_gallus
ENSHCOP00000006175	ENSHCOG00000007924	Hippocampus_comes
ENSSBOP00000017149	ENSSBOG00000025241	Saimiri_boliviensis_boliviensis
ENSACIP00000020672	ENSACIG00000016043	Amphilophus_citrinellus
ENSCHAP00000006558	ENSCHAG00000004103	Clupea_harengus
ENSEEEP00000001829	ENSEEEG00000001155	Electrophorus_electricus
ENSCCAP00000006335	ENSCCAG00000020884	Cebus_capucinus_imitator
ENSBBBP00000020602	ENSBBBG00000014271	Bison_bison_bison
ENSP00000400471	ENSG00000134291	Homo_sapiens
ENSCGRP00015005923	ENSCGRG00015004594	Cricetulus_griseus_CriGri-PICR
ENSCGOP00000016728	ENSCGOG00000008023	Cottoperca_gobio
ENSLACP00000021738	ENSLACG00000019102	Latimeria_chalumnae
ENSCVAP00000030204	ENSCVAG00000018596	Cyprinodon_variegatus
ENSECAP00000017899	ENSECAG00000020351	Equus_caballus
ENSNLEP00000021745	ENSNLEG00000017898	Nomascus_leucogenys
ENSUMAP00000001094	ENSUMAG00000001084	Ursus_maritimus
ENSNVIP00000006532	ENSNVIG00000005151	Neovison_vison
ENSPVAP00000013527	ENSPVAG00000014352	Pteropus_vampyrus
ENSMALP00000022832	ENSMALG00000015939	Monopterus_albus
ENSPLAP00000002417	ENSPLAG00000003665	Poecilia_latipinna
ENSGAGP00000032076	ENSGAGG00000022986	Gopherus_agassizii
ENSEASP00005034462	ENSEASG00005023516	Equus_asinus_asinus
ENSSMAP00000008041	ENSSMAG00000004965	Scophthalmus_maximus
ENSORLP00000031844	ENSORLG00000001519	Oryzias_latipes_ASM223467v1
ENSPPYP00000005078	ENSPPYG00000004450	Pongo_abelii
ENSPTIP00000019228	ENSPTIG00000017084	Panthera_tigris_altaica
ENSPSMP00000010279	ENSPSMG00000007452	Prolemur_simus
ENSPMJP00000000673	ENSPMJG00000000589	Parus_major
ENSMICP00000022398	ENSMICG00000001808	Microcebus_murinus
ENSCABP00000006337	ENSCABG00000004784	Chelonoidis_abingdonii
ENSGMOP00000005017	ENSGMOG00000004729	Gadus_morhua
ENSPPRP00000013228	ENSPPRG00000006497	Panthera_pardus
ENSMMMP00000025994	ENSMMMG00000022764	Marmota_marmota_marmota
ENSDARP00000131438	ENSDARG00000098105	Danio_rerio
ENSFHEP00000029807	ENSFHEG00000014720	Fundulus_heteroclitus
ENSSCAP00000007424	ENSSCAG00000005738	Serinus_canaria
ENSRNOP00000071424	ENSRNOG00000053269	Rattus_norvegicus
ENSAPOP00000002156	ENSAPOG00000003554	Acanthochromis_polyacanthus
ENSPSIP00000020267	ENSPSIG00000017930	Pelodiscus_sinensis
ENSDCDP00000007265	ENSDCDG00000003823	Denticeps_clupeoides
ENSCCEP00000019317	ENSCCEG00000017547	Cyanistes_caeruleus
ENSCANP00000017408	ENSCANG00000032151	Colobus_angolensis_palliatus
ENSBIXP00005018913	ENSBIXG00005022255	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSANAP00000012149	ENSANAG00000024004	Aotus_nancymaae
ENSCGRP00000015400	ENSCGRG00000011166	Cricetulus_griseus_CriGri_1.0
ENSGACP00000005287	ENSGACG00000004023	Gasterosteus_aculeatus
ENSMOCP00000018401	ENSMOCG00000016714	Microtus_ochrogaster
ENSCMIP00000028119	ENSCMIG00000012224	Callorhinchus_milii
ENSTSYP00000001095	ENSTSYG00000001184	Carlito_syrichta
ENSPANP00000005382	ENSPANG00000013991	Papio_anubis
ENSCPBP00000027978	ENSCPBG00000019774	Chrysemys_picta_bellii
ENSCCNP00000012096	ENSCCNG00000012566	Castor_canadensis
ENSPKIP00000037391	ENSPKIG00000015600	Paramormyrops_kingsleyae
ENSMZEP00005016173	ENSMZEG00005012144	Maylandia_zebra
ENSAMXP00000039582	ENSAMXG00000032046	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSNSUP00000003879	ENSNSUG00000003116	Notechis_scutatus	ENSNSUT00000004175
ENSOMEP00000029495	ENSOMEG00000013187	Oryzias_melastigma
ENSHHUP00000002752	ENSHHUG00000001721	Hucho_hucho
ENSMAUP00000019106	ENSMAUG00000017478	Mesocricetus_auratus
ENSCJAP00000027730	ENSCJAG00000015040	Callithrix_jacchus
ENSMGAP00000004730	ENSMGAG00000004877	Meleagris_gallopavo
ENSCAFP00000013335	ENSCAFG00000009069	Canis_lupus_familiaris
ENSSLDP00000013544	ENSSLDG00000010790	Seriola_lalandi_dorsalis
ENSCHIP00000030932	ENSCHIG00000025500	Capra_hircus
ENSAHAP00000005001	ENSAHAG00000003881	Apteryx_haastii	ENSAHAT00000005614
ENSTGEP00000030308	ENSTGEG00000024328	Theropithecus_gelada
ENSMSIP00000036917	ENSMSIG00000030742	Mus_spicilegus
ENSRROP00000005220	ENSRROG00000021591	Rhinopithecus_roxellana
ENSTTRP00000000696	ENSTTRG00000000739	Tursiops_truncatus
ENSDCDP00000053193	ENSDCDG00000031951	Denticeps_clupeoides
ENSBMUP00000002133	ENSBMUG00000001676	Bos_mutus
ENSMPUP00000000421	ENSMPUG00000000424	Mustela_putorius_furo
ENSONIP00000011451	ENSONIG00000009106	Oreochromis_niloticus
ENSMUSP00000069764	ENSMUSG00000052369	Mus_musculus_strain_reference_(CL57BL6)
ENSMLUP00000016178	ENSMLUG00000017734	Myotis_lucifugus
ENSPCOP00000001463	ENSPCOG00000004592	Propithecus_coquereli
ENSIPUP00000025567	ENSIPUG00000017323	Ictalurus_punctatus
ENSPMEP00000008283	ENSPMEG00000010003	Poecilia_mexicana
MGP_SPRETEiJ_P0041466	MGP_SPRETEiJ_G0021114	Mus_spretus_strain_SPRET/EiJ
ENSABRP00000015834	ENSABRG00000013893	Anser_brachyrhynchus	ENSABRT00000022542
ENSAPEP00000030021	ENSAPEG00000021346	Amphiprion_percula
ENSLAFP00000016708	ENSLAFG00000022701	Loxodonta_africana
ENSMUGP00000000025	ENSMUGG00000000046	Meriones_unguiculatus
ENSSPUP00000008199	ENSSPUG00000006362	Sphenodon_punctatus	ENSSPUT00000008749
ENSCGRP00001001898	ENSCGRG00001001872	Cricetulus_griseus_CHOK1GS_HDv1
ENSBSLP00000036066	ENSBSLG00000017651	Betta_splendens
ENSCLAP00000011695	ENSCLAG00000008066	Chinchilla_lanigera
ENSPNAP00000004514	ENSPNAG00000010989	Pygocentrus_nattereri
ENSMFAP00000044843	ENSMFAG00000036419	Macaca_fascicularis
ENSELUP00000034153	ENSELUG00000012636	Esox_lucius
ENSORLP00015032266	ENSORLG00015016986	Oryzias_latipes_ASM223469v1
ENSPPAP00000014799	ENSPPAG00000030564	Pan_paniscus
ENSZALP00000003212	ENSZALG00000003267	Zonotrichia_albicollis
ENSBIXP00000017590	ENSBIXG00000021584	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSXMAP00000022716	ENSXMAG00000027733	Xiphophorus_maculatus
ENSFALP00000001335	ENSFALG00000001283	Ficedula_albicollis
ENSDNOP00000020160	ENSDNOG00000034153	Dasypus_novemcinctus
ENSPVIP00000008671	ENSPVIG00000006965	Pogona_vitticeps	ENSPVIT00000011099
ENSRBIP00000030872	ENSRBIG00000039284	Rhinopithecus_bieti
ENSDORP00000011296	ENSDORG00000012018	Dipodomys_ordii
ENSKMAP00000010634	ENSKMAG00000007983	Kryptolebias_marmoratus
MGP_PahariEiJ_P0042986	MGP_PahariEiJ_G0020221	Mus_pahari_strain_PAHARI_EIJ
ENSNMEP00000008014	ENSNMEG00000007921	Numida_meleagris
ENSPRNP00000039229	ENSPRNG00000019351	Parambassis_ranga
ENSCAFP00020013994	ENSCAFG00020011308	Canis_lupus_dingo
ENSLSDP00000004917	ENSLSDG00000003857	Lonchura_striata_domestica
ENSPTEP00000012144	ENSPTEG00000013672	Piliocolobus_tephrosceles
ENSPMAP00000007579	ENSPMAG00000006874	Petromyzon_marinus
ENSSMRP00000004743	ENSSMRG00000003906	Salvator_merianae	ENSSMRT00000005596
ENSMMUP00000055224	ENSMMUG00000011441	Macaca_mulatta
ENSDNVP00000006251	ENSDNVG00000004480	Dromaius_novaehollandiae	ENSDNVT00000007536
ENSCAPP00000011212	ENSCAPG00000012327	Cavia_aperea
ENSCPOP00000023092	ENSCPOG00000008335	Cavia_porcellus
ENSLBEP00000025422	ENSLBEG00000019417	Labrus_bergylta
ENSPTRP00000008323	ENSPTRG00000004870	Pan_troglodytes
ENSORLP00020001805	ENSORLG00020002533	Oryzias_latipes_ASM223471v1
ENSTSYP00000005673	ENSTSYG00000006198	Carlito_syrichta
ENSATEP00000002989	ENSATEG00000002150	Anabas_testudineus
ENSAOWP00000028471	ENSAOWG00000019177	Apteryx_owenii	ENSAOWT00000032260
ENSSDUP00000023453	ENSSDUG00000017059	Seriola_dumerili
ENSPRNP00000039238	ENSPRNG00000019355	Parambassis_ranga
ENSLCOP00000002194	ENSLCOG00000001729	Lepidothrix_coronata
ENSNPEP00000015367	ENSNPEG00000011471	Nothoprocta_perdicaria	ENSNPET00000015748
ENSAMXP00005009311	ENSAMXG00005005307	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSAP00000002853	ENSCSAG00000006569	Chlorocebus_sabaeus
ENSSSCP00000055562	ENSSSCG00000028397	Sus_scrofa_strain_reference
ENSAOCP00000014070	ENSAOCG00000018691	Amphiprion_ocellaris
ENSMUNP00000004768	ENSMUNG00000003955	Melopsittacus_undulatus
ENSVVUP00000024632	ENSVVUG00000018056	Vulpes_vulpes
ENSACAP00000013233	ENSACAG00000013441	Anolis_carolinensis	ENSACAT00000013499
ENSGGOP00000004222	ENSGGOG00000004302	Gorilla_gorilla
ENSXETP00000052805	ENSXETG00000019797	Xenopus_tropicalis
ENSAPLP00000017292	ENSAPLG00000022157	Anas_platyrhynchos_platyrhynchos
ENSJHYP00000020549	ENSJHYG00000015586	Junco_hyemalis
ENSHGLP00000025098	ENSHGLG00000017877	Heterocephalus_glaber_HetGla_female_1.0
ENSCJPP00005008944	ENSCJPG00005007927	Coturnix_japonica
ENSMNEP00000018035	ENSMNEG00000032962	Macaca_nemestrina
ENSFDAP00000012284	ENSFDAG00000019650	Fukomys_damarensis
ENSBTAP00000000578	ENSBTAG00000000454	Bos_taurus
ENSMLEP00000033605	ENSMLEG00000040987	Mandrillus_leucophaeus
ENSPFOP00000005229	ENSPFOG00000005214	Poecilia_formosa
ENSCATP00000026814	ENSCATG00000036809	Cercocebus_atys
ENSHGLP00100012110	ENSHGLG00100008978	Heterocephalus_glaber_HetGla_1.0
ENSHBUP00000024047	ENSHBUG00000005225	Haplochromis_burtoni
ENSGAFP00000000351	ENSGAFG00000000289	Gambusia_affinis
ENSACLP00000013600	ENSACLG00000009307	Astatotilapia_calliptera
ENSOARP00000020810	ENSOARG00000019371	Ovis_aries
ENSUAMP00000035279	ENSUAMG00000026776	Ursus_americanus
ENSCSEP00000003444	ENSCSEG00000002259	Cynoglossus_semilaevis
ENSSPAP00000012266	ENSSPAG00000009288	Stegastes_partitus
ENSLOCP00000006186	ENSLOCG00000005136	Lepisosteus_oculatus
