ENSCGRP00000019113	ENSCGRG00000013922	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001003907	ENSCGRG00001004852	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025540	ENSCGRG00015019388	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024723	ENSMAUG00000021484	Mesocricetus_auratus
ENSMOCP00000017681	ENSMOCG00000016196	Microtus_ochrogaster
ENSPEMP00000012998	ENSPEMG00000013164	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0091301	MGP_SPRETEiJ_G0033300	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000013142	ENSMSIG00000011321	Mus_spicilegus
ENSMUSP00000124991	ENSMUSG00000056617	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0087706	MGP_CAROLIEiJ_G0032161	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023360	MGP_PahariEiJ_G0015031	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068861	ENSRNOG00000038867	Rattus_norvegicus
ENSOCUP00000027659	ENSOCUG00000031805	Oryctolagus_cuniculus
ENSAMEP00000009187	ENSAMEG00000008736	Ailuropoda_melanoleuca
ENSMPUP00000003995	ENSMPUG00000004028	Mustela_putorius_furo
ENSVVUP00000035014	ENSVVUG00000025197	Vulpes_vulpes
ENSECAP00000027150	ENSECAG00000032980	Equus_caballus
ENSCHIP00000028274	ENSCHIG00000023860	Capra_hircus
ENSOARP00000001725	ENSOARG00000001643	Ovis_aries
ENSDNOP00000021084	ENSDNOG00000045803	Dasypus_novemcinctus
