ENSSBOP00000018471	ENSSBOG00000025856	Saimiri_boliviensis_boliviensis
ENSCGOP00000052723	ENSCGOG00000023113	Cottoperca_gobio
ENSTTRP00000001497	ENSTTRG00000001589	Tursiops_truncatus
ENSBIXP00005016281	ENSBIXG00005003276	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPRNP00000053385	ENSPRNG00000024928	Parambassis_ranga
ENSCPUP00000003224	ENSCPUG00000002467	Calidris_pugnax
ENSLCRP00005021318	ENSLCRG00005006757	Larimichthys_crocea
ENSNBRP00000025314	ENSNBRG00000019327	Neolamprologus_brichardi
ENSEEEP00000023406	ENSEEEG00000011295	Electrophorus_electricus
ENSSMAP00000016855	ENSSMAG00000010281	Scophthalmus_maximus
ENSXCOP00000014711	ENSXCOG00000011171	Xiphophorus_couchianus
ENSAOWP00000001202	ENSAOWG00000000862	Apteryx_owenii	ENSAOWT00000001358
ENSFHEP00000021910	ENSFHEG00000001975	Fundulus_heteroclitus
ENSPMEP00000006781	ENSPMEG00000008355	Poecilia_mexicana
ENSEEUP00000000174	ENSEEUG00000000202	Erinaceus_europaeus
ENSVVUP00000014490	ENSVVUG00000010590	Vulpes_vulpes
ENSPSIP00000019638	ENSPSIG00000017378	Pelodiscus_sinensis
ENSHHUP00000052642	ENSHHUG00000031616	Hucho_hucho
ENSCGRP00000003674	ENSCGRG00000002712	Cricetulus_griseus_CriGri_1.0
ENSGACP00000024465	ENSGACG00000018503	Gasterosteus_aculeatus
ENSGAFP00000004104	ENSGAFG00000002757	Gambusia_affinis
ENSATEP00000000128	ENSATEG00000000047	Anabas_testudineus
ENSCCEP00000023619	ENSCCEG00000021072	Cyanistes_caeruleus
ENSTGEP00000019991	ENSTGEG00000016083	Theropithecus_gelada
ENSOGAP00000013291	ENSOGAG00000014836	Otolemur_garnettii
ENSABRP00000017770	ENSABRG00000015265	Anser_brachyrhynchus
ENSCCAP00000029622	ENSCCAG00000032850	Cebus_capucinus_imitator
ENSSDAP00000001927	ENSSDAG00000001813	Spermophilus_dauricus
ENSSTOP00000004738	ENSSTOG00000005275	Ictidomys_tridecemlineatus
ENSAPOP00000008230	ENSAPOG00000010333	Acanthochromis_polyacanthus
ENSCHAP00000013170	ENSCHAG00000003962	Clupea_harengus
ENSIPUP00000000730	ENSIPUG00000000524	Ictalurus_punctatus
ENSAMXP00000007747	ENSAMXG00000007542	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSETEP00000000496	ENSETEG00000000621	Echinops_telfairi
ENSSFOP00015007627	ENSSFOG00015004988	Scleropages_formosus
ENSANAP00000039845	ENSANAG00000037283	Aotus_nancymaae
ENSNVIP00000026108	ENSNVIG00000020168	Neovison_vison
ENSJJAP00000018749	ENSJJAG00000019922	Jaculus_jaculus
ENSEBUP00000008817	ENSEBUG00000005699	Eptatretus_burgeri
ENSGWIP00000019662	ENSGWIG00000009291	Gouania_willdenowi
ENSHHUP00000007372	ENSHHUG00000004421	Hucho_hucho
ENSEBUP00000011684	ENSEBUG00000007483	Eptatretus_burgeri
ENSPLAP00000001096	ENSPLAG00000002066	Poecilia_latipinna
ENSEEEP00000035207	ENSEEEG00000016749	Electrophorus_electricus
ENSPCIP00000008591	ENSPCIG00000007091	Phascolarctos_cinereus
ENSOCUP00000034712	ENSOCUG00000005010	Oryctolagus_cuniculus
ENSPKIP00000036451	ENSPKIG00000014996	Paramormyrops_kingsleyae
ENSVPAP00000000472	ENSVPAG00000000504	Vicugna_pacos
