ENSPANP00000045112	ENSPANG00000009840	Papio_anubis
ENSTBEP00000013463	ENSTBEG00000015498	Tupaia_belangeri
ENSGALP00000068807	ENSGALG00000055022	Gallus_gallus	ENSGALT00000105416
ENSCCAP00000027674	ENSCCAG00000031227	Cebus_capucinus_imitator
ENSNMEP00000001913	ENSNMEG00000002447	Numida_meleagris
ENSXCOP00000009240	ENSXCOG00000007043	Xiphophorus_couchianus
ENSEEEP00000038431	ENSEEEG00000018249	Electrophorus_electricus
ENSMEUP00000003465	ENSMEUG00000003794	Notamacropus_eugenii
ENSMMOP00000015988	ENSMMOG00000012199	Mola_mola
ENSPVIP00000007235	ENSPVIG00000005942	Pogona_vitticeps
ENSBTAP00000060741	ENSBTAG00000016462	Bos_taurus
ENSCLAP00000011703	ENSCLAG00000008071	Chinchilla_lanigera
ENSLCAP00010013375	ENSLCAG00010006347	Lates_calcarifer
ENSAPEP00000028539	ENSAPEG00000020239	Amphiprion_percula
ENSFHEP00000028153	ENSFHEG00000012111	Fundulus_heteroclitus
ENSSDUP00000002113	ENSSDUG00000001620	Seriola_dumerili
ENSXETP00000036083	ENSXETG00000013558	Xenopus_tropicalis
ENSLCRP00005041426	ENSLCRG00005015408	Larimichthys_crocea
ENSMNEP00000039589	ENSMNEG00000042685	Macaca_nemestrina
ENSETEP00000001576	ENSETEG00000001948	Echinops_telfairi
ENSCAPP00000015336	ENSCAPG00000015464	Cavia_aperea
ENSCPOP00000004736	ENSCPOG00000005267	Cavia_porcellus
ENSPTIP00000023944	ENSPTIG00000019887	Panthera_tigris_altaica
ENSPREP00000024390	ENSPREG00000016463	Poecilia_reticulata
ENSCSEP00000024794	ENSCSEG00000015821	Cynoglossus_semilaevis
ENSMZEP00005018751	ENSMZEG00005014060	Maylandia_zebra
ENSCGRP00015022112	ENSCGRG00015010251	Cricetulus_griseus_CriGri-PICR
ENSSMAP00000021454	ENSSMAG00000013139	Scophthalmus_maximus
