ENSTRUP00000027057	ENSTRUG00000010723	Takifugu_rubripes
ENSTNIP00000016223	ENSTNIG00000013240	Tetraodon_nigroviridis
ENSMMOP00000028075	ENSMMOG00000021209	Mola_mola
ENSBSLP00000053407	ENSBSLG00000025147	Betta_splendens
ENSSMAP00000031811	ENSSMAG00000019484	Scophthalmus_maximus
ENSCSEP00000029922	ENSCSEG00000019186	Cynoglossus_semilaevis
ENSSDUP00000008984	ENSSDUG00000006617	Seriola_dumerili
ENSSLDP00000028864	ENSSLDG00000022299	Seriola_lalandi_dorsalis
ENSLCAP00010009619	ENSLCAG00010004625	Lates_calcarifer
ENSMALP00000018095	ENSMALG00000012624	Monopterus_albus
ENSMALP00000006464	ENSMALG00000004603	Monopterus_albus
ENSMALP00000027045	ENSMALG00000018772	Monopterus_albus
ENSMALP00000008009	ENSMALG00000005704	Monopterus_albus
ENSMAMP00000012082	ENSMAMG00000008174	Mastacembelus_armatus
ENSLCRP00005017676	ENSLCRG00005007283	Larimichthys_crocea
ENSLBEP00000004757	ENSLBEG00000003688	Labrus_bergylta
ENSCGOP00000053091	ENSCGOG00000023327	Cottoperca_gobio
ENSCGOP00000044649	ENSCGOG00000020027	Cottoperca_gobio
ENSGACP00000023127	ENSGACG00000017505	Gasterosteus_aculeatus
ENSATEP00000029295	ENSATEG00000020191	Anabas_testudineus
ENSAPOP00000025053	ENSAPOG00000007869	Acanthochromis_polyacanthus
ENSAPOP00000012785	ENSAPOG00000015478	Acanthochromis_polyacanthus
ENSAOCP00000026931	ENSAOCG00000015473	Amphiprion_ocellaris
ENSAPEP00000009171	ENSAPEG00000006588	Amphiprion_percula
ENSAOCP00000002860	ENSAOCG00000006026	Amphiprion_ocellaris
ENSAPEP00000009230	ENSAPEG00000006618	Amphiprion_percula
ENSAOCP00000011231	ENSAOCG00000015498	Amphiprion_ocellaris
ENSAOCP00000021317	ENSAOCG00000006013	Amphiprion_ocellaris
ENSAPEP00000009187	ENSAPEG00000006601	Amphiprion_percula
ENSAOCP00000011223	ENSAOCG00000015486	Amphiprion_ocellaris
ENSAPEP00000009205	ENSAPEG00000006611	Amphiprion_percula
ENSAOCP00000021311	ENSAOCG00000005999	Amphiprion_ocellaris
