ENSTSYP00000033785	ENSTSYG00000000875	Carlito_syrichta
ENSXETP00000053820	ENSXETG00000021155	Xenopus_tropicalis
ENSTNIP00000022557	ENSTNIG00000019354	Tetraodon_nigroviridis
ENSMSIP00000031827	ENSMSIG00000026598	Mus_spicilegus
ENSTTRP00000009350	ENSTTRG00000009864	Tursiops_truncatus
ENSPPRP00000020313	ENSPPRG00000011514	Panthera_pardus
ENSDARP00000015118	ENSDARG00000002403	Danio_rerio
ENSEEEP00000048719	ENSEEEG00000022921	Electrophorus_electricus
ENSHGLP00100016325	ENSHGLG00100012056	Heterocephalus_glaber_HetGla_1.0
ENSMPUP00000008774	ENSMPUG00000008844	Mustela_putorius_furo
ENSBBBP00000005863	ENSBBBG00000014520	Bison_bison_bison
ENSCSEP00000011829	ENSCSEG00000007629	Cynoglossus_semilaevis
ENSGMOP00000015162	ENSGMOG00000014195	Gadus_morhua
ENSLBEP00000017548	ENSLBEG00000013536	Labrus_bergylta
ENSMUSP00000068713	ENSMUSG00000027306	Mus_musculus_strain_reference_(CL57BL6)
ENSPTRP00000011847	ENSPTRG00000006944	Pan_troglodytes
ENSMPUP00000002064	ENSMPUG00000002085	Mustela_putorius_furo
ENSMODP00000052527	ENSMODG00000000151	Monodelphis_domestica	ENSMODT00000061990
ENSHHUP00000020501	ENSHHUG00000012833	Hucho_hucho
ENSSCAP00000002885	ENSSCAG00000002497	Serinus_canaria
ENSLOCP00000016353	ENSLOCG00000013267	Lepisosteus_oculatus
ENSPMGP00000024738	ENSPMGG00000020027	Periophthalmus_magnuspinnatus
ENSSLDP00000012890	ENSSLDG00000010260	Seriola_lalandi_dorsalis
ENSGWIP00000035949	ENSGWIG00000018562	Gouania_willdenowi
ENSBTAP00000014263	ENSBTAG00000010774	Bos_taurus
ENSCPGP00000023725	ENSCPGG00000016404	Calidris_pygmaea
ENSPVAP00000002975	ENSPVAG00000003154	Pteropus_vampyrus
ENSMMUP00000016654	ENSMMUG00000012681	Macaca_mulatta
ENSMICP00000022482	ENSMICG00000037799	Microcebus_murinus
ENSANAP00000006713	ENSANAG00000021418	Aotus_nancymaae
ENSDNVP00000026214	ENSDNVG00000018244	Dromaius_novaehollandiae
ENSMAMP00000000247	ENSMAMG00000000179	Mastacembelus_armatus
ENSOCUP00000002844	ENSOCUG00000003277	Oryctolagus_cuniculus
ENSLACP00000002691	ENSLACG00000002407	Latimeria_chalumnae
ENSPEMP00000008610	ENSPEMG00000010171	Peromyscus_maniculatus_bairdii
ENSPKIP00000016043	ENSPKIG00000002537	Paramormyrops_kingsleyae
ENSFALP00000006363	ENSFALG00000006104	Ficedula_albicollis
ENSXCOP00000005144	ENSXCOG00000004029	Xiphophorus_couchianus
ENSCPUP00000020954	ENSCPUG00000014338	Calidris_pugnax
ENSHBUP00000011900	ENSHBUG00000013567	Haplochromis_burtoni
ENSUMAP00000016536	ENSUMAG00000012161	Ursus_maritimus
ENSMLUP00000008918	ENSMLUG00000009782	Myotis_lucifugus
