ENSCJPP00005021463	ENSCJPG00005017160	Coturnix_japonica
ENSPNYP00000008222	ENSPNYG00000006278	Pundamilia_nyererei
ENSHCOP00000002426	ENSHCOG00000003578	Hippocampus_comes
ENSLACP00000008697	ENSLACG00000007688	Latimeria_chalumnae
ENSAMXP00000035232	ENSAMXG00000035011	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGWIP00000054527	ENSGWIG00000026055	Gouania_willdenowi
ENSAMEP00000008595	ENSAMEG00000008160	Ailuropoda_melanoleuca
ENSCHOP00000007575	ENSCHOG00000008568	Choloepus_hoffmanni
ENSCCAP00000014464	ENSCCAG00000025037	Cebus_capucinus_imitator
ENSMFAP00000025558	ENSMFAG00000044269	Macaca_fascicularis
ENSPRNP00000035941	ENSPRNG00000017978	Parambassis_ranga
ENSMUSP00000029462	ENSMUSG00000027868	Mus_musculus_strain_reference_(CL57BL6)
ENSARWP00000013147	ENSARWG00000009112	Apteryx_rowi
ENSLCAP00010014092	ENSLCAG00010006704	Lates_calcarifer
ENSLSDP00000008900	ENSLSDG00000006656	Lonchura_striata_domestica
ENSFDAP00000020956	ENSFDAG00000008063	Fukomys_damarensis
ENSMZEP00005025825	ENSMZEG00005019267	Maylandia_zebra
ENSSDAP00000010194	ENSSDAG00000009282	Spermophilus_dauricus
ENSSLDP00000016302	ENSSLDG00000012911	Seriola_lalandi_dorsalis
ENSCPGP00000009048	ENSCPGG00000006437	Calidris_pygmaea
ENSOARP00000021882	ENSOARG00000020376	Ovis_aries
ENSAHAP00000009578	ENSAHAG00000006967	Apteryx_haastii
ENSCAFP00020026211	ENSCAFG00020020577	Canis_lupus_dingo
ENSMAMP00000030751	ENSMAMG00000020709	Mastacembelus_armatus
ENSLCRP00005007153	ENSLCRG00005003530	Larimichthys_crocea
ENSXCOP00000011885	ENSXCOG00000008998	Xiphophorus_couchianus
ENSANAP00000027074	ENSANAG00000031356	Aotus_nancymaae
ENSSBOP00000028486	ENSSBOG00000030620	Saimiri_boliviensis_boliviensis
ENSPSIP00000019799	ENSPSIG00000017560	Pelodiscus_sinensis
ENSSHAP00000014984	ENSSHAG00000012785	Sarcophilus_harrisii
