ENSELUP00000008220	ENSELUG00000008915	Esox_lucius
ENSHHUP00000009667	ENSHHUG00000005905	Hucho_hucho
ENSHHUP00000006336	ENSHHUG00000003902	Hucho_hucho
ENSTNIP00000021546	ENSTNIG00000018377	Tetraodon_nigroviridis
ENSTRUP00000027653	ENSTRUG00000010952	Takifugu_rubripes
ENSHCOP00000019162	ENSHCOG00000000862	Hippocampus_comes
ENSCSEP00000002231	ENSCSEG00000001494	Cynoglossus_semilaevis
ENSLBEP00000003257	ENSLBEG00000002526	Labrus_bergylta
ENSMMOP00000004196	ENSMMOG00000003357	Mola_mola
ENSMALP00000001425	ENSMALG00000001052	Monopterus_albus
ENSAOCP00000029105	ENSAOCG00000019218	Amphiprion_ocellaris
ENSAPEP00000001730	ENSAPEG00000001254	Amphiprion_percula
ENSAPOP00000007013	ENSAPOG00000008884	Acanthochromis_polyacanthus
ENSSPAP00000031450	ENSSPAG00000023578	Stegastes_partitus
ENSGWIP00000019968	ENSGWIG00000010821	Gouania_willdenowi
ENSPMEP00000019684	ENSPMEG00000022685	Poecilia_mexicana
ENSPREP00000027577	ENSPREG00000018662	Poecilia_reticulata
ENSPFOP00000029444	ENSPFOG00000017507	Poecilia_formosa
ENSXCOP00000026327	ENSXCOG00000019659	Xiphophorus_couchianus
ENSPLAP00000024171	ENSPLAG00000010280	Poecilia_latipinna
ENSGAFP00000011516	ENSGAFG00000007811	Gambusia_affinis
ENSXMAP00000038215	ENSXMAG00000013178	Xiphophorus_maculatus
ENSFHEP00000013102	ENSFHEG00000014580	Fundulus_heteroclitus
ENSCVAP00000007623	ENSCVAG00000009316	Cyprinodon_variegatus
ENSKMAP00000006654	ENSKMAG00000005010	Kryptolebias_marmoratus
ENSACLP00000011054	ENSACLG00000007572	Astatotilapia_calliptera
ENSHBUP00000030891	ENSHBUG00000016219	Haplochromis_burtoni
ENSPNYP00000023888	ENSPNYG00000018022	Pundamilia_nyererei
ENSNBRP00000017814	ENSNBRG00000013719	Neolamprologus_brichardi
ENSMZEP00005007111	ENSMZEG00005005471	Maylandia_zebra
ENSONIP00000007609	ENSONIG00000006042	Oreochromis_niloticus
ENSACIP00000017208	ENSACIG00000013407	Amphilophus_citrinellus
ENSSLDP00000017095	ENSSLDG00000013423	Seriola_lalandi_dorsalis
ENSSDUP00000017099	ENSSDUG00000012371	Seriola_dumerili
ENSLCAP00010012075	ENSLCAG00010005646	Lates_calcarifer
ENSSMAP00000031035	ENSSMAG00000019030	Scophthalmus_maximus
ENSATEP00000002643	ENSATEG00000001900	Anabas_testudineus
ENSORLP00000011032	ENSORLG00000008786	Oryzias_latipes_ASM223467v1
ENSORLP00015017810	ENSORLG00015018844	Oryzias_latipes_ASM223469v1
ENSORLP00020011602	ENSORLG00020012526	Oryzias_latipes_ASM223471v1
ENSOMEP00000023852	ENSOMEG00000004160	Oryzias_melastigma
