ENSABRP00000008952	ENSABRG00000008013	Anser_brachyrhynchus	ENSABRT00000012748
ENSAPLP00000023479	ENSAPLG00000028807	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000008084	ENSMGAG00000007901	Meleagris_gallopavo
ENSCJPP00005016581	ENSCJPG00005013615	Coturnix_japonica
ENSGALP00000012206	ENSGALG00000007557	Gallus_gallus
ENSNMEP00000004260	ENSNMEG00000004613	Numida_meleagris
ENSJHYP00000015669	ENSJHYG00000012014	Junco_hyemalis
ENSZALP00000007261	ENSZALG00000006475	Zonotrichia_albicollis
ENSSCAP00000020501	ENSSCAG00000014768	Serinus_canaria
ENSTGUP00000009938	ENSTGUG00000009610	Taeniopygia_guttata
ENSLSDP00000002238	ENSLSDG00000001779	Lonchura_striata_domestica
ENSFALP00000007826	ENSFALG00000007498	Ficedula_albicollis
ENSPMJP00000026884	ENSPMJG00000019607	Parus_major
ENSCCEP00000001039	ENSCCEG00000001267	Cyanistes_caeruleus
ENSLCOP00000000900	ENSLCOG00000000749	Lepidothrix_coronata
ENSMVIP00005004511	ENSMVIG00005003483	Manacus_vitellinus
ENSMUNP00000010656	ENSMUNG00000008402	Melopsittacus_undulatus
ENSCPGP00000026734	ENSCPGG00000018428	Calidris_pygmaea
ENSCPUP00000025298	ENSCPUG00000017105	Calidris_pugnax
ENSAOWP00000027254	ENSAOWG00000018363	Apteryx_owenii
ENSARWP00000010358	ENSARWG00000007210	Apteryx_rowi
ENSAHAP00000008345	ENSAHAG00000006143	Apteryx_haastii
ENSDNVP00000009567	ENSDNVG00000006745	Dromaius_novaehollandiae
ENSNPEP00000010649	ENSNPEG00000007999	Nothoprocta_perdicaria
ENSCPRP00005017682	ENSCPRG00005012257	Crocodylus_porosus
ENSCPBP00000024306	ENSCPBG00000017349	Chrysemys_picta_bellii
ENSGAGP00000014663	ENSGAGG00000011128	Gopherus_agassizii
ENSGAGP00000010255	ENSGAGG00000008027	Gopherus_agassizii
ENSPSIP00000002295	ENSPSIG00000002277	Pelodiscus_sinensis
ENSCABP00000006489	ENSCABG00000004878	Chelonoidis_abingdonii
ENSPSIP00000002307	ENSPSIG00000002291	Pelodiscus_sinensis
ENSACAP00000002857	ENSACAG00000002827	Anolis_carolinensis
ENSPVIP00000002931	ENSPVIG00000001882	Pogona_vitticeps
ENSNSUP00000015649	ENSNSUG00000011399	Notechis_scutatus
ENSSMRP00000024186	ENSSMRG00000018776	Salvator_merianae
ENSSPUP00000016198	ENSSPUG00000012486	Sphenodon_punctatus
ENSPTRP00000044912	ENSPTRG00000015795	Pan_troglodytes
ENSPPAP00000027836	ENSPPAG00000036932	Pan_paniscus
ENSGGOP00000011219	ENSGGOG00000011498	Gorilla_gorilla
ENSP00000296343	ENSG00000145016	Homo_sapiens
ENSNLEP00000047403	ENSNLEG00000015523	Nomascus_leucogenys
ENSPPYP00000016165	ENSPPYG00000014455	Pongo_abelii
ENSPANP00000017554	ENSPANG00000021756	Papio_anubis
