ENSPNAP00000017016	ENSPNAG00000023212	Pygocentrus_nattereri
ENSAMXP00005046578	ENSAMXG00005021447	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000051215	ENSEEEG00000024041	Electrophorus_electricus
ENSIPUP00000026278	ENSIPUG00000017792	Ictalurus_punctatus
ENSDARP00000107548	ENSDARG00000091640	Danio_rerio
ENSDCDP00000013125	ENSDCDG00000008760	Denticeps_clupeoides
ENSHHUP00000015132	ENSHHUG00000009406	Hucho_hucho
ENSHHUP00000037456	ENSHHUG00000023461	Hucho_hucho
ENSELUP00000026274	ENSELUG00000002106	Esox_lucius
ENSMALP00000019563	ENSMALG00000013668	Monopterus_albus
ENSMAMP00000022120	ENSMAMG00000014885	Mastacembelus_armatus
ENSATEP00000030524	ENSATEG00000021083	Anabas_testudineus
ENSBSLP00000053080	ENSBSLG00000025038	Betta_splendens
ENSSMAP00000007075	ENSSMAG00000004380	Scophthalmus_maximus
ENSCSEP00000011901	ENSCSEG00000007677	Cynoglossus_semilaevis
ENSLCAP00010005542	ENSLCAG00010002768	Lates_calcarifer
ENSSDUP00000025858	ENSSDUG00000018757	Seriola_dumerili
ENSSLDP00000023736	ENSSLDG00000018518	Seriola_lalandi_dorsalis
ENSMMOP00000001046	ENSMMOG00000000900	Mola_mola
ENSTRUP00000054653	ENSTRUG00000022380	Takifugu_rubripes
ENSLCRP00005050985	ENSLCRG00005019231	Larimichthys_crocea
ENSCGOP00000025604	ENSCGOG00000012090	Cottoperca_gobio
ENSLBEP00000034402	ENSLBEG00000025876	Labrus_bergylta
ENSAOCP00000025079	ENSAOCG00000012392	Amphiprion_ocellaris
ENSAPEP00000029216	ENSAPEG00000020771	Amphiprion_percula
ENSAPOP00000023419	ENSAPOG00000005179	Acanthochromis_polyacanthus
ENSSPAP00000011026	ENSSPAG00000008397	Stegastes_partitus
ENSPRNP00000029962	ENSPRNG00000014949	Parambassis_ranga
ENSMZEP00005002964	ENSMZEG00005002308	Maylandia_zebra
ENSACLP00000027869	ENSACLG00000018940	Astatotilapia_calliptera
ENSPNYP00000023902	ENSPNYG00000018048	Pundamilia_nyererei
ENSHBUP00000009972	ENSHBUG00000011503	Haplochromis_burtoni
ENSONIP00000000100	ENSONIG00000000083	Oreochromis_niloticus
ENSNBRP00000013369	ENSNBRG00000010385	Neolamprologus_brichardi
ENSACIP00000003938	ENSACIG00000003127	Amphilophus_citrinellus
ENSPLAP00000025171	ENSPLAG00000011951	Poecilia_latipinna
ENSPFOP00000017021	ENSPFOG00000016961	Poecilia_formosa
ENSPREP00000033031	ENSPREG00000022379	Poecilia_reticulata
ENSXMAP00000028925	ENSXMAG00000024470	Xiphophorus_maculatus
ENSXCOP00000018369	ENSXCOG00000013835	Xiphophorus_couchianus
ENSGAFP00000024969	ENSGAFG00000016861	Gambusia_affinis
ENSCVAP00000014127	ENSCVAG00000016698	Cyprinodon_variegatus
ENSFHEP00000019841	ENSFHEG00000021747	Fundulus_heteroclitus
ENSKMAP00000015648	ENSKMAG00000011710	Kryptolebias_marmoratus
ENSORLP00020009407	ENSORLG00020010303	Oryzias_latipes_ASM223471v1
ENSORLP00000035724	ENSORLG00000026209	Oryzias_latipes_ASM223467v1
ENSORLP00015027180	ENSORLG00015000279	Oryzias_latipes_ASM223469v1
ENSOMEP00000023853	ENSOMEG00000004155	Oryzias_melastigma
ENSGWIP00000008752	ENSGWIG00000005230	Gouania_willdenowi
ENSPMGP00000002437	ENSPMGG00000002143	Periophthalmus_magnuspinnatus
ENSHCOP00000014556	ENSHCOG00000017961	Hippocampus_comes
ENSSFOP00015036181	ENSSFOG00015023029	Scleropages_formosus
ENSPKIP00000017847	ENSPKIG00000003611	Paramormyrops_kingsleyae
