ENSMEUP00000014651	ENSMEUG00000016030	Notamacropus_eugenii	ENSMEUT00000016079
ENSPCIP00000038145	ENSPCIG00000028078	Phascolarctos_cinereus	ENSPCIT00000046948
ENSVURP00010017943	ENSVURG00010013697	Vombatus_ursinus	ENSVURT00010020381
ENSPCIP00000038142	ENSPCIG00000028076	Phascolarctos_cinereus	ENSPCIT00000046945
ENSSHAP00000015523	ENSSHAG00000013229	Sarcophilus_harrisii	ENSSHAT00000015651
ENSMODP00000002792	ENSMODG00000002285	Monodelphis_domestica	ENSMODT00000002848
ENSCAPP00000016105	ENSCAPG00000016069	Cavia_aperea	ENSCAPT00000019892
ENSCPOP00000004312	ENSCPOG00000004791	Cavia_porcellus	ENSCPOT00000004842
ENSCLAP00000011393	ENSCLAG00000007857	Chinchilla_lanigera	ENSCLAT00000011530
ENSODEP00000016072	ENSODEG00000011830	Octodon_degus	ENSODET00000016277
ENSHGLP00000026750	ENSHGLG00000019027	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009675	ENSHGLG00100007176	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015717	ENSFDAG00000003787	Fukomys_damarensis
ENSSTOP00000006916	ENSSTOG00000007718	Ictidomys_tridecemlineatus
ENSSDAP00000016690	ENSSDAG00000015110	Spermophilus_dauricus
ENSMMMP00000007592	ENSMMMG00000006820	Marmota_marmota_marmota
ENSUPAP00010014251	ENSUPAG00010011445	Urocitellus_parryii
ENSCCNP00000000373	ENSCCNG00000000399	Castor_canadensis
ENSDORP00000011338	ENSDORG00000012061	Dipodomys_ordii
ENSMOCP00000019097	ENSMOCG00000017180	Microtus_ochrogaster
ENSMOCP00000001668	ENSMOCG00000001296	Microtus_ochrogaster
ENSPEMP00000005874	ENSPEMG00000008242	Peromyscus_maniculatus_bairdii
ENSCGRP00000008596	ENSCGRG00000006272	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001003789	ENSCGRG00001004669	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015036816	ENSCGRG00015027609	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021469	ENSMAUG00000019192	Mesocricetus_auratus
ENSMSIP00000019963	ENSMSIG00000016929	Mus_spicilegus
MGP_SPRETEiJ_P0027224	MGP_SPRETEiJ_G0016981	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000020529	ENSMUSG00000020288	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0025888	MGP_CAROLIEiJ_G0016138	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0030058	MGP_PahariEiJ_G0016752	Mus_pahari_strain_PAHARI_EIJ
