FBpp0088518	FBgn0026309	Drosophila_melanogaster	FBtr0089549
Y40D12A.1a.1	WBGene00021502	Caenorhabditis_elegans_strain_N2	Y40D12A.1a.1
ENSSFOP00015027198	ENSSFOG00015017483	Scleropages_formosus
ENSPKIP00000008102	ENSPKIG00000023749	Paramormyrops_kingsleyae
ENSTRUP00000046145	ENSTRUG00000018008	Takifugu_rubripes
ENSTNIP00000012170	ENSTNIG00000009304	Tetraodon_nigroviridis
ENSMMOP00000021313	ENSMMOG00000016204	Mola_mola
ENSGACP00000020960	ENSGACG00000015882	Gasterosteus_aculeatus
ENSCSEP00000009374	ENSCSEG00000006021	Cynoglossus_semilaevis
ENSMALP00000001149	ENSMALG00000000882	Monopterus_albus
ENSMAMP00000030972	ENSMAMG00000020867	Mastacembelus_armatus
ENSATEP00000002818	ENSATEG00000002030	Anabas_testudineus
ENSSDUP00000026622	ENSSDUG00000019312	Seriola_dumerili
ENSSLDP00000023778	ENSSLDG00000018543	Seriola_lalandi_dorsalis
ENSLCAP00010004440	ENSLCAG00010002270	Lates_calcarifer
ENSSMAP00000001123	ENSSMAG00000000712	Scophthalmus_maximus
ENSLCRP00005044553	ENSLCRG00005017063	Larimichthys_crocea
ENSLBEP00000031894	ENSLBEG00000024048	Labrus_bergylta
ENSCGOP00000039923	ENSCGOG00000018228	Cottoperca_gobio
ENSAPEP00000019529	ENSAPEG00000013930	Amphiprion_percula
ENSAOCP00000012548	ENSAOCG00000017042	Amphiprion_ocellaris
ENSAPOP00000009755	ENSAPOG00000012087	Acanthochromis_polyacanthus
ENSSPAP00000012293	ENSSPAG00000009337	Stegastes_partitus
ENSPRNP00000057110	ENSPRNG00000026623	Parambassis_ranga
ENSACLP00000006884	ENSACLG00000004652	Astatotilapia_calliptera
ENSMZEP00005017299	ENSMZEG00005012998	Maylandia_zebra
ENSHBUP00000030279	ENSHBUG00000015196	Haplochromis_burtoni
ENSPNYP00000019870	ENSPNYG00000015043	Pundamilia_nyererei
ENSNBRP00000011671	ENSNBRG00000009088	Neolamprologus_brichardi
ENSONIP00000007205	ENSONIG00000005719	Oreochromis_niloticus
ENSACIP00000003968	ENSACIG00000003129	Amphilophus_citrinellus
ENSHCOP00000003259	ENSHCOG00000004551	Hippocampus_comes
ENSXMAP00000014091	ENSXMAG00000014066	Xiphophorus_maculatus
ENSXCOP00000015185	ENSXCOG00000011503	Xiphophorus_couchianus
ENSGAFP00000000279	ENSGAFG00000000227	Gambusia_affinis
ENSPFOP00000018347	ENSPFOG00000018254	Poecilia_formosa
ENSPLAP00000013197	ENSPLAG00000016653	Poecilia_latipinna
ENSPMEP00000005530	ENSPMEG00000006906	Poecilia_mexicana
ENSPREP00000002274	ENSPREG00000001684	Poecilia_reticulata
ENSFHEP00000027995	ENSFHEG00000011809	Fundulus_heteroclitus
ENSCVAP00000004465	ENSCVAG00000005748	Cyprinodon_variegatus
ENSKMAP00000011916	ENSKMAG00000008968	Kryptolebias_marmoratus
ENSORLP00000033352	ENSORLG00000008928	Oryzias_latipes_ASM223467v1
ENSORLP00020025358	ENSORLG00020007254	Oryzias_latipes_ASM223471v1
ENSORLP00015004243	ENSORLG00015005015	Oryzias_latipes_ASM223469v1
ENSOMEP00000022803	ENSOMEG00000002443	Oryzias_melastigma
ENSGWIP00000054566	ENSGWIG00000026075	Gouania_willdenowi
ENSBSLP00000009881	ENSBSLG00000004908	Betta_splendens
ENSPMGP00000002960	ENSPMGG00000002579	Periophthalmus_magnuspinnatus
ENSGMOP00000003195	ENSGMOG00000003051	Gadus_morhua
ENSHHUP00000033611	ENSHHUG00000021228	Hucho_hucho
ENSHHUP00000064581	ENSHHUG00000038141	Hucho_hucho
ENSELUP00000011195	ENSELUG00000011595	Esox_lucius
ENSDCDP00000048539	ENSDCDG00000030036	Denticeps_clupeoides
ENSCHAP00000031382	ENSCHAG00000014993	Clupea_harengus
ENSAMXP00005015777	ENSAMXG00005008300	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000003185	ENSAMXG00000003128	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000029036	ENSPNAG00000014909	Pygocentrus_nattereri
ENSEEEP00000007394	ENSEEEG00000003880	Electrophorus_electricus
ENSIPUP00000026048	ENSIPUG00000017648	Ictalurus_punctatus
ENSDARP00000052804	ENSDARG00000036345	Danio_rerio
ENSLOCP00000021700	ENSLOCG00000017595	Lepisosteus_oculatus
ENSECRP00000011140	ENSECRG00000007412	Erpetoichthys_calabaricus
ENSCPUP00000015571	ENSCPUG00000010814	Calidris_pugnax
ENSCPGP00000017738	ENSCPGG00000012437	Calidris_pygmaea
ENSZALP00000013479	ENSZALG00000011222	Zonotrichia_albicollis
ENSJHYP00000000968	ENSJHYG00000000869	Junco_hyemalis
ENSSCAP00000007331	ENSSCAG00000005660	Serinus_canaria
ENSTGUP00000006164	ENSTGUG00000006002	Taeniopygia_guttata
ENSLSDP00000022026	ENSLSDG00000015556	Lonchura_striata_domestica
ENSCCEP00000015539	ENSCCEG00000014703	Cyanistes_caeruleus
ENSPMJP00000000110	ENSPMJG00000000131	Parus_major
ENSMVIP00005015787	ENSMVIG00005011346	Manacus_vitellinus
ENSLCOP00000021784	ENSLCOG00000015384	Lepidothrix_coronata
ENSGALP00000039292	ENSGALG00000002356	Gallus_gallus
ENSMGAP00000016515	ENSMGAG00000015573	Meleagris_gallopavo
ENSCJPP00005008422	ENSCJPG00005007521	Coturnix_japonica
ENSNMEP00000018689	ENSNMEG00000016210	Numida_meleagris
ENSABRP00000003373	ENSABRG00000003192	Anser_brachyrhynchus
ENSAOWP00000026516	ENSAOWG00000017880	Apteryx_owenii
ENSAHAP00000026523	ENSAHAG00000018455	Apteryx_haastii
ENSARWP00000015158	ENSARWG00000010482	Apteryx_rowi
ENSDNVP00000011401	ENSDNVG00000008053	Dromaius_novaehollandiae
ENSNPEP00000009628	ENSNPEG00000007229	Nothoprocta_perdicaria
ENSCPRP00005002297	ENSCPRG00005001682	Crocodylus_porosus
ENSCABP00000031595	ENSCABG00000023063	Chelonoidis_abingdonii
ENSGAGP00000005143	ENSGAGG00000004185	Gopherus_agassizii
ENSCPBP00000012454	ENSCPBG00000009396	Chrysemys_picta_bellii
ENSPSIP00000001358	ENSPSIG00000001359	Pelodiscus_sinensis
ENSACAP00000014304	ENSACAG00000014593	Anolis_carolinensis
ENSPVIP00000009789	ENSPVIG00000007779	Pogona_vitticeps
ENSNSUP00000025160	ENSNSUG00000018143	Notechis_scutatus
ENSSMRP00000012566	ENSSMRG00000009796	Salvator_merianae
ENSLCOP00000021847	ENSLCOG00000015434	Lepidothrix_coronata
