ENSPTRP00000072508	ENSPTRG00000046820	Pan_troglodytes	ENSPTRT00000080309
ENSPPAP00000026551	ENSPPAG00000036367	Pan_paniscus	ENSPPAT00000049385
ENSGGOP00000000041	ENSGGOG00000000042	Gorilla_gorilla	ENSGGOT00000058715
ENSP00000481021	ENSG00000127922	Homo_sapiens
ENSPPYP00000019948	ENSPPYG00000017796	Pongo_abelii
ENSNLEP00000019402	ENSNLEG00000015998	Nomascus_leucogenys
ENSMLEP00000019045	ENSMLEG00000033727	Mandrillus_leucophaeus
ENSCATP00000028639	ENSCATG00000037610	Cercocebus_atys
ENSPANP00000043993	ENSPANG00000016025	Papio_anubis
ENSTGEP00000000138	ENSTGEG00000000168	Theropithecus_gelada
ENSMNEP00000045709	ENSMNEG00000045345	Macaca_nemestrina
ENSMFAP00000027439	ENSMFAG00000045122	Macaca_fascicularis
ENSMMUP00000009157	ENSMMUG00000006974	Macaca_mulatta
ENSCSAP00000009176	ENSCSAG00000013000	Chlorocebus_sabaeus
ENSRBIP00000000336	ENSRBIG00000001757	Rhinopithecus_bieti
ENSRROP00000013020	ENSRROG00000030800	Rhinopithecus_roxellana
ENSCANP00000006544	ENSCANG00000021867	Colobus_angolensis_palliatus
ENSSBOP00000037971	ENSSBOG00000035070	Saimiri_boliviensis_boliviensis
ENSCCAP00000026037	ENSCCAG00000030816	Cebus_capucinus_imitator
ENSANAP00000037077	ENSANAG00000036040	Aotus_nancymaae
ENSPCOP00000026196	ENSPCOG00000025433	Propithecus_coquereli
