FBpp0075748	FBgn0036266	Drosophila_melanogaster	FBtr0076016
F52C12.3.1	WBGene00018680	Caenorhabditis_elegans_strain_N2	F52C12.3.1
ENSPVIP00000015552	ENSPVIG00000011994	Pogona_vitticeps
ENSACAP00000006564	ENSACAG00000006714	Anolis_carolinensis
ENSNSUP00000019349	ENSNSUG00000014141	Notechis_scutatus
ENSSMRP00000030243	ENSSMRG00000023194	Salvator_merianae
ENSSPUP00000011711	ENSSPUG00000008988	Sphenodon_punctatus
ENSABRP00000019873	ENSABRG00000017003	Anser_brachyrhynchus
ENSAPLP00000009134	ENSAPLG00000009419	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000009877	ENSMGAG00000009556	Meleagris_gallopavo
ENSGALP00000065125	ENSGALG00000047163	Gallus_gallus
ENSCJPP00005000382	ENSCJPG00005000459	Coturnix_japonica
ENSNMEP00000012995	ENSNMEG00000011915	Numida_meleagris
ENSCPUP00000003514	ENSCPUG00000002678	Calidris_pugnax
ENSCPGP00000000641	ENSCPGG00000000527	Calidris_pygmaea
ENSJHYP00000007651	ENSJHYG00000006097	Junco_hyemalis
ENSSCAP00000001617	ENSSCAG00000001355	Serinus_canaria
ENSLSDP00000007872	ENSLSDG00000005904	Lonchura_striata_domestica
ENSTGUP00000008807	ENSTGUG00000008548	Taeniopygia_guttata
ENSFALP00000001166	ENSFALG00000001119	Ficedula_albicollis
ENSPMJP00000000932	ENSPMJG00000000766	Parus_major
ENSCCEP00000004639	ENSCCEG00000005080	Cyanistes_caeruleus
ENSMVIP00005001067	ENSMVIG00005000826	Manacus_vitellinus
ENSMVIP00005001013	ENSMVIG00005000818	Manacus_vitellinus
ENSZALP00000019522	ENSZALG00000015459	Zonotrichia_albicollis
ENSLCOP00000002973	ENSLCOG00000002272	Lepidothrix_coronata
ENSMUNP00000013694	ENSMUNG00000010673	Melopsittacus_undulatus
ENSAOWP00000018878	ENSAOWG00000012845	Apteryx_owenii
ENSAHAP00000022569	ENSAHAG00000015827	Apteryx_haastii
ENSARWP00000010577	ENSARWG00000007334	Apteryx_rowi
ENSDNVP00000013405	ENSDNVG00000009464	Dromaius_novaehollandiae
ENSNPEP00000004787	ENSNPEG00000003523	Nothoprocta_perdicaria
ENSCPRP00005006379	ENSCPRG00005004562	Crocodylus_porosus
ENSCPBP00000040907	ENSCPBG00000028071	Chrysemys_picta_bellii
ENSGAGP00000008608	ENSGAGG00000006825	Gopherus_agassizii
ENSCABP00000013535	ENSCABG00000010152	Chelonoidis_abingdonii
ENSPSIP00000014280	ENSPSIG00000012807	Pelodiscus_sinensis
ENSOANP00000000570	ENSOANG00000000344	Ornithorhynchus_anatinus
ENSOANP00000030020	ENSOANG00000030893	Ornithorhynchus_anatinus
ENSPVAP00000007975	ENSPVAG00000008446	Pteropus_vampyrus
ENSMLUP00000013939	ENSMLUG00000015298	Myotis_lucifugus
ENSUAMP00000012408	ENSUAMG00000010045	Ursus_americanus
ENSUMAP00000011990	ENSUMAG00000008979	Ursus_maritimus
ENSAMEP00000009900	ENSAMEG00000009414	Ailuropoda_melanoleuca
ENSMPUP00000013767	ENSMPUG00000013870	Mustela_putorius_furo
ENSNVIP00000013906	ENSNVIG00000010933	Neovison_vison
ENSCAFP00000007165	ENSCAFG00000004798	Canis_lupus_familiaris
ENSCAFP00020000263	ENSCAFG00020000312	Canis_lupus_dingo
ENSVVUP00000015543	ENSVVUG00000011411	Vulpes_vulpes
ENSPPRP00000017069	ENSPPRG00000009162	Panthera_pardus
ENSPTIP00000022544	ENSPTIG00000019312	Panthera_tigris_altaica
ENSFCAP00000023546	ENSFCAG00000023712	Felis_catus
ENSCHIP00000021650	ENSCHIG00000019908	Capra_hircus
ENSOARP00000011114	ENSOARG00000010361	Ovis_aries
ENSBIXP00005027603	ENSBIXG00005030427	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006892	ENSBIXG00000006385	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000001090	ENSBTAG00000000824	Bos_taurus
ENSBMUP00000012044	ENSBMUG00000009235	Bos_mutus
ENSBBBP00000013926	ENSBBBG00000021631	Bison_bison_bison
ENSTTRP00000015002	ENSTTRG00000015828	Tursiops_truncatus
ENSSSCP00000038043	ENSSSCG00000036852	Sus_scrofa_strain_reference
ENSECAP00000003823	ENSECAG00000004924	Equus_caballus
ENSEASP00005000628	ENSEASG00005000579	Equus_asinus_asinus
ENSEEUP00000007723	ENSEEUG00000008467	Erinaceus_europaeus
ENSSTOP00000011549	ENSSTOG00000012883	Ictidomys_tridecemlineatus
ENSUPAP00010030571	ENSUPAG00010023995	Urocitellus_parryii
ENSSDAP00000005996	ENSSDAG00000005573	Spermophilus_dauricus
ENSMMMP00000011844	ENSMMMG00000010600	Marmota_marmota_marmota
ENSODEP00000013615	ENSODEG00000010059	Octodon_degus
ENSCPOP00000004172	ENSCPOG00000004630	Cavia_porcellus
ENSHGLP00100007339	ENSHGLG00100005497	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011120	ENSHGLG00000007979	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000011548	ENSFDAG00000019090	Fukomys_damarensis
ENSCLAP00000004095	ENSCLAG00000002924	Chinchilla_lanigera
ENSCAPP00000009537	ENSCAPG00000010982	Cavia_aperea
ENSCCNP00000023548	ENSCCNG00000023108	Castor_canadensis
ENSDORP00000016793	ENSDORG00000004073	Dipodomys_ordii
MGP_SPRETEiJ_P0032445	MGP_SPRETEiJ_G0018262	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000033666	ENSMSIG00000028141	Mus_spicilegus
ENSMUSP00000021134	ENSMUSG00000020781	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0031003	MGP_CAROLIEiJ_G0017417	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0037726	MGP_PahariEiJ_G0018547	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006327	ENSRNOG00000004598	Rattus_norvegicus
ENSMUGP00000027295	ENSMUGG00000022727	Meriones_unguiculatus
ENSCGRP00000022478	ENSCGRG00000016289	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021097	ENSCGRG00001020029	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015011705	ENSCGRG00015008966	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018187	ENSMAUG00000016838	Mesocricetus_auratus
ENSPEMP00000015296	ENSPEMG00000014857	Peromyscus_maniculatus_bairdii
ENSMOCP00000025498	ENSMOCG00000021585	Microtus_ochrogaster
ENSNGAP00000014354	ENSNGAG00000015673	Nannospalax_galili
ENSJJAP00000003713	ENSJJAG00000007365	Jaculus_jaculus
ENSOCUP00000008506	ENSOCUG00000009875	Oryctolagus_cuniculus
ENSOPRP00000011421	ENSOPRG00000012513	Ochotona_princeps
ENSPPAP00000041840	ENSPPAG00000043519	Pan_paniscus
ENSPTRP00000061662	ENSPTRG00000009646	Pan_troglodytes
ENSP00000327487	ENSG00000182173	Homo_sapiens
ENSGGOP00000021340	ENSGGOG00000009417	Gorilla_gorilla
ENSPPYP00000009690	ENSPPYG00000008629	Pongo_abelii
ENSNLEP00000001251	ENSNLEG00000001071	Nomascus_leucogenys
ENSTGEP00000000979	ENSTGEG00000000936	Theropithecus_gelada
ENSPANP00000016131	ENSPANG00000020133	Papio_anubis
ENSMLEP00000040301	ENSMLEG00000044168	Mandrillus_leucophaeus
ENSCATP00000040572	ENSCATG00000042877	Cercocebus_atys
ENSMFAP00000046026	ENSMFAG00000000712	Macaca_fascicularis
ENSMNEP00000009508	ENSMNEG00000029199	Macaca_nemestrina
ENSMMUP00000029133	ENSMMUG00000022123	Macaca_mulatta
ENSCSAP00000001124	ENSCSAG00000004809	Chlorocebus_sabaeus
ENSRROP00000013019	ENSRROG00000030797	Rhinopithecus_roxellana
ENSRBIP00000039165	ENSRBIG00000043040	Rhinopithecus_bieti
ENSPTEP00000043742	ENSPTEG00000039778	Piliocolobus_tephrosceles
ENSCANP00000009297	ENSCANG00000028053	Colobus_angolensis_palliatus
ENSCCAP00000037522	ENSCCAG00000036624	Cebus_capucinus_imitator
ENSCJAP00000026284	ENSCJAG00000014278	Callithrix_jacchus
ENSSBOP00000002632	ENSSBOG00000013543	Saimiri_boliviensis_boliviensis
ENSANAP00000012243	ENSANAG00000024061	Aotus_nancymaae
ENSTSYP00000015076	ENSTSYG00000037439	Carlito_syrichta
ENSPSMP00000000567	ENSPSMG00000000452	Prolemur_simus
ENSMICP00000045346	ENSMICG00000044012	Microcebus_murinus
ENSPCOP00000030313	ENSPCOG00000027880	Propithecus_coquereli
ENSOGAP00000001284	ENSOGAG00000001442	Otolemur_garnettii
ENSSARP00000011462	ENSSARG00000012699	Sorex_araneus
ENSDNOP00000018971	ENSDNOG00000018452	Dasypus_novemcinctus
ENSCHOP00000010843	ENSCHOG00000012257	Choloepus_hoffmanni
ENSLAFP00000009737	ENSLAFG00000011655	Loxodonta_africana
ENSPCAP00000001959	ENSPCAG00000002093	Procavia_capensis
ENSETEP00000016123	ENSETEG00000019845	Echinops_telfairi
ENSVURP00010015273	ENSVURG00010011686	Vombatus_ursinus
ENSMEUP00000010849	ENSMEUG00000011908	Notamacropus_eugenii
ENSSHAP00000021389	ENSSHAG00000018127	Sarcophilus_harrisii
ENSMODP00000009230	ENSMODG00000007438	Monodelphis_domestica
ENSXETP00000047833	ENSXETG00000020868	Xenopus_tropicalis
ENSCHAP00000007949	ENSCHAG00000004870	Clupea_harengus
ENSDCDP00000015177	ENSDCDG00000011744	Denticeps_clupeoides
ENSAMXP00000006722	ENSAMXG00000006546	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005006048	ENSAMXG00005003610	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000034312	ENSPNAG00000003770	Pygocentrus_nattereri
ENSIPUP00000000816	ENSIPUG00000000590	Ictalurus_punctatus
ENSEEEP00000047469	ENSEEEG00000022336	Electrophorus_electricus
ENSDARP00000053481	ENSDARG00000036844	Danio_rerio
ENSXMAP00000018855	ENSXMAG00000018818	Xiphophorus_maculatus
ENSXCOP00000024441	ENSXCOG00000018245	Xiphophorus_couchianus
ENSGAFP00000007504	ENSGAFG00000005111	Gambusia_affinis
ENSPMEP00000034007	ENSPMEG00000022876	Poecilia_mexicana
ENSPLAP00000011695	ENSPLAG00000014847	Poecilia_latipinna
ENSPFOP00000027439	ENSPFOG00000022740	Poecilia_formosa
ENSPREP00000019359	ENSPREG00000013090	Poecilia_reticulata
ENSFHEP00000004564	ENSFHEG00000005470	Fundulus_heteroclitus
ENSCVAP00000005353	ENSCVAG00000006741	Cyprinodon_variegatus
ENSKMAP00000009259	ENSKMAG00000006944	Kryptolebias_marmoratus
ENSORLP00020017207	ENSORLG00020018221	Oryzias_latipes_ASM223471v1
ENSORLP00015027367	ENSORLG00015009413	Oryzias_latipes_ASM223469v1
ENSORLP00000028441	ENSORLG00000000852	Oryzias_latipes_ASM223467v1
ENSOMEP00000030253	ENSOMEG00000014402	Oryzias_melastigma
ENSPRNP00000023269	ENSPRNG00000011889	Parambassis_ranga
ENSACIP00000014007	ENSACIG00000010899	Amphilophus_citrinellus
ENSLCRP00005001377	ENSLCRG00005000679	Larimichthys_crocea
ENSLBEP00000005461	ENSLBEG00000004199	Labrus_bergylta
ENSMMOP00000026661	ENSMMOG00000020189	Mola_mola
ENSGACP00000019771	ENSGACG00000014987	Gasterosteus_aculeatus
ENSSMAP00000020352	ENSSMAG00000012449	Scophthalmus_maximus
ENSSDUP00000029819	ENSSDUG00000021506	Seriola_dumerili
ENSSLDP00000020851	ENSSLDG00000016303	Seriola_lalandi_dorsalis
ENSMALP00000029726	ENSMALG00000020573	Monopterus_albus
ENSBSLP00000009764	ENSBSLG00000004766	Betta_splendens
ENSATEP00000028766	ENSATEG00000019860	Anabas_testudineus
ENSMAMP00000029347	ENSMAMG00000019773	Mastacembelus_armatus
ENSLCAP00010028876	ENSLCAG00010013531	Lates_calcarifer
ENSCSEP00000032071	ENSCSEG00000020586	Cynoglossus_semilaevis
ENSAOCP00000020295	ENSAOCG00000000152	Amphiprion_ocellaris
ENSAPEP00000026636	ENSAPEG00000018931	Amphiprion_percula
ENSAPOP00000007638	ENSAPOG00000009659	Acanthochromis_polyacanthus
ENSSPAP00000010734	ENSSPAG00000008098	Stegastes_partitus
ENSSPAP00000010612	ENSSPAG00000008047	Stegastes_partitus
ENSACLP00000029218	ENSACLG00000019800	Astatotilapia_calliptera
ENSMZEP00005001019	ENSMZEG00005000884	Maylandia_zebra
ENSHBUP00000032142	ENSHBUG00000018296	Haplochromis_burtoni
ENSPNYP00000013544	ENSPNYG00000010217	Pundamilia_nyererei
ENSONIP00000011990	ENSONIG00000009543	Oreochromis_niloticus
ENSNBRP00000012794	ENSNBRG00000009963	Neolamprologus_brichardi
ENSCGOP00000000868	ENSCGOG00000000544	Cottoperca_gobio
ENSHCOP00000020986	ENSHCOG00000007481	Hippocampus_comes
ENSGWIP00000022006	ENSGWIG00000011834	Gouania_willdenowi
ENSPMGP00000024205	ENSPMGG00000019578	Periophthalmus_magnuspinnatus
ENSTRUP00000010020	ENSTRUG00000004230	Takifugu_rubripes
ENSTNIP00000014220	ENSTNIG00000011281	Tetraodon_nigroviridis
ENSGMOP00000014062	ENSGMOG00000013146	Gadus_morhua
ENSHHUP00000031288	ENSHHUG00000019890	Hucho_hucho
ENSHHUP00000057728	ENSHHUG00000034375	Hucho_hucho
ENSELUP00000037945	ENSELUG00000017703	Esox_lucius
ENSPKIP00000006940	ENSPKIG00000023018	Paramormyrops_kingsleyae
ENSSFOP00015006233	ENSSFOG00015004093	Scleropages_formosus
ENSLOCP00000013751	ENSLOCG00000011191	Lepisosteus_oculatus
ENSECRP00000034132	ENSECRG00000023064	Erpetoichthys_calabaricus
ENSCMIP00000003549	ENSCMIG00000002142	Callorhinchus_milii
ENSLACP00000010786	ENSLACG00000009497	Latimeria_chalumnae
ENSEBUP00000008015	ENSEBUG00000005203	Eptatretus_burgeri
ENSCINP00000034172	ENSCING00000018281	Ciona_intestinalis
YPL083C_mRNA	YPL083C	Saccharomyces_cerevisiae_strain_S288C
