ENSLCRP00005052726	ENSLCRG00005019807	Larimichthys_crocea
ENSGWIP00000047958	ENSGWIG00000023558	Gouania_willdenowi
ENSAPEP00000021654	ENSAPEG00000015421	Amphiprion_percula
ENSORLP00015027662	ENSORLG00015009856	Oryzias_latipes_ASM223469v1
ENSEEEP00000043546	ENSEEEG00000020584	Electrophorus_electricus
ENSATEP00000023543	ENSATEG00000016342	Anabas_testudineus
ENSNBRP00000012160	ENSNBRG00000009513	Neolamprologus_brichardi
ENSCSEP00000026144	ENSCSEG00000016694	Cynoglossus_semilaevis
ENSPREP00000010042	ENSPREG00000006827	Poecilia_reticulata
ENSCHAP00000048031	ENSCHAG00000022105	Clupea_harengus	ENSCHAT00000051873
ENSAPOP00000016085	ENSAPOG00000019148	Acanthochromis_polyacanthus
ENSAMXP00000045599	ENSAMXG00000037102	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000031194
ENSGAFP00000016960	ENSGAFG00000011446	Gambusia_affinis
ENSSMAP00000003692	ENSSMAG00000002304	Scophthalmus_maximus
ENSECRP00000012217	ENSECRG00000008131	Erpetoichthys_calabaricus
ENSPNYP00000009364	ENSPNYG00000007107	Pundamilia_nyererei
ENSTNIP00000012735	ENSTNIG00000009846	Tetraodon_nigroviridis
ENSACLP00000039880	ENSACLG00000026891	Astatotilapia_calliptera
ENSMZEP00005036629	ENSMZEG00005027318	Maylandia_zebra
ENSHHUP00000037849	ENSHHUG00000023670	Hucho_hucho
ENSTRUP00000024751	ENSTRUG00000009855	Takifugu_rubripes
ENSPMGP00000012317	ENSPMGG00000010162	Periophthalmus_magnuspinnatus
ENSLOCP00000006278	ENSLOCG00000005195	Lepisosteus_oculatus
ENSORLP00020022715	ENSORLG00020003152	Oryzias_latipes_ASM223471v1
ENSBSLP00000040929	ENSBSLG00000019764	Betta_splendens
ENSPNAP00000030736	ENSPNAG00000017719	Pygocentrus_nattereri
ENSLBEP00000008288	ENSLBEG00000006406	Labrus_bergylta
ENSAOCP00000011191	ENSAOCG00000015453	Amphiprion_ocellaris
ENSSDUP00000028874	ENSSDUG00000020824	Seriola_dumerili
ENSDCDP00000046287	ENSDCDG00000029027	Denticeps_clupeoides	ENSDCDT00000057672
ENSPFOP00000019656	ENSPFOG00000019531	Poecilia_formosa
ENSSLDP00000023426	ENSSLDG00000018282	Seriola_lalandi_dorsalis
ENSCSEP00000026136	ENSCSEG00000016685	Cynoglossus_semilaevis
ENSPRNP00000019163	ENSPRNG00000010015	Parambassis_ranga
ENSHBUP00000015903	ENSHBUG00000017838	Haplochromis_burtoni
ENSHCOP00000002015	ENSHCOG00000003083	Hippocampus_comes
ENSCVAP00000022905	ENSCVAG00000005882	Cyprinodon_variegatus
ENSGMOP00000018137	ENSGMOG00000016878	Gadus_morhua
ENSAMXP00005019765	ENSAMXG00005010245	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000001587	ENSORLG00000001288	Oryzias_latipes_ASM223467v1
ENSXMAP00000005019	ENSXMAG00000004948	Xiphophorus_maculatus
ENSMALP00000031560	ENSMALG00000021771	Monopterus_albus
ENSGACP00000015775	ENSGACG00000011926	Gasterosteus_aculeatus
ENSSPAP00000015414	ENSSPAG00000011608	Stegastes_partitus
ENSIPUP00000020946	ENSIPUG00000014212	Ictalurus_punctatus
ENSACIP00000017591	ENSACIG00000013685	Amphilophus_citrinellus
ENSMAMP00000033260	ENSMAMG00000022376	Mastacembelus_armatus
ENSKMAP00000021619	ENSKMAG00000016073	Kryptolebias_marmoratus
ENSCGOP00000040783	ENSCGOG00000018579	Cottoperca_gobio
ENSPMEP00000013556	ENSPMEG00000015878	Poecilia_mexicana
ENSXCOP00000018399	ENSXCOG00000013858	Xiphophorus_couchianus
ENSAMXP00000010314	ENSAMXG00000009933	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000010314
ENSELUP00000038888	ENSELUG00000018855	Esox_lucius
ENSLCAP00010002403	ENSLCAG00010001339	Lates_calcarifer
ENSHHUP00000039440	ENSHHUG00000024482	Hucho_hucho
ENSAPOP00000016061	ENSAPOG00000000535	Acanthochromis_polyacanthus
ENSONIP00000001674	ENSONIG00000001324	Oreochromis_niloticus
ENSDARP00000104309	ENSDARG00000075549	Danio_rerio
ENSFHEP00000010202	ENSFHEG00000011531	Fundulus_heteroclitus
ENSSFOP00015026093	ENSSFOG00015016780	Scleropages_formosus	ENSSFOT00015026387
ENSPKIP00000023345	ENSPKIG00000007020	Paramormyrops_kingsleyae	ENSPKIT00000004026
ENSLBEP00000002911	ENSLBEG00000002285	Labrus_bergylta
ENSOMEP00000022161	ENSOMEG00000001567	Oryzias_melastigma
ENSMMOP00000008916	ENSMMOG00000006882	Mola_mola
