ENSFCAP00000021952	ENSFCAG00000029620	Felis_catus
ENSELUP00000033579	ENSELUG00000011867	Esox_lucius
ENSHBUP00000023741	ENSHBUG00000000115	Haplochromis_burtoni
ENSP00000346927	ENSG00000243477	Homo_sapiens
ENSORLP00015011033	ENSORLG00015011829	Oryzias_latipes_ASM223469v1
ENSXCOP00000003806	ENSXCOG00000002988	Xiphophorus_couchianus
ENSFHEP00000016877	ENSFHEG00000018573	Fundulus_heteroclitus
ENSRNOP00000069333	ENSRNOG00000054063	Rattus_norvegicus
ENSACAP00000008541	ENSACAG00000008735	Anolis_carolinensis
ENSOCUP00000025503	ENSOCUG00000027673	Oryctolagus_cuniculus
ENSDORP00000021798	ENSDORG00000007856	Dipodomys_ordii
ENSMUGP00000020351	ENSMUGG00000017196	Meriones_unguiculatus
ENSEEEP00000000141	ENSEEEG00000000104	Electrophorus_electricus
ENSBIXP00005030371	ENSBIXG00005000735	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPOP00000018508	ENSCPOG00000021848	Cavia_porcellus
ENSSHAP00000022081	ENSSHAG00000018689	Sarcophilus_harrisii	ENSSHAT00000022258
ENSONIP00000002215	ENSONIG00000001769	Oreochromis_niloticus
ENSZALP00000022297	ENSZALG00000017331	Zonotrichia_albicollis
ENSMAMP00000024354	ENSMAMG00000016376	Mastacembelus_armatus
ENSNSUP00000006829	ENSNSUG00000005412	Notechis_scutatus
ENSPTIP00000001216	ENSPTIG00000003147	Panthera_tigris_altaica
ENSCVAP00000008998	ENSCVAG00000010888	Cyprinodon_variegatus
ENSPVIP00000033182	ENSPVIG00000024272	Pogona_vitticeps
ENSPKIP00000014579	ENSPKIG00000001618	Paramormyrops_kingsleyae
ENSEBUP00000009594	ENSEBUG00000006165	Eptatretus_burgeri
ENSSFOP00015029059	ENSSFOG00015018664	Scleropages_formosus
ENSCMIP00000041550	ENSCMIG00000017323	Callorhinchus_milii
ENSNGAP00000022280	ENSNGAG00000021212	Nannospalax_galili
ENSMSIP00000002300	ENSMSIG00000002183	Mus_spicilegus
ENSMGAP00000017138	ENSMGAG00000016195	Meleagris_gallopavo
ENSACIP00000022281	ENSACIG00000017331	Amphilophus_citrinellus
ENSMMUP00000039331	ENSMMUG00000020120	Macaca_mulatta
ENSNVIP00000001204	ENSNVIG00000000972	Neovison_vison
ENSGACP00000007656	ENSGACG00000005802	Gasterosteus_aculeatus
ENSSTOP00000016016	ENSSTOG00000024421	Ictidomys_tridecemlineatus
ENSPCOP00000027555	ENSPCOG00000026290	Propithecus_coquereli
ENSOPRP00000016155	ENSOPRG00000018636	Ochotona_princeps
ENSSMAP00000017604	ENSSMAG00000010789	Scophthalmus_maximus
ENSPMEP00000017990	ENSPMEG00000020876	Poecilia_mexicana
ENSSDAP00000014537	ENSSDAG00000013114	Spermophilus_dauricus
ENSRROP00000041192	ENSRROG00000043808	Rhinopithecus_roxellana
ENSCHAP00000051897	ENSCHAG00000023723	Clupea_harengus
ENSGALP00000065844	ENSGALG00000049722	Gallus_gallus
ENSMVIP00005012900	ENSMVIG00005009374	Manacus_vitellinus
ENSSMRP00000010494	ENSSMRG00000008318	Salvator_merianae
ENSMOCP00000011358	ENSMOCG00000011598	Microtus_ochrogaster
ENSDCDP00000056598	ENSDCDG00000033245	Denticeps_clupeoides
ENSUMAP00000030217	ENSUMAG00000021887	Ursus_maritimus
ENSLOCP00000022364	ENSLOCG00000018263	Lepisosteus_oculatus
ENSCATP00000031612	ENSCATG00000038927	Cercocebus_atys
ENSCCAP00000014767	ENSCCAG00000025189	Cebus_capucinus_imitator
ENSMODP00000015117	ENSMODG00000012069	Monodelphis_domestica	ENSMODT00000015398
ENSNMEP00000015103	ENSNMEG00000013412	Numida_meleagris
ENSABRP00000001853	ENSABRG00000001855	Anser_brachyrhynchus
ENSECRP00000033025	ENSECRG00000022359	Erpetoichthys_calabaricus
ENSOGAP00000017517	ENSOGAG00000029422	Otolemur_garnettii
ENSPFOP00000000925	ENSPFOG00000000985	Poecilia_formosa
ENSORLP00000031112	ENSORLG00000023105	Oryzias_latipes_ASM223467v1
ENSCSAP00000018306	ENSCSAG00000018786	Chlorocebus_sabaeus
ENSTGEP00000005424	ENSTGEG00000004505	Theropithecus_gelada
ENSCINP00000034106	ENSCING00000021543	Ciona_intestinalis
ENSORLP00015011007	ENSORLG00015011809	Oryzias_latipes_ASM223469v1
ENSBSLP00000049205	ENSBSLG00000023417	Betta_splendens
ENSANAP00000034483	ENSANAG00000034860	Aotus_nancymaae
FBpp0100038	FBgn0037747	Drosophila_melanogaster
ENSGWIP00000004762	ENSGWIG00000002533	Gouania_willdenowi
ENSMUNP00000017731	ENSMUNG00000013588	Melopsittacus_undulatus
ENSPLAP00000011476	ENSPLAG00000014589	Poecilia_latipinna
ENSNBRP00000030573	ENSNBRG00000023259	Neolamprologus_brichardi
ENSAPOP00000027314	ENSAPOG00000011737	Acanthochromis_polyacanthus
ENSPTRP00000057337	ENSPTRG00000034051	Pan_troglodytes
ENSAHAP00000002427	ENSAHAG00000001997	Apteryx_haastii
ENSCGRP00000022563	ENSCGRG00000016355	Cricetulus_griseus_CriGri_1.0
ENSPREP00000005507	ENSPREG00000003796	Poecilia_reticulata
ENSLCOP00000005700	ENSLCOG00000004229	Lepidothrix_coronata
ENSAOCP00000026160	ENSAOCG00000000928	Amphiprion_ocellaris
ENSPMJP00000016609	ENSPMJG00000012549	Parus_major
ENSMPUP00000012975	ENSMPUG00000013071	Mustela_putorius_furo
ENSBMUP00000029001	ENSBMUG00000021713	Bos_mutus
ENSMEUP00000010900	ENSMEUG00000011967	Notamacropus_eugenii	ENSMEUT00000011998
ENSPVAP00000016142	ENSPVAG00000017112	Pteropus_vampyrus
ENSCLAP00000025841	ENSCLAG00000017969	Chinchilla_lanigera
ENSUAMP00000037418	ENSUAMG00000028338	Ursus_americanus
MGP_SPRETEiJ_P0093420	MGP_SPRETEiJ_G0033797	Mus_spretus_strain_SPRET/EiJ
ENSTTRP00000006515	ENSTTRG00000006891	Tursiops_truncatus
ENSCSEP00000008982	ENSCSEG00000005758	Cynoglossus_semilaevis
ENSSDUP00000021905	ENSSDUG00000015936	Seriola_dumerili
ENSMALP00000006445	ENSMALG00000004597	Monopterus_albus
MGP_PahariEiJ_P0025376	MGP_PahariEiJ_G0015520	Mus_pahari_strain_PAHARI_EIJ
ENSEASP00005017551	ENSEASG00005012131	Equus_asinus_asinus
ENSPMGP00000005133	ENSPMGG00000004314	Periophthalmus_magnuspinnatus
ENSNLEP00000022432	ENSNLEG00000018540	Nomascus_leucogenys
ENSCANP00000008417	ENSCANG00000027578	Colobus_angolensis_palliatus
ENSFDAP00000009063	ENSFDAG00000006539	Fukomys_damarensis
ENSORLP00020017172	ENSORLG00020018203	Oryzias_latipes_ASM223471v1
ENSCGOP00000026115	ENSCGOG00000012324	Cottoperca_gobio
ENSPPAP00000008666	ENSPPAG00000027579	Pan_paniscus
ENSCGRP00001001865	ENSCGRG00001001817	Cricetulus_griseus_CHOK1GS_HDv1
ENSMZEP00005010920	ENSMZEG00005008202	Maylandia_zebra
ENSKMAP00000002945	ENSKMAG00000002257	Kryptolebias_marmoratus
ENSMFAP00000037750	ENSMFAG00000038112	Macaca_fascicularis
ENSLCAP00010059527	ENSLCAG00010027741	Lates_calcarifer
ENSCGRP00015015132	ENSCGRG00015011614	Cricetulus_griseus_CriGri-PICR
ENSLSDP00000017239	ENSLSDG00000012381	Lonchura_striata_domestica
ENSMNEP00000011566	ENSMNEG00000030123	Macaca_nemestrina
ENSBIXP00000004450	ENSBIXG00000010795	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHIP00000032454	ENSCHIG00000026422	Capra_hircus
ENSCJPP00005014694	ENSCJPG00005012239	Coturnix_japonica
ENSBTAP00000048695	ENSBTAG00000038084	Bos_taurus
ENSHHUP00000086622	ENSHHUG00000050127	Hucho_hucho
ENSMMMP00000003539	ENSMMMG00000003245	Marmota_marmota_marmota
