ENSETEP00000013615	ENSETEG00000016774	Echinops_telfairi
ENSPMJP00000014768	ENSPMJG00000011210	Parus_major
ENSPSIP00000015271	ENSPSIG00000013664	Pelodiscus_sinensis
ENSCVAP00000005680	ENSCVAG00000007087	Cyprinodon_variegatus
ENSXMAP00000032119	ENSXMAG00000028853	Xiphophorus_maculatus
ENSOANP00000032036	ENSOANG00000031800	Ornithorhynchus_anatinus
ENSTSYP00000021445	ENSTSYG00000033129	Carlito_syrichta
ENSCMIP00000030125	ENSCMIG00000012993	Callorhinchus_milii
ENSLOCP00000002210	ENSLOCG00000001912	Lepisosteus_oculatus
ENSBIXP00005019286	ENSBIXG00005022524	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHHUP00000087311	ENSHHUG00000050513	Hucho_hucho
ENSPNYP00000000434	ENSPNYG00000000333	Pundamilia_nyererei
ENSCPOP00000014679	ENSCPOG00000019871	Cavia_porcellus
ENSSDUP00000003766	ENSSDUG00000002848	Seriola_dumerili
ENSCPUP00000012403	ENSCPUG00000008784	Calidris_pugnax
ENSPMJP00000014972	ENSPMJG00000011296	Parus_major
ENSEEEP00000018496	ENSEEEG00000009084	Electrophorus_electricus
ENSPREP00000021524	ENSPREG00000014546	Poecilia_reticulata
ENSORLP00020032688	ENSORLG00020018370	Oryzias_latipes_ASM223471v1
ENSSFOP00015005686	ENSSFOG00015003722	Scleropages_formosus
ENSSHAP00000015388	ENSSHAG00000013116	Sarcophilus_harrisii
ENSCPBP00000029439	ENSCPBG00000020751	Chrysemys_picta_bellii
ENSBSLP00000019626	ENSBSLG00000010178	Betta_splendens
ENSNGAP00000011164	ENSNGAG00000013379	Nannospalax_galili
ENSAMEP00000015535	ENSAMEG00000014746	Ailuropoda_melanoleuca
ENSLSDP00000008785	ENSLSDG00000006550	Lonchura_striata_domestica
ENSHHUP00000001422	ENSHHUG00000000948	Hucho_hucho
ENSPCAP00000010689	ENSPCAG00000011497	Procavia_capensis
ENSNVIP00000014119	ENSNVIG00000011108	Neovison_vison
ENSLOCP00000018215	ENSLOCG00000014793	Lepisosteus_oculatus
ENSCJPP00005023831	ENSCJPG00005018832	Coturnix_japonica
ENSSLDP00000011189	ENSSLDG00000008907	Seriola_lalandi_dorsalis
ENSORLP00000009337	ENSORLG00000007450	Oryzias_latipes_ASM223467v1
ENSGALP00000048796	ENSGALG00000042604	Gallus_gallus
MGP_PahariEiJ_P0089721	MGP_PahariEiJ_G0031770	Mus_pahari_strain_PAHARI_EIJ
ENSSFOP00015027952	ENSSFOG00015017935	Scleropages_formosus
ENSSARP00000007145	ENSSARG00000007895	Sorex_araneus
ENSJHYP00000019508	ENSJHYG00000014821	Junco_hyemalis
ENSONIP00000018090	ENSONIG00000014386	Oreochromis_niloticus
MGP_SPRETEiJ_P0095864	MGP_SPRETEiJ_G0034395	Mus_spretus_strain_SPRET/EiJ
ENSGGOP00000025491	ENSGGOG00000023361	Gorilla_gorilla
ENSMPUP00000000088	ENSMPUG00000000092	Mustela_putorius_furo
ENSCSEP00000017464	ENSCSEG00000011180	Cynoglossus_semilaevis
ENSGAGP00000009587	ENSGAGG00000007571	Gopherus_agassizii	ENSGAGT00000011017
ENSMFAP00000010095	ENSMFAG00000005540	Macaca_fascicularis
ENSSFOP00015020071	ENSSFOG00015012891	Scleropages_formosus
ENSLCRP00005035702	ENSLCRG00005013939	Larimichthys_crocea
ENSPFOP00000003604	ENSPFOG00000003719	Poecilia_formosa
ENSCPGP00000008591	ENSCPGG00000006106	Calidris_pygmaea
ENSMMOP00000004680	ENSMMOG00000003742	Mola_mola
ENSACIP00000002574	ENSACIG00000002045	Amphilophus_citrinellus
MGP_CAROLIEiJ_P0092095	MGP_CAROLIEiJ_G0033228	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000075250	ENSRNOG00000053562	Rattus_norvegicus
