ENSLSDP00000009744	ENSLSDG00000007205	Lonchura_striata_domestica
ENSTGUP00000002268	ENSTGUG00000002194	Taeniopygia_guttata
ENSSCAP00000002314	ENSSCAG00000002027	Serinus_canaria
ENSJHYP00000001578	ENSJHYG00000001379	Junco_hyemalis
ENSZALP00000018081	ENSZALG00000014531	Zonotrichia_albicollis
ENSFALP00000013719	ENSFALG00000013139	Ficedula_albicollis
ENSPMJP00000025041	ENSPMJG00000018363	Parus_major
ENSCCEP00000002753	ENSCCEG00000003068	Cyanistes_caeruleus
ENSLCOP00000008231	ENSLCOG00000006030	Lepidothrix_coronata
ENSMVIP00005000491	ENSMVIG00005000399	Manacus_vitellinus
ENSMUNP00000012256	ENSMUNG00000009603	Melopsittacus_undulatus
ENSCPGP00000012607	ENSCPGG00000008955	Calidris_pygmaea
ENSCPUP00000002434	ENSCPUG00000001856	Calidris_pugnax
ENSAPLP00000015639	ENSAPLG00000015771	Anas_platyrhynchos_platyrhynchos
ENSABRP00000013188	ENSABRG00000011756	Anser_brachyrhynchus
ENSGALP00000020879	ENSGALG00000012816	Gallus_gallus
ENSCJPP00005020956	ENSCJPG00005016793	Coturnix_japonica
ENSMGAP00000003930	ENSMGAG00000004155	Meleagris_gallopavo
ENSNMEP00000001855	ENSNMEG00000002384	Numida_meleagris
ENSAOWP00000017643	ENSAOWG00000012057	Apteryx_owenii	ENSAOWT00000020016
ENSAHAP00000005052	ENSAHAG00000003936	Apteryx_haastii	ENSAHAT00000005678
ENSARWP00000001520	ENSARWG00000001227	Apteryx_rowi	ENSARWT00000001794
ENSDNVP00000025605	ENSDNVG00000017796	Dromaius_novaehollandiae	ENSDNVT00000030968
ENSNPEP00000012863	ENSNPEG00000009612	Nothoprocta_perdicaria
ENSCPRP00005000851	ENSCPRG00005000653	Crocodylus_porosus
ENSCABP00000028003	ENSCABG00000020576	Chelonoidis_abingdonii
ENSGAGP00000007863	ENSGAGG00000006262	Gopherus_agassizii
ENSCPBP00000011963	ENSCPBG00000009061	Chrysemys_picta_bellii
ENSPSIP00000010021	ENSPSIG00000009072	Pelodiscus_sinensis
ENSPVIP00000030578	ENSPVIG00000022490	Pogona_vitticeps
ENSACAP00000017392	ENSACAG00000017662	Anolis_carolinensis
ENSACAP00000018195	ENSACAG00000010820	Anolis_carolinensis
ENSNSUP00000006988	ENSNSUG00000005534	Notechis_scutatus
ENSSMRP00000010379	ENSSMRG00000008240	Salvator_merianae
ENSSPUP00000022606	ENSSPUG00000017354	Sphenodon_punctatus
ENSPCIP00000001086	ENSPCIG00000000903	Phascolarctos_cinereus
ENSVURP00010005933	ENSVURG00010004586	Vombatus_ursinus
ENSMEUP00000004297	ENSMEUG00000004705	Notamacropus_eugenii
ENSSHAP00000015918	ENSSHAG00000013562	Sarcophilus_harrisii
ENSMODP00000010916	ENSMODG00000008782	Monodelphis_domestica
ENSUAMP00000015861	ENSUAMG00000012637	Ursus_americanus
ENSUMAP00000025685	ENSUMAG00000018716	Ursus_maritimus
ENSAMEP00000015230	ENSAMEG00000014434	Ailuropoda_melanoleuca
ENSNVIP00000014896	ENSNVIG00000011656	Neovison_vison
ENSMPUP00000000460	ENSMPUG00000000466	Mustela_putorius_furo
ENSCAFP00000013768	ENSCAFG00000009344	Canis_lupus_familiaris
ENSCAFP00020000321	ENSCAFG00020000148	Canis_lupus_dingo
ENSVVUP00000025944	ENSVVUG00000019044	Vulpes_vulpes
ENSPTIP00000017385	ENSPTIG00000015797	Panthera_tigris_altaica
ENSPPRP00000004673	ENSPPRG00000000705	Panthera_pardus
ENSFCAP00000040582	ENSFCAG00000025838	Felis_catus
ENSPVAP00000013531	ENSPVAG00000014355	Pteropus_vampyrus
ENSMLUP00000021503	ENSMLUG00000006824	Myotis_lucifugus
ENSEASP00005017566	ENSEASG00005012146	Equus_asinus_asinus
ENSECAP00000011616	ENSECAG00000013821	Equus_caballus
ENSEEUP00000009088	ENSEEUG00000009982	Erinaceus_europaeus
ENSCLAP00000003986	ENSCLAG00000002845	Chinchilla_lanigera
ENSODEP00000009592	ENSODEG00000007173	Octodon_degus
ENSCPOP00000009401	ENSCPOG00000010470	Cavia_porcellus
ENSCAPP00000001734	ENSCAPG00000003591	Cavia_aperea
ENSHGLP00100002468	ENSHGLG00100001917	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009798	ENSHGLG00000007033	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019348	ENSFDAG00000009203	Fukomys_damarensis
ENSOPRP00000008006	ENSOPRG00000008748	Ochotona_princeps
ENSTBEP00000006622	ENSTBEG00000007665	Tupaia_belangeri
ENSPCOP00000011307	ENSPCOG00000017173	Propithecus_coquereli
ENSPCOP00000002609	ENSPCOG00000007966	Propithecus_coquereli
ENSMICP00000009716	ENSMICG00000010664	Microcebus_murinus
ENSPSMP00000030447	ENSPSMG00000021123	Prolemur_simus
ENSRBIP00000018946	ENSRBIG00000033453	Rhinopithecus_bieti
ENSRROP00000041182	ENSRROG00000043800	Rhinopithecus_roxellana
ENSCANP00000038831	ENSCANG00000043094	Colobus_angolensis_palliatus
ENSPTEP00000013155	ENSPTEG00000014769	Piliocolobus_tephrosceles
ENSTGEP00000017211	ENSTGEG00000013907	Theropithecus_gelada
ENSPANP00000013528	ENSPANG00000023485	Papio_anubis
ENSCATP00000007484	ENSCATG00000022177	Cercocebus_atys
ENSMLEP00000010771	ENSMLEG00000029569	Mandrillus_leucophaeus
ENSCSAP00000003527	ENSCSAG00000007261	Chlorocebus_sabaeus
ENSMFAP00000006767	ENSMFAG00000034156	Macaca_fascicularis
ENSMNEP00000024703	ENSMNEG00000035865	Macaca_nemestrina
ENSPPAP00000020171	ENSPPAG00000033292	Pan_paniscus
ENSPTRP00000030186	ENSPTRG00000017678	Pan_troglodytes
ENSP00000385028	ENSG00000137266	Homo_sapiens
ENSGGOP00000012302	ENSGGOG00000012609	Gorilla_gorilla
ENSPPYP00000018101	ENSPPYG00000016182	Pongo_abelii
ENSNLEP00000036023	ENSNLEG00000011273	Nomascus_leucogenys
ENSCCAP00000004000	ENSCCAG00000019171	Cebus_capucinus_imitator
ENSCJAP00000045257	ENSCJAG00000017606	Callithrix_jacchus
ENSSBOP00000019958	ENSSBOG00000026574	Saimiri_boliviensis_boliviensis
ENSANAP00000011569	ENSANAG00000023717	Aotus_nancymaae
ENSTSYP00000028177	ENSTSYG00000000070	Carlito_syrichta
ENSOGAP00000002848	ENSOGAG00000003183	Otolemur_garnettii
ENSMMUP00000042971	ENSMMUG00000001371	Macaca_mulatta
ENSOCUP00000036779	ENSOCUG00000010469	Oryctolagus_cuniculus
ENSCCNP00000026305	ENSCCNG00000025533	Castor_canadensis
ENSDORP00000009601	ENSDORG00000010217	Dipodomys_ordii
ENSSTOP00000031738	ENSSTOG00000031179	Ictidomys_tridecemlineatus
ENSUPAP00010013110	ENSUPAG00010010597	Urocitellus_parryii
ENSSDAP00000022824	ENSSDAG00000020740	Spermophilus_dauricus
ENSMMMP00000015994	ENSMMMG00000014224	Marmota_marmota_marmota
ENSCGRP00015003366	ENSCGRG00015002663	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008551	ENSCGRG00001010789	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000019069	ENSMAUG00000017453	Mesocricetus_auratus
ENSPEMP00000023914	ENSPEMG00000020810	Peromyscus_maniculatus_bairdii
ENSMOCP00000009402	ENSMOCG00000009539	Microtus_ochrogaster
ENSMSIP00000003375	ENSMSIG00000003104	Mus_spicilegus
ENSMUSP00000042742	ENSMUSG00000038267	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0035682	MGP_SPRETEiJ_G0019296	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0034081	MGP_CAROLIEiJ_G0018420	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040690	MGP_PahariEiJ_G0019488	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023149	ENSRNOG00000017210	Rattus_norvegicus
ENSMUGP00000028215	ENSMUGG00000023399	Meriones_unguiculatus
ENSNGAP00000022249	ENSNGAG00000021185	Nannospalax_galili
ENSJJAP00000003057	ENSJJAG00000005711	Jaculus_jaculus
ENSLAFP00000010198	ENSLAFG00000012205	Loxodonta_africana
ENSETEP00000002475	ENSETEG00000003018	Echinops_telfairi
ENSPCAP00000007481	ENSPCAG00000008005	Procavia_capensis
ENSDNOP00000021069	ENSDNOG00000030775	Dasypus_novemcinctus
ENSCHIP00000010575	ENSCHIG00000013035	Capra_hircus
ENSOARP00000000887	ENSOARG00000000859	Ovis_aries
ENSBIXP00005042149	ENSBIXG00005004357	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000002019	ENSBIXG00000008571	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000066510	ENSBTAG00000010943	Bos_taurus
ENSBMUP00000012989	ENSBMUG00000009912	Bos_mutus
