ENSGMOP00000008096	ENSGMOG00000007553	Gadus_morhua
ENSDARP00000045615	ENSDARG00000016667	Danio_rerio
ENSCJAP00000055656	ENSCJAG00000004265	Callithrix_jacchus
ENSHCOP00000020641	ENSHCOG00000006927	Hippocampus_comes
ENSDCDP00000045525	ENSDCDG00000028685	Denticeps_clupeoides
ENSORLP00000020059	ENSORLG00000016024	Oryzias_latipes_ASM223467v1
ENSCPUP00000014643	ENSCPUG00000008937	Calidris_pugnax
ENSPMAP00000002278	ENSPMAG00000002086	Petromyzon_marinus
ENSOGAP00000000067	ENSOGAG00000000076	Otolemur_garnettii
ENSCGRP00001021658	ENSCGRG00001020413	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026829	ENSCGRG00015020233	Cricetulus_griseus_CriGri-PICR
ENSMZEP00005023215	ENSMZEG00005017378	Maylandia_zebra
ENSPRNP00000046155	ENSPRNG00000020704	Parambassis_ranga
ENSMLUP00000000886	ENSMLUG00000000964	Myotis_lucifugus
ENSTRUP00000013506	ENSTRUG00000005601	Takifugu_rubripes
ENSGAFP00000021306	ENSGAFG00000014363	Gambusia_affinis
ENSCCAP00000033316	ENSCCAG00000034539	Cebus_capucinus_imitator
ENSXMAP00000013378	ENSXMAG00000013315	Xiphophorus_maculatus
ENSOANP00000013089	ENSOANG00000008238	Ornithorhynchus_anatinus
ENSLCAP00010019902	ENSLCAG00010008757	Lates_calcarifer
ENSAOCP00000016484	ENSAOCG00000021480	Amphiprion_ocellaris
ENSJJAP00000005879	ENSJJAG00000010670	Jaculus_jaculus
ENSANAP00000020988	ENSANAG00000028034	Aotus_nancymaae
ENSOMEP00000018002	ENSOMEG00000019713	Oryzias_melastigma
ENSOARP00000018096	ENSOARG00000016848	Ovis_aries
ENSNSUP00000020274	ENSNSUG00000014731	Notechis_scutatus
Y41G9A.4b.1	WBGene00021528	Caenorhabditis_elegans_strain_N2
ENSLAFP00000014637	ENSLAFG00000017450	Loxodonta_africana
ENSGACP00000000605	ENSGACG00000000455	Gasterosteus_aculeatus
ENSCCEP00000009230	ENSCCEG00000009400	Cyanistes_caeruleus
ENSBMUP00000003555	ENSBMUG00000002802	Bos_mutus
ENSVVUP00000002272	ENSVVUG00000001839	Vulpes_vulpes
ENSDNOP00000023295	ENSDNOG00000037035	Dasypus_novemcinctus
ENSSBOP00000010968	ENSSBOG00000022261	Saimiri_boliviensis_boliviensis
ENSAOCP00000032041	ENSAOCG00000024113	Amphiprion_ocellaris
ENSDCDP00000044500	ENSDCDG00000026708	Denticeps_clupeoides
ENSPRNP00000005711	ENSPRNG00000003399	Parambassis_ranga
ENSELUP00000038249	ENSELUG00000018109	Esox_lucius
ENSDARP00000004577	ENSDARG00000018967	Danio_rerio
ENSTNIP00000014599	ENSTNIG00000011647	Tetraodon_nigroviridis
ENSCLAP00000009046	ENSCLAG00000006316	Chinchilla_lanigera
ENSEEEP00000041567	ENSEEEG00000019641	Electrophorus_electricus
ENSPNYP00000024757	ENSPNYG00000018663	Pundamilia_nyererei
ENSCATP00000008314	ENSCATG00000024889	Cercocebus_atys
ENSABRP00000023243	ENSABRG00000019603	Anser_brachyrhynchus
ENSUMAP00000026308	ENSUMAG00000019084	Ursus_maritimus
MGP_PahariEiJ_P0044266	MGP_PahariEiJ_G0020564	Mus_pahari_strain_PAHARI_EIJ
ENSFDAP00000000262	ENSFDAG00000010576	Fukomys_damarensis
ENSRBIP00000032433	ENSRBIG00000040017	Rhinopithecus_bieti
ENSSFOP00015031142	ENSSFOG00015019934	Scleropages_formosus
ENSLCAP00010003334	ENSLCAG00010001724	Lates_calcarifer
ENSMMMP00000026148	ENSMMMG00000022887	Marmota_marmota_marmota
ENSHCOP00000026787	ENSHCOG00000018084	Hippocampus_comes
ENSOPRP00000010733	ENSOPRG00000011761	Ochotona_princeps
ENSMZEP00005024027	ENSMZEG00005017980	Maylandia_zebra
ENSCHOP00000006273	ENSCHOG00000007072	Choloepus_hoffmanni
ENSSLDP00000020427	ENSSLDG00000015967	Seriola_lalandi_dorsalis
ENSSFOP00015024786	ENSSFOG00015015917	Scleropages_formosus
ENSPFOP00000002290	ENSPFOG00000001810	Poecilia_formosa
ENSARWP00000012919	ENSARWG00000008947	Apteryx_rowi
ENSHBUP00000006840	ENSHBUG00000008303	Haplochromis_burtoni
ENSLCOP00000003953	ENSLCOG00000002990	Lepidothrix_coronata
ENSIPUP00000023628	ENSIPUG00000015929	Ictalurus_punctatus
ENSHGLP00100000935	ENSHGLG00100000758	Heterocephalus_glaber_HetGla_1.0
ENSPMGP00000000356	ENSPMGG00000000341	Periophthalmus_magnuspinnatus
ENSCSAVP00000016571	ENSCSAVG00000009747	Ciona_savignyi
ENSUPAP00010019069	ENSUPAG00010015010	Urocitellus_parryii
ENSAMXP00000005258	ENSAMXG00000005133	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000005258
ENSMUGP00000014495	ENSMUGG00000012469	Meriones_unguiculatus
ENSHHUP00000019132	ENSHHUG00000011821	Hucho_hucho
ENSGGOP00000024094	ENSGGOG00000004472	Gorilla_gorilla
ENSSTOP00000002222	ENSSTOG00000002478	Ictidomys_tridecemlineatus
ENSNBRP00000007064	ENSNBRG00000005506	Neolamprologus_brichardi
ENSPPRP00000012542	ENSPPRG00000006525	Panthera_pardus
ENSBSLP00000035928	ENSBSLG00000016851	Betta_splendens
ENSNVIP00000014207	ENSNVIG00000011124	Neovison_vison
ENSTBEP00000004151	ENSTBEG00000004813	Tupaia_belangeri
ENSONIP00000014612	ENSONIG00000011603	Oreochromis_niloticus
ENSACIP00000028862	ENSACIG00000022331	Amphilophus_citrinellus
ENSCVAP00000031080	ENSCVAG00000020098	Cyprinodon_variegatus
ENSCSEP00000029322	ENSCSEG00000018776	Cynoglossus_semilaevis
ENSCMIP00000004872	ENSCMIG00000002894	Callorhinchus_milii
ENSAPOP00000025506	ENSAPOG00000008685	Acanthochromis_polyacanthus
ENSPTIP00000008786	ENSPTIG00000010054	Panthera_tigris_altaica
ENSCSEP00000029328	ENSCSEG00000018786	Cynoglossus_semilaevis
ENSHHUP00000051675	ENSHHUG00000031080	Hucho_hucho
ENSCSEP00000019115	ENSCSEG00000012228	Cynoglossus_semilaevis
ENSTNIP00000022747	ENSTNIG00000019522	Tetraodon_nigroviridis
ENSSPUP00000019287	ENSSPUG00000014625	Sphenodon_punctatus
ENSPREP00000005076	ENSPREG00000003518	Poecilia_reticulata
ENSCAFP00000017937	ENSCAFG00000012152	Canis_lupus_familiaris
ENSHBUP00000008302	ENSHBUG00000009828	Haplochromis_burtoni
ENSOCUP00000048344	ENSOCUG00000015575	Oryctolagus_cuniculus
ENSORLP00020017097	ENSORLG00020018151	Oryzias_latipes_ASM223471v1
ENSLSDP00000003817	ENSLSDG00000002959	Lonchura_striata_domestica
ENSCGRP00000021507	ENSCGRG00000015613	Cricetulus_griseus_CriGri_1.0
ENSCHAP00000040962	ENSCHAG00000017687	Clupea_harengus
ENSSLDP00000015956	ENSSLDG00000012634	Seriola_lalandi_dorsalis
ENSMEUP00000004797	ENSMEUG00000005244	Notamacropus_eugenii
ENSGALP00000070753	ENSGALG00000048814	Gallus_gallus
ENSVURP00010000724	ENSVURG00010000511	Vombatus_ursinus
ENSMFAP00000001674	ENSMFAG00000040724	Macaca_fascicularis
ENSSMAP00000027171	ENSSMAG00000016587	Scophthalmus_maximus
ENSNBRP00000026494	ENSNBRG00000020109	Neolamprologus_brichardi
ENSSMRP00000021550	ENSSMRG00000016560	Salvator_merianae
ENSPVAP00000007863	ENSPVAG00000008325	Pteropus_vampyrus
ENSECAP00000049330	ENSECAG00000009175	Equus_caballus
ENSBTAP00000022907	ENSBTAG00000017239	Bos_taurus
FBpp0293274	FBgn0260446	Drosophila_melanogaster
ENSMICP00000024206	ENSMICG00000001917	Microcebus_murinus
ENSLCRP00005006801	ENSLCRG00005003185	Larimichthys_crocea
ENSMMUP00000034244	ENSMMUG00000021483	Macaca_mulatta
ENSPTRP00000076272	ENSPTRG00000049937	Pan_troglodytes
