ENSCCNP00000016895	ENSCCNG00000017186	Castor_canadensis	ENSCCNT00000021988
ENSDORP00000011643	ENSDORG00000012384	Dipodomys_ordii	ENSDORT00000012384
MGP_SPRETEiJ_P0039808	MGP_SPRETEiJ_G0020620	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0039808
ENSMSIP00000019409	ENSMSIG00000016520	Mus_spicilegus	ENSMSIT00000024534
ENSMUSP00000058182	ENSMUSG00000044726	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000060894
MGP_CAROLIEiJ_P0038026	MGP_CAROLIEiJ_G0019724	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0038026
MGP_PahariEiJ_P0041412	MGP_PahariEiJ_G0019733	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0041412
ENSRNOP00000007816	ENSRNOG00000005956	Rattus_norvegicus	ENSRNOT00000007816
ENSMUGP00000031595	ENSMUGG00000026292	Meriones_unguiculatus	ENSMUGT00000036191
ENSPEMP00000025576	ENSPEMG00000021961	Peromyscus_maniculatus_bairdii
ENSCGRP00015036835	ENSCGRG00015027637	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000017215	ENSMOCG00000015882	Microtus_ochrogaster
ENSNGAP00000011788	ENSNGAG00000013838	Nannospalax_galili
ENSHGLP00000007113	ENSHGLG00000005192	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021422	ENSHGLG00100015769	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000009782	ENSCLAG00000006781	Chinchilla_lanigera
ENSUPAP00010016582	ENSUPAG00010013227	Urocitellus_parryii
ENSSDAP00000009618	ENSSDAG00000008754	Spermophilus_dauricus
ENSSTOP00000010275	ENSSTOG00000011450	Ictidomys_tridecemlineatus
ENSOPRP00000006999	ENSOPRG00000007651	Ochotona_princeps
ENSMICP00000043377	ENSMICG00000043438	Microcebus_murinus
ENSOGAP00000001303	ENSOGAG00000001464	Otolemur_garnettii
ENSP00000315614	ENSG00000177459	Homo_sapiens
ENSGGOP00000001167	ENSGGOG00000001184	Gorilla_gorilla
ENSPPAP00000043110	ENSPPAG00000044093	Pan_paniscus
ENSPTRP00000034972	ENSPTRG00000020456	Pan_troglodytes
ENSPPYP00000021059	ENSPPYG00000018775	Pongo_abelii
ENSNLEP00000002995	ENSNLEG00000002460	Nomascus_leucogenys
ENSTGEP00000001705	ENSTGEG00000001571	Theropithecus_gelada
ENSPANP00000007025	ENSPANG00000006288	Papio_anubis
ENSCATP00000016651	ENSCATG00000032257	Cercocebus_atys
ENSMLEP00000035666	ENSMLEG00000041974	Mandrillus_leucophaeus
ENSMFAP00000005702	ENSMFAG00000002519	Macaca_fascicularis
ENSMNEP00000025448	ENSMNEG00000036206	Macaca_nemestrina
ENSCSAP00000008530	ENSCSAG00000012345	Chlorocebus_sabaeus
ENSPTEP00000000408	ENSPTEG00000000492	Piliocolobus_tephrosceles
ENSPTEP00000003689	ENSPTEG00000004362	Piliocolobus_tephrosceles
ENSCANP00000032938	ENSCANG00000040146	Colobus_angolensis_palliatus
ENSCCAP00000022020	ENSCCAG00000028817	Cebus_capucinus_imitator
ENSANAP00000040690	ENSANAG00000037689	Aotus_nancymaae
ENSCJAP00000028642	ENSCJAG00000015555	Callithrix_jacchus
ENSSBOP00000026707	ENSSBOG00000029799	Saimiri_boliviensis_boliviensis
ENSTBEP00000012119	ENSTBEG00000013991	Tupaia_belangeri
ENSMLUP00000009278	ENSMLUG00000010193	Myotis_lucifugus
ENSMLUP00000018339	ENSMLUG00000027043	Myotis_lucifugus
ENSPVAP00000013632	ENSPVAG00000014462	Pteropus_vampyrus
ENSUAMP00000021981	ENSUAMG00000017305	Ursus_americanus
ENSUMAP00000023223	ENSUMAG00000016948	Ursus_maritimus
ENSAMEP00000000624	ENSAMEG00000000603	Ailuropoda_melanoleuca
ENSMPUP00000015145	ENSMPUG00000015254	Mustela_putorius_furo
ENSCAFP00020034485	ENSCAFG00020026757	Canis_lupus_dingo
ENSVVUP00000014971	ENSVVUG00000010985	Vulpes_vulpes
ENSPTIP00000017998	ENSPTIG00000016261	Panthera_tigris_altaica
ENSEASP00005004222	ENSEASG00005003199	Equus_asinus_asinus
ENSTTRP00000015218	ENSTTRG00000016059	Tursiops_truncatus
ENSVPAP00000007697	ENSVPAG00000008274	Vicugna_pacos
ENSBIXP00000015079	ENSBIXG00000019652	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005414	ENSBIXG00005011096	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000024611	ENSBTAG00000018493	Bos_taurus
ENSCHIP00000023919	ENSCHIG00000021324	Capra_hircus
ENSOARP00000003773	ENSOARG00000003535	Ovis_aries
ENSLAFP00000017180	ENSLAFG00000021626	Loxodonta_africana
ENSPCAP00000003568	ENSPCAG00000003836	Procavia_capensis
ENSETEP00000006358	ENSETEG00000007833	Echinops_telfairi
ENSDNOP00000020481	ENSDNOG00000003618	Dasypus_novemcinctus
ENSCHOP00000010336	ENSCHOG00000011699	Choloepus_hoffmanni
ENSMEUP00000001746	ENSMEUG00000001910	Notamacropus_eugenii
ENSSHAP00000002812	ENSSHAG00000002489	Sarcophilus_harrisii
ENSMODP00000008401	ENSMODG00000006778	Monodelphis_domestica
