ENSLCOP00000013413	ENSLCOG00000009677	Lepidothrix_coronata
ENSFALP00000000561	ENSFALG00000000543	Ficedula_albicollis
ENSCPRP00005023352	ENSCPRG00005015886	Crocodylus_porosus
ENSORLP00015014057	ENSORLG00015015042	Oryzias_latipes_ASM223469v1
ENSODEP00000018266	ENSODEG00000013457	Octodon_degus
ENSMICP00000029831	ENSMICG00000016633	Microcebus_murinus
ENSXETP00000045714	ENSXETG00000019135	Xenopus_tropicalis
ENSP00000361949	ENSG00000090621	Homo_sapiens
ENSFDAP00000000276	ENSFDAG00000010581	Fukomys_damarensis
ENSMFAP00000041571	ENSMFAG00000041481	Macaca_fascicularis
ENSMUSP00000079070	ENSMUSG00000011257	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000000463	ENSBMUG00000000427	Bos_mutus
ENSCJAP00000061241	ENSCJAG00000045953	Callithrix_jacchus
ENSPSIP00000019009	ENSPSIG00000016892	Pelodiscus_sinensis
ENSBIXP00000041068	ENSBIXG00000025251	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMAUP00000022301	ENSMAUG00000019763	Mesocricetus_auratus	ENSMAUT00000026299
ENSSSCP00000058510	ENSSSCG00000003660	Sus_scrofa_strain_reference
ENSTTRP00000013598	ENSTTRG00000014340	Tursiops_truncatus
ENSJJAP00000003962	ENSJJAG00000007781	Jaculus_jaculus	ENSJJAT00000009081
ENSGAFP00000028753	ENSGAFG00000018195	Gambusia_affinis
ENSNPEP00000012581	ENSNPEG00000009401	Nothoprocta_perdicaria
ENSMPUP00000014307	ENSMPUG00000014414	Mustela_putorius_furo
ENSGMOP00000020460	ENSGMOG00000019025	Gadus_morhua
ENSCAPP00000016021	ENSCAPG00000015984	Cavia_aperea
ENSPTRP00000039458	ENSPTRG00000000573	Pan_troglodytes
ENSCGRP00001018448	ENSCGRG00001018166	Cricetulus_griseus_CHOK1GS_HDv1
ENSCATP00000039032	ENSCATG00000042164	Cercocebus_atys
ENSHHUP00000065424	ENSHHUG00000038089	Hucho_hucho
ENSFDAP00000012693	ENSFDAG00000020016	Fukomys_damarensis
ENSHHUP00000043325	ENSHHUG00000025123	Hucho_hucho
ENSNBRP00000012441	ENSNBRG00000009708	Neolamprologus_brichardi
ENSGAGP00000002311	ENSGAGG00000001888	Gopherus_agassizii
ENSTRUP00000014386	ENSTRUG00000005907	Takifugu_rubripes
ENSMSIP00000037492	ENSMSIG00000031244	Mus_spicilegus
ENSMICP00000028562	ENSMICG00000036729	Microcebus_murinus
ENSARWP00000017408	ENSARWG00000011187	Apteryx_rowi
ENSABRP00000014801	ENSABRG00000013035	Anser_brachyrhynchus
ENSCANP00000021956	ENSCANG00000034177	Colobus_angolensis_palliatus
ENSETEP00000007449	ENSETEG00000009172	Echinops_telfairi
ENSMAUP00000001746	ENSMAUG00000001295	Mesocricetus_auratus
ENSSFOP00015036955	ENSSFOG00015023514	Scleropages_formosus
ENSPRNP00000035810	ENSPRNG00000017648	Parambassis_ranga
ENSUPAP00010020919	ENSUPAG00010016593	Urocitellus_parryii
ENSSDAP00000003632	ENSSDAG00000003298	Spermophilus_dauricus
ENSVVUP00000006765	ENSVVUG00000005215	Vulpes_vulpes
ENSSDAP00000003652	ENSSDAG00000003459	Spermophilus_dauricus
ENSMUNP00000002487	ENSMUNG00000002200	Melopsittacus_undulatus
ENSDNVP00000012462	ENSDNVG00000008800	Dromaius_novaehollandiae
ENSJHYP00000018280	ENSJHYG00000013931	Junco_hyemalis
ENSLACP00000013524	ENSLACG00000011907	Latimeria_chalumnae
ENSAPEP00000027054	ENSAPEG00000019196	Amphiprion_percula
ENSCGOP00000034289	ENSCGOG00000012887	Cottoperca_gobio
ENSNBRP00000012413	ENSNBRG00000009692	Neolamprologus_brichardi
ENSLAFP00000000120	ENSLAFG00000000151	Loxodonta_africana
ENSMPUP00000006782	ENSMPUG00000006836	Mustela_putorius_furo
ENSPCOP00000023193	ENSPCOG00000023725	Propithecus_coquereli
ENSCSEP00000000142	ENSCSEG00000000130	Cynoglossus_semilaevis
ENSHHUP00000051788	ENSHHUG00000031159	Hucho_hucho
ENSAMXP00005042514	ENSAMXG00005019684	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMLUP00000010997	ENSMLUG00000012068	Myotis_lucifugus
ENSPPAP00000042079	ENSPPAG00000043625	Pan_paniscus
ENSACIP00000030167	ENSACIG00000023343	Amphilophus_citrinellus
ENSMMOP00000002940	ENSMMOG00000002363	Mola_mola
ENSTNIP00000020020	ENSTNIG00000016902	Tetraodon_nigroviridis
ENSRNOP00000053432	ENSRNOG00000015642	Rattus_norvegicus
ENSPMJP00000001026	ENSPMJG00000000829	Parus_major
ENSRBIP00000032056	ENSRBIG00000039761	Rhinopithecus_bieti
ENSAMXP00000019330	ENSAMXG00000018779	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCCEP00000018393	ENSCCEG00000016866	Cyanistes_caeruleus
ENSTGUP00000001312	ENSTGUG00000001266	Taeniopygia_guttata
ENSEEUP00000002730	ENSEEUG00000002962	Erinaceus_europaeus	ENSEEUT00000002975
ENSPVAP00000002066	ENSPVAG00000002187	Pteropus_vampyrus
ENSEASP00005020505	ENSEASG00005014119	Equus_asinus_asinus
ENSCLAP00000017327	ENSCLAG00000011899	Chinchilla_lanigera
ENSCHIP00000027523	ENSCHIG00000023385	Capra_hircus
ENSGALP00000071213	ENSGALG00000003800	Gallus_gallus
ENSLCRP00005041485	ENSLCRG00005013721	Larimichthys_crocea
ENSBMUP00000016760	ENSBMUG00000012709	Bos_mutus
ENSMAMP00000014845	ENSMAMG00000010025	Mastacembelus_armatus
ENSMALP00000015697	ENSMALG00000011017	Monopterus_albus
ENSPPYP00000001741	ENSPPYG00000001506	Pongo_abelii
ENSFCAP00000057751	ENSFCAG00000015254	Felis_catus
ENSSLDP00000016445	ENSSLDG00000013025	Seriola_lalandi_dorsalis
