ENSCPUP00000016047	ENSCPUG00000011130	Calidris_pugnax
ENSZALP00000016419	ENSZALG00000013337	Zonotrichia_albicollis
ENSMICP00000012388	ENSMICG00000013579	Microcebus_murinus
MGP_SPRETEiJ_P0037928	MGP_SPRETEiJ_G0020001	Mus_spretus_strain_SPRET/EiJ
ENSMALP00000021911	ENSMALG00000015311	Monopterus_albus
ENSRNOP00000075561	ENSRNOG00000051688	Rattus_norvegicus
ENSSHAP00000009843	ENSSHAG00000008523	Sarcophilus_harrisii
ENSGWIP00000005440	ENSGWIG00000002965	Gouania_willdenowi
ENSDARP00000153915	ENSDARG00000079926	Danio_rerio
ENSMAMP00000004405	ENSMAMG00000002990	Mastacembelus_armatus
ENSOARP00000000907	ENSOARG00000000877	Ovis_aries
ENSMVIP00005022240	ENSMVIG00005015620	Manacus_vitellinus	ENSMVIT00005025039
ENSPREP00000013308	ENSPREG00000009039	Poecilia_reticulata
ENSLCRP00005058136	ENSLCRG00005021586	Larimichthys_crocea
ENSECAP00000019489	ENSECAG00000022004	Equus_caballus
ENSUMAP00000021113	ENSUMAG00000015426	Ursus_maritimus
ENSPCIP00000038634	ENSPCIG00000028408	Phascolarctos_cinereus
ENSSPUP00000008018	ENSSPUG00000006203	Sphenodon_punctatus	ENSSPUT00000008544
ENSAMXP00000017016	ENSAMXG00000016526	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFHEP00000008301	ENSFHEG00000009506	Fundulus_heteroclitus
ENSTNIP00000009525	ENSTNIG00000006741	Tetraodon_nigroviridis
ENSPPRP00000012525	ENSPPRG00000006053	Panthera_pardus
ENSSCAP00000004126	ENSSCAG00000003398	Serinus_canaria	ENSSCAT00000004790
ENSAHAP00000015569	ENSAHAG00000011131	Apteryx_haastii
ENSPNYP00000006288	ENSPNYG00000004834	Pundamilia_nyererei
ENSAPEP00000011674	ENSAPEG00000008317	Amphiprion_percula
ENSCPRP00005014847	ENSCPRG00005010417	Crocodylus_porosus
ENSGACP00000004141	ENSGACG00000003162	Gasterosteus_aculeatus
ENSCGRP00015024926	ENSCGRG00015018892	Cricetulus_griseus_CriGri-PICR
ENSPCOP00000017186	ENSPCOG00000020394	Propithecus_coquereli
ENSTTRP00000013227	ENSTTRG00000013949	Tursiops_truncatus
ENSCAFP00000043177	ENSCAFG00000016100	Canis_lupus_familiaris
ENSGAGP00000008413	ENSGAGG00000006691	Gopherus_agassizii
ENSLBEP00000036618	ENSLBEG00000027393	Labrus_bergylta
ENSAMEP00000010561	ENSAMEG00000010054	Ailuropoda_melanoleuca
ENSHBUP00000007750	ENSHBUG00000009233	Haplochromis_burtoni
ENSGAFP00000016384	ENSGAFG00000011063	Gambusia_affinis
ENSGGOP00000021209	ENSGGOG00000016940	Gorilla_gorilla
ENSHCOP00000012445	ENSHCOG00000015458	Hippocampus_comes
ENSFALP00000007027	ENSFALG00000006734	Ficedula_albicollis
ENSSBOP00000037808	ENSSBOG00000034981	Saimiri_boliviensis_boliviensis
ENSCPGP00000017975	ENSCPGG00000012584	Calidris_pygmaea
ENSP00000363441	ENSG00000204176	Homo_sapiens
ENSLAFP00000018186	ENSLAFG00000016206	Loxodonta_africana
ENSTRUP00000046273	ENSTRUG00000018072	Takifugu_rubripes
ENSCCAP00000037741	ENSCCAG00000036714	Cebus_capucinus_imitator
ENSPKIP00000029795	ENSPKIG00000010898	Paramormyrops_kingsleyae
ENSFCAP00000061119	ENSFCAG00000000311	Felis_catus
ENSP00000478933	ENSG00000277758	Homo_sapiens
ENSLSDP00000011776	ENSLSDG00000008655	Lonchura_striata_domestica
ENSPPAP00000039823	ENSPPAG00000042584	Pan_paniscus
ENSACLP00000039903	ENSACLG00000026898	Astatotilapia_calliptera
ENSAMXP00005037265	ENSAMXG00005017733	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACIP00000012121	ENSACIG00000009457	Amphilophus_citrinellus
ENSAOWP00000025898	ENSAOWG00000017489	Apteryx_owenii
ENSPPYP00000003294	ENSPPYG00000002829	Pongo_abelii
ENSETEP00000015177	ENSETEG00000018680	Echinops_telfairi
ENSPVIP00000008432	ENSPVIG00000006805	Pogona_vitticeps
ENSMMMP00000013511	ENSMMMG00000012050	Marmota_marmota_marmota
ENSPTEP00000003904	ENSPTEG00000004578	Piliocolobus_tephrosceles
ENSVVUP00000036101	ENSVVUG00000025932	Vulpes_vulpes
ENSTGUP00000005972	ENSTGUG00000005802	Taeniopygia_guttata
ENSCHAP00000045257	ENSCHAG00000021021	Clupea_harengus
ENSMMUP00000035899	ENSMMUG00000013441	Macaca_mulatta
ENSMLEP00000035521	ENSMLEG00000041903	Mandrillus_leucophaeus
ENSOCUP00000003797	ENSOCUG00000004393	Oryctolagus_cuniculus
ENSPCAP00000008534	ENSPCAG00000009113	Procavia_capensis
ENSSDUP00000018837	ENSSDUG00000013750	Seriola_dumerili
ENSMZEP00005005987	ENSMZEG00005004545	Maylandia_zebra
ENSCSAP00000006128	ENSCSAG00000009900	Chlorocebus_sabaeus
ENSNSUP00000017797	ENSNSUG00000013055	Notechis_scutatus
ENSEBUP00000012104	ENSEBUG00000007724	Eptatretus_burgeri
ENSAOCP00000007814	ENSAOCG00000002635	Amphiprion_ocellaris
ENSARWP00000004125	ENSARWG00000003028	Apteryx_rowi
ENSUAMP00000009263	ENSUAMG00000007722	Ursus_americanus
ENSPEMP00000012922	ENSPEMG00000013101	Peromyscus_maniculatus_bairdii
ENSHHUP00000046749	ENSHHUG00000028448	Hucho_hucho
ENSMUNP00000010435	ENSMUNG00000008247	Melopsittacus_undulatus
ENSCCEP00000021895	ENSCCEG00000019819	Cyanistes_caeruleus	ENSCCET00000033288
ENSPMJP00000020794	ENSPMJG00000015447	Parus_major	ENSPMJT00000027057
ENSPTRP00000070052	ENSPTRG00000029896	Pan_troglodytes
ENSNPEP00000020411	ENSNPEG00000015179	Nothoprocta_perdicaria
ENSCPBP00000009789	ENSCPBG00000007549	Chrysemys_picta_bellii
MGP_CAROLIEiJ_P0036218	MGP_CAROLIEiJ_G0019115	Mus_caroli_strain_CAROLI_EIJ
ENSOANP00000011928	ENSOANG00000007492	Ornithorhynchus_anatinus
